"clip_folder","proxy_exists","transforms_exists","stabilized_exists","branded_exists","proxy_path","transforms_path","stabilized_path","branded_path"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40__x2_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40__x2_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40__x2_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40__x2_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40_portrait_BRAND.mp4"
"001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_BRAND.mp4"
"002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20__x2_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20__x2_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20__x2_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20__x2_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20_portrait_POST.mp4"
"002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_POST.mp4"
"003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70__x2_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70__x2_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70__x2_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70__x2_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70_portrait_POST.mp4"
"003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_POST.mp4"
"004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10__x2_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10__x2_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10__x2_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10__x2_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10_portrait_POST.mp4"
"004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_POST.mp4"
"005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60__x2_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60__x2_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60__x2_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60__x2_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60_portrait_POST.mp4"
"005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_POST.mp4"
