"index","date","status","atomic","master"
"111","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\111__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\111__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"120","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\120__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421-t441.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\120__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00_portrait_FINAL\follow\stabilized.mp4"
"213","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\213__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2158-t2169.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\213__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2158.00-t2169.00_portrait_FINAL\follow\stabilized.mp4"
"2","2025-10-04","RECUT",".\out\atomic_clips\2025-10-04__TSC_vs_FC-Tulsa-Black\002__2025-10-04__TSC_vs_FC-Tulsa-Black__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC-Tulsa-Black__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"209","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\209__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2034-t2057.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\209__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2034.00-t2057.00_portrait_FINAL\follow\stabilized.mp4"
"201","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\201__2025-09-20__TSC_vs_RVFC__CORNER__t1852-t1875.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\201__2025-09-20__TSC_vs_RVFC__CORNER__t1852.00-t1875.00_portrait_FINAL\follow\stabilized.mp4"
"40","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\040__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\040__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"220","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\220__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2770-t2827.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\220__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2770.00-t2827.00_portrait_FINAL\follow\stabilized.mp4"
"103","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\103__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\103__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"212","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\212__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2646-t2665.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\212__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2646.00-t2665.00_portrait_FINAL\follow\stabilized.mp4"
"106","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\106__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\106__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"117","2025-10-07","RECUT",".\out\atomic_clips\2025-10-07__HOME_vs_AWAY\117__2025-10-07__HOME_vs_AWAY__GOAL__t180.80-t191.20.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\117__1970-01-01__HOME_vs_AWAY__GOAL__t180.80-t191.20_portrait_FINAL\follow\stabilized.mp4"
"192","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\192__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1871-t1881.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\192__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1871.00-t1881.00_portrait_FINAL\follow\stabilized.mp4"
