t0,t1,label,note
155.500,166.400,Shot,Left Wing Dribble and Shot
180.800,191.200,Goal,Left Wing Dribble and Shot
224.800,248.700,Build-Up,Team Play
266.500,283.100,Goal,Left Wing Left Foot Volley
417.900,431.600,Corner,Team Play
699.300,711.500,Defense,Team Play
982.000,987.900,Dribbling,Striker
1247.800,1259.200,Shot,Center Mid
1420.400,1438.200,Shot,Striker
1541.100,1547.900,Cross,Striker
1655.000,1670.300,Shots,Striker
1705.200,1708.500,Shot,Striker
1767.500,1772.600,Shot,Left Wing
1904.200,1925.200,Goal,Center Mid
1972.500,1980.700,Dribbling,Left Wing
2029.900,2039.500,Shot,Left Wing
2284.900,2298.200,Shot,Left Wing
2419.500,2425.600,Shot,Striker
2633.000,2638.100,Shot,Left Wing
2816.600,2831.800,Goal,Left Wing
2860.700,2873.000,Shot,Left Wing
3028.100,3059.700,Shot,Center Mid
3098.900,3108.800,Shot,Right Wing
