"FullName","Length","GB"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00__x2.mp4","285629048","0.27"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\022__SHOT__t3028.10-t3059.70.__DEBUG__x2.mp4","205892347","0.19"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00__x2.mp4","190390895","0.18"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00__x2.mp4","189587890","0.18"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\011__PRESSURE__t2.711.00-t2.736.00__x2.mp4","165133486","0.15"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00__x2.mp4","155192922","0.14"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\006__GOAL__t2.035.00-t2.054.00__x2.mp4","131014604","0.12"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00__x2.mp4","124861304","0.12"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00__x2.mp4","121544068","0.11"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\007__CROSS__t2.212.00-t2.228.00__x2.mp4","111260420","0.1"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\005__GOAL__t1.855.00-t1.870.00__x2.mp4","103874443","0.1"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00__x2.mp4","81334899","0.08"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\009__BUILD_UP__t2.673.00-t2.685.00__x2.mp4","78335691","0.07"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00__x2.mp4","68731289","0.06"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00__x2.mp4","47106997","0.04"
"C:\Users\scott\soccer-video\out\reels\portrait_1080x1920\unique_from_upscaled\008__BUILD_UP__t2.438.00-t2.442.00__x2.mp4","28800620","0.03"
