frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1747.4,496.1,hold,0.30,1583.8,584.5,1255.0,0.0,657.5,1168.9,1,140.4,1,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1743.4,496.7,hold,0.30,1581.3,584.5,1252.5,0.0,657.5,1168.9,1,141.9,0,1,flight_commit=0.82|keepin_prop=0.23|keepin_zoom=1.350|edge_zoom=0.888|bounds
2,1738.4,497.5,hold,0.30,1577.7,584.5,1248.9,0.0,657.5,1168.9,1,143.3,0,1,flight_commit=0.62|keepin_prop=0.17|keepin_zoom=1.350|edge_zoom=0.901|bounds
3,1732.1,498.5,hold,0.30,1572.5,584.5,1243.8,0.0,657.5,1168.9,1,144.4,0,1,flight_commit=0.53|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.918|bounds
4,1724.3,499.7,hold,0.30,1565.7,584.5,1236.9,0.0,657.5,1168.9,1,145.4,0,1,flight_commit=0.54|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.938|bounds
5,1714.6,501.3,hold,0.30,1556.7,584.5,1227.9,0.0,657.5,1168.9,1,146.1,0,1,flight_commit=0.65|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.963|bounds
6,1702.4,503.2,hold,0.30,1545.3,584.5,1216.5,0.0,657.5,1168.9,1,146.9,0,1,shot_pb=0.80|flight_commit=0.86|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.977|bounds
7,1687.1,505.6,hold,0.30,1531.2,584.5,1202.4,0.0,657.5,1168.9,1,148.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.997|bounds
8,1668.1,508.6,hold,0.30,1514.1,584.5,1185.3,0.0,657.5,1168.9,1,150.0,0,0,accel_zoom=0.917|shot_pb=1.00|flight_commit=1.00|bounds
9,1644.2,512.4,hold,0.30,1493.7,584.5,1164.9,0.0,657.5,1168.9,1,153.5,0,0,accel_zoom=0.917|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.994|bounds
10,1614.5,517.1,hold,0.30,1469.9,584.5,1141.2,0.0,657.5,1168.9,1,159.4,0,1,accel_zoom=0.898|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.994|bounds
11,1577.2,522.9,hold,0.30,1442.7,584.5,1113.9,0.0,657.5,1168.9,1,169.5,0,0,accel_zoom=0.874|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.987|bounds
