frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1212.9,560.1,hold,0.30,1220.4,565.3,902.4,0.0,636.0,1130.7,1,296.5,0,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.954|bounds
1,1212.9,560.1,hold,0.30,1220.9,562.6,904.4,0.0,633.0,1125.2,1,296.0,0,0,flight_commit=0.62|edge_zoom=0.985|bounds
2,1213.0,560.1,hold,0.30,1221.4,560.0,906.4,0.0,630.0,1120.1,1,295.6,0,0,flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.989|bounds
3,1213.0,560.1,hold,0.30,1222.0,557.6,908.4,0.0,627.3,1115.2,1,295.0,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.991|bounds
4,1213.1,560.1,hold,0.30,1222.7,555.3,910.3,0.0,624.8,1110.7,1,294.4,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.993|bounds
5,1213.1,560.1,hold,0.30,1223.4,553.2,912.2,0.0,622.3,1106.4,1,293.7,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.993|bounds
6,1213.2,560.1,hold,0.30,1224.0,551.1,914.1,0.0,619.9,1102.1,1,293.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,1213.3,560.1,hold,0.30,1224.7,548.9,915.9,0.0,617.5,1097.8,1,292.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,1213.4,560.1,hold,0.30,1225.2,546.7,917.7,0.0,615.0,1093.4,1,292.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,1213.6,560.1,hold,0.30,1225.7,544.3,919.5,0.0,612.3,1088.6,1,291.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,1213.8,560.1,hold,0.30,1226.1,541.8,921.3,0.0,609.5,1083.5,1,291.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,1214.0,560.1,hold,0.30,1226.4,540.0,923.2,1.0,606.4,1078.1,1,291.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,1214.3,560.1,hold,0.30,1226.7,540.0,925.1,3.9,603.1,1072.3,1,291.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,1214.7,560.0,hold,0.30,1227.0,540.0,927.1,6.9,599.7,1066.1,1,291.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,1215.2,560.0,hold,0.30,1227.3,540.0,929.2,10.1,596.1,1059.7,1,291.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,1215.8,560.0,hold,0.30,1227.6,540.0,931.4,13.4,592.4,1053.2,1,292.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,1216.5,560.0,hold,0.30,1228.0,540.0,933.7,16.7,588.7,1046.6,1,292.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,1217.4,559.9,hold,0.30,1228.5,540.0,936.0,19.9,585.1,1040.2,1,292.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,1218.6,559.9,hold,0.30,1229.1,540.0,938.3,22.9,581.7,1034.1,1,293.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,1220.0,559.9,yolo,0.46,1229.9,540.0,940.7,25.8,578.5,1028.4,1,294.1,0,0,conf_zoom=0.75|conf_speed=0.86|bounds
20,1222.0,559.8,yolo,0.40,1230.9,540.0,943.2,28.4,575.6,1023.2,1,295.1,0,0,conf_zoom=0.76|conf_speed=0.87|bounds
21,1224.5,559.7,interp,0.38,1232.2,540.0,945.6,30.6,573.1,1018.8,1,296.3,0,0,conf_zoom=0.76|conf_speed=0.87|bounds
22,1227.4,559.6,yolo,0.36,1233.7,540.0,948.2,32.4,571.0,1015.2,1,297.7,0,0,conf_zoom=0.77|conf_speed=0.87|bounds
23,1231.0,559.4,yolo,0.33,1235.5,540.0,950.8,33.8,569.4,1012.3,1,299.5,0,0,conf_zoom=0.77|conf_speed=0.87|edge_zoom=0.992|bounds
24,1234.0,559.4,interp,0.38,1237.7,540.0,953.6,35.0,568.2,1010.1,1,300.3,0,0,conf_zoom=0.77|conf_speed=0.87|edge_zoom=0.992|bounds
25,1237.2,559.5,interp,0.38,1240.3,540.0,956.7,35.8,567.2,1008.3,1,300.9,0,0,conf_zoom=0.77|conf_speed=0.88|edge_zoom=0.991|bounds
