frame,time_s,camera_x_pct,notes
0,0.0,,
15,0.5,,
30,1.0,,
45,1.5,,
60,2.0,,
75,2.5,,
90,3.0,,
105,3.5,,
120,4.0,,
135,4.5,,
150,5.0,,
165,5.5,,
180,6.0,,
195,6.5,,
210,7.0,,
225,7.5,,
240,8.0,,
255,8.5,,
270,9.0,,
285,9.5,,
300,10.0,,
315,10.5,,
330,11.0,,
345,11.5,,
360,12.0,,
375,12.5,,
390,13.0,,
405,13.5,,
420,14.0,,
435,14.5,,
450,15.0,,
465,15.5,,
480,16.0,,
495,16.5,,
510,17.0,,
525,17.5,,
540,18.0,,
555,18.5,,
570,19.0,,
585,19.5,,
600,20.0,,
615,20.5,,
630,21.0,,
645,21.5,,
660,22.0,,
675,22.5,,
690,23.0,,
705,23.5,,
720,24.0,,
735,24.5,,
750,25.0,,
765,25.5,,
780,26.0,,
795,26.5,,
810,27.0,,
825,27.5,,
840,28.0,,
855,28.5,,
870,29.0,,
885,29.5,,
900,30.0,,
915,30.5,,
930,31.0,,
945,31.5,,
960,32.0,,
975,32.5,,
990,33.0,,
1005,33.5,,
1020,34.0,,
1035,34.5,,
1050,35.0,,
1065,35.5,,
1080,36.0,,
1095,36.5,,
1110,37.0,,
1125,37.5,,
1140,38.0,,
1155,38.5,,
1170,39.0,,
1185,39.5,,
1200,40.0,,
1215,40.5,,
1230,41.0,,
1245,41.5,,
1260,42.0,,
1275,42.5,,
1290,43.0,,
1305,43.5,,
1320,44.0,,
1335,44.5,,
1350,45.0,,
1365,45.5,,
1380,46.0,,
1395,46.5,,
1410,47.0,,
1425,47.5,,
1440,48.0,,
1455,48.5,,
1470,49.0,,
1485,49.5,,
1500,50.0,,
1515,50.5,,
1530,51.0,,
1545,51.5,,
1560,52.0,,
1575,52.5,,
