frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,57.0,1057,1073,
15,0.5,59.7,995,1011,
30,1.0,62.0,1082,1100,
45,1.5,69.9,967,978,
60,2.0,77.6,713,722,
75,2.5,80.5,542,562,
90,3.0,81.0,630,654,
105,3.5,78.0,559,573,
120,4.0,70.0,705,721,
135,4.5,62.7,737,758,
150,5.0,56.9,852,865,
165,5.5,56.9,845,860,
180,6.0,59.5,877,895,
195,6.5,63.6,734,749,
210,7.0,71.9,526,543,
225,7.5,71.0,406,420,
240,8.0,65.5,452,477,
255,8.5,55.7,534,553,
270,9.0,50.0,799,811,
285,9.5,44.7,754,766,
300,10.0,38.6,813,831,
315,10.5,35.6,702,710,
330,11.0,32.9,746,753,
345,11.5,31.7,866,880,
360,12.0,37.2,882,894,
375,12.5,48.6,833,851,
390,13.0,53.6,874,886,
405,13.5,54.9,734,745,
420,14.0,56.3,677,690,
435,14.5,61.6,602,606,
450,15.0,67.9,491,508,
465,15.5,71.1,456,474,
