Original YOLO detections: 171 entries
Frame | cx | cy | conf
  f22: cx=942.23 (49.1%), cy=808.43, conf=0.2767
  f44: cx=905.84 (47.2%), cy=880.17, conf=0.2756
  f47: cx=867.38 (45.2%), cy=818.38, conf=0.2605
  f50: cx=811.58 (42.3%), cy=727.82, conf=0.2465
  f51: cx=772.19 (40.2%), cy=663.42, conf=0.236
  f52: cx=744.51 (38.8%), cy=617.83, conf=0.2632
  f53: cx=724.76 (37.7%), cy=584.86, conf=0.2864
  f54: cx=710.47 (37.0%), cy=560.64, conf=0.2695
  f55: cx=699.99 (36.5%), cy=542.76, conf=0.2672
  f56: cx=692.21 (36.1%), cy=529.53, conf=0.2653
  f58: cx=686.4 (35.8%), cy=519.98, conf=0.3219
  f59: cx=682.04 (35.5%), cy=513.21, conf=0.3004
  f62: cx=604.99 (31.5%), cy=568.63, conf=0.2794
  f64: cx=577.87 (30.1%), cy=586.25, conf=0.3013
  f65: cx=595.48 (31.0%), cy=569.29, conf=0.278
  f66: cx=615.56 (32.1%), cy=551.18, conf=0.2606
  f68: cx=818.98 (42.7%), cy=529.42, conf=0.2476
  f72: cx=1152.19 (60.0%), cy=531.35, conf=0.2456
  f73: cx=1177.49 (61.3%), cy=523.14, conf=0.2556
  f74: cx=1046.43 (54.5%), cy=510.04, conf=0.3785
  f75: cx=927.93 (48.3%), cy=504.88, conf=0.4701
  f76: cx=845.67 (44.0%), cy=503.06, conf=0.5388
  f80: cx=710.53 (37.0%), cy=560.04, conf=0.4584
  f81: cx=586.96 (30.6%), cy=628.56, conf=0.3983
  f82: cx=491.32 (25.6%), cy=685.52, conf=0.3603
  f83: cx=488.94 (25.5%), cy=670.4, conf=0.4413
  f84: cx=535.86 (27.9%), cy=617.99, conf=0.4593
  f87: cx=588.3 (30.6%), cy=563.48, conf=0.409
  f89: cx=613.64 (32.0%), cy=534.28, conf=0.4782
  f90: cx=622.53 (32.4%), cy=520.94, conf=0.4769
  f91: cx=624.96 (32.6%), cy=514.53, conf=0.476
  f92: cx=624.49 (32.5%), cy=511.38, conf=0.4346
  f93: cx=622.88 (32.4%), cy=510.39, conf=0.5225
  f94: cx=621.01 (32.3%), cy=510.61, conf=0.5328
  f97: cx=618.22 (32.2%), cy=512.12, conf=0.552
  f100: cx=800.04 (41.7%), cy=509.07, conf=0.4822
  f101: cx=1022.7 (53.3%), cy=504.41, conf=0.4296
  f112: cx=1113.75 (58.0%), cy=559.71, conf=0.3819
  f114: cx=1045.61 (54.5%), cy=570.95, conf=0.3424
  f115: cx=947.24 (49.3%), cy=556.31, conf=0.4271
  f116: cx=859.96 (44.8%), cy=543.39, conf=0.4906
