frame,ball_x,ball_y
0,192.0,540.0
15,192.0,540.0
30,192.0,540.0
45,288.0,540.0
60,614.4,540.0
75,921.6,540.0
90,1017.6,540.0
105,921.6,540.0
120,864.0,540.0
135,825.6,540.0
150,729.6,540.0
165,345.6,540.0
180,192.0,540.0
195,326.4,540.0
210,556.8,540.0
225,537.6,540.0
240,576.0,540.0
255,768.0,540.0
270,825.6,540.0
285,883.2,540.0
300,902.4,540.0
315,864.0,540.0
330,1017.6,540.0
345,1152.0,540.0
360,1248.0,540.0
375,1344.0,540.0
390,1344.0,540.0
405,1344.0,540.0
420,1152.0,540.0
435,1152.0,540.0
450,864.0,540.0
465,921.6,540.0
480,921.6,540.0
495,921.6,540.0
510,1056.0,540.0
525,1248.0,540.0
540,1344.0,540.0
555,1344.0,540.0
