frame,time_s,ball_x_pct,camera_x_pct,notes
0,0.0,7,33,
15,0.5,7,29,
30,1.0,41,38,
45,1.5,49,46,
60,2.0,43,43,
75,2.5,38,39,
90,3.0,36,36,
105,3.5,35,35,
120,4.0,34,31,
135,4.5,32,21,
150,5.0,36,18,
165,5.5,40,18,
180,6.0,42,18,
195,6.5,33,20,
210,7.0,24,22,
225,7.5,45,24,
240,8.0,46,26,
255,8.5,46,38,
270,9.0,40,37,
285,9.5,27,28,
300,10.0,23,23,
315,10.5,21,21,
330,11.0,17,17,
345,11.5,14,17,
360,12.0,23,19,
375,12.5,15,17,
390,13.0,22,22,
405,13.5,27,37,
420,14.0,27,55,
435,14.5,26,53,
450,15.0,34,40,
465,15.5,45,53,
