frame,time_s,camera_x_pct,confidence,notes
0,0.0,64.8,0.9615,
10,0.3,81.0,0.9592,
20,0.7,57.0,0.9607,
30,1.0,56.1,0.9617,
40,1.3,58.1,0.9572,
50,1.7,57.9,0.9611,
60,2.0,80.5,0.9609,
70,2.3,80.3,0.9603,
80,2.7,65.3,0.9609,
90,3.0,65.5,0.9617,
100,3.3,65.4,0.9616,
110,3.7,65.6,0.9616,
120,4.0,65.6,0.9637,
130,4.3,65.7,0.9616,
140,4.7,65.7,0.9589,
150,5.0,65.6,0.9588,
160,5.3,65.6,0.9556,
170,5.7,68.9,0.9549,
180,6.0,66.4,0.9561,
190,6.3,69.4,0.9556,
200,6.7,79.7,0.9515,
210,7.0,75.8,0.9539,
220,7.3,84.9,0.9526,
230,7.7,80.9,0.9476,
240,8.0,80.6,0.9506,
250,8.3,86.2,0.9454,
260,8.7,71.5,0.9395,
270,9.0,85.2,0.94,
280,9.3,89.1,0.9487,
290,9.7,60.6,0.9548,
300,10.0,62.8,0.9583,
310,10.3,55.4,0.9563,
320,10.7,52.9,0.9493,
330,11.0,89.9,0.9426,
340,11.3,90.5,0.9463,
350,11.7,78.0,0.9466,
360,12.0,84.1,0.9434,
370,12.3,52.0,0.9385,
380,12.7,56.3,0.9411,
