frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,81.4,402,413,
15,0.5,83.6,310,318,
30,1.0,83.8,289,301,
45,1.5,83.0,329,341,
60,2.0,83.5,574,591,
75,2.5,85.3,616,625,
90,3.0,83.8,744,763,
105,3.5,83.2,645,663,
120,4.0,83.3,588,604,
135,4.5,75.1,579,594,
150,5.0,56.2,772,785,
165,5.5,44.4,767,778,
180,6.0,38.7,787,805,
195,6.5,37.1,780,794,
210,7.0,35.3,699,711,
225,7.5,34.9,709,724,
240,8.0,32.7,569,581,
255,8.5,37.6,660,679,
270,9.0,48.6,751,760,
285,9.5,58.4,844,863,
300,10.0,65.2,815,825,
315,10.5,68.1,855,861,
330,11.0,71.0,806,817,
345,11.5,74.4,863,874,
360,12.0,72.4,818,831,
375,12.5,67.1,823,829,
390,13.0,64.1,716,721,
405,13.5,63.8,692,701,
420,14.0,67.0,709,716,
435,14.5,67.3,663,673,
450,15.0,67.0,659,671,
465,15.5,64.8,611,631,
480,16.0,58.6,514,527,
495,16.5,47.0,515,527,
510,17.0,36.2,495,500,
525,17.5,33.8,293,304,
540,18.0,38.1,386,390,
555,18.5,42.8,423,430,
570,19.0,43.0,416,422,
585,19.5,44.0,487,496,
600,20.0,42.8,563,569,
