"index","date","status","atomic","master","action"
"111","2025-09-20","MISSING_MASTER",".\out\atomic_clips\111__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"120","2025-09-20","MISSING_MASTER",".\out\atomic_clips\120__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__2025-09-20__t421-441.mp4",,"none"
"213","2025-09-20","MISSING_MASTER",".\out\atomic_clips\213__TSC_vs_RVFC__PRESSURE_GOAL__2025-09-20__t2158-2169.mp4",,"none"
"2","2025-10-04","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t25260.00-t26940.00.mp4",,
"209","2025-09-20","MISSING_MASTER",".\out\atomic_clips\209__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__2025-09-20__t2034-2057.mp4",,"none"
"201","2025-09-20","MISSING_MASTER",".\out\atomic_clips\201__TSC_vs_RVFC__CORNER__2025-09-20__t1852-1875.mp4",,"none"
"40","2025-09-20","MISSING_MASTER",".\out\atomic_clips\040__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"220","2025-09-20","MISSING_MASTER",".\out\atomic_clips\220__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t2770-2827.mp4",,"none"
"103","2025-09-20","MISSING_MASTER",".\out\atomic_clips\103__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"212","2025-09-20","MISSING_MASTER",".\out\atomic_clips\212__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t2646-2665.mp4",,"none"
"106","2025-09-20","MISSING_MASTER",".\out\atomic_clips\106__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"117","2025-10-07","MISSING_MASTER",".\out\atomic_clips\117__HOME_vs_AWAY__GOAL__2025-10-07__t180.8-191.2.mp4",,"none"
"192","2025-09-20","MISSING_MASTER",".\out\atomic_clips\192__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t1871-1881.mp4",,"none"
"10","2025-10-04","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t63480.00-t64800.00.mp4",,
"68","2025-09-20","MISSING_MASTER",".\out\atomic_clips\068__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"162","2025-09-20","MISSING_MASTER",".\out\atomic_clips\162__TSC_vs_RVFC__DEFENSE_BUILD_UP__2025-09-20__t880-897.mp4",,"none"
"190","2025-09-20","MISSING_MASTER",".\out\atomic_clips\190__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__2025-09-20__t1711-1722.mp4",,"none"
"141","2025-09-20","MISSING_MASTER",".\out\atomic_clips\141__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t802-818.mp4",,"none"
"87","2025-09-20","MISSING_MASTER",".\out\atomic_clips\087__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"119","2025-10-07","MISSING_MASTER",".\out\atomic_clips\119__HOME_vs_AWAY__BUILD_UP__2025-10-07__t224.8-248.7.mp4",,"none"
"165","2025-09-20","MISSING_MASTER",".\out\atomic_clips\165__TSC_vs_Greenwood__SHOT__2025-09-20__t1081-1088.mp4",,"none"
"180","2025-10-07","MISSING_MASTER",".\out\atomic_clips\180__HOME_vs_AWAY__GOAL__2025-10-07__t2816.6-2831.8.mp4",,"none"
"142","2025-09-20","MISSING_MASTER",".\out\atomic_clips\142__TSC_vs_RVFC__PRESSURE_SHOT__2025-09-20__t604-620.mp4",,"none"
"64","2025-09-20","MISSING_MASTER",".\out\atomic_clips\064__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"126","2025-09-20","MISSING_MASTER",".\out\atomic_clips\126__TSC_vs_Greenwood__WIN_FREE_KICK__2025-09-20__t538-553.mp4",,"none"
"46","2025-09-20","MISSING_MASTER",".\out\atomic_clips\046__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"41","2025-09-20","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\041__2025-09-20__TSC_vs_RVFC__CORNER__t3931200.00-t3967200.00.mp4",,
"75","2025-09-13","MISSING_MASTER",".\out\atomic_clips\075__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-13__t1705-1721.mp4",,"none"
"16","2025-09-13","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t71700.00-t72540.00.mp4",,
"83","2025-09-20","MISSING_MASTER",".\out\atomic_clips\083__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"163","2025-10-04","MISSING_MASTER",".\out\atomic_clips\163__TSC_vs_FC_Tulsa_Black__SHOT__2025-10-04__t1626-1637.mp4",,"none"
"96","2025-09-20","MISSING_MASTER",".\out\atomic_clips\096__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"3","2025-09-13","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\2025-10-12__TSC_SLSG_FallFestival\003__DEFENSE__t310.00-t342.00.mp4",,
"53","2025-09-20","MISSING_MASTER",".\out\atomic_clips\053__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"175","2025-09-20","MISSING_MASTER",".\out\atomic_clips\175__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__2025-09-20__t1292-1329.mp4",,"none"
"14","2025-10-04","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t2354400.00-t2394000.00.mp4",,
"172","2025-09-20","MISSING_MASTER",".\out\atomic_clips\172__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t1212-1224.mp4",,"none"
"129","2025-09-20","MISSING_MASTER",".\out\atomic_clips\129__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__2025-09-20__t685-708.mp4",,"none"
"95","2025-09-20","MISSING_MASTER",".\out\atomic_clips\095__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"6","2025-10-04","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t40440.00-t43020.00.mp4",,
"38","2025-09-20","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\038__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t4010400.00-t4086000.00.mp4",,
"205","2025-09-20","MISSING_MASTER",".\out\atomic_clips\205__TSC_vs_RVFC__PRESSURE_SHOT__2025-09-20__t1898-1911.mp4",,"none"
"115","2025-09-13","MISSING_MASTER",".\out\atomic_clips\115__TSC_vs_NEOFC__SHOT__2025-09-13__t155.5-166.4.mp4",,"none"
