"index","date","status","atomic","master"
"111","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\111__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\111__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"120","2025-09-20","HAVE",,
"213","2025-09-20","HAVE",,
"2","2025-10-04","HAVE",,
"209","2025-09-20","HAVE",,
"201","2025-09-20","HAVE",,
"40","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\040__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\040__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"220","2025-09-20","HAVE",,
"103","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\103__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\103__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"212","2025-09-20","HAVE",,
"106","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\106__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\106__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"117","2025-10-07","HAVE",,
"192","2025-09-20","HAVE",,
"10","2025-10-04","HAVE",,
"68","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\068__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\068__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"162","2025-09-20","HAVE",,
"190","2025-09-20","HAVE",,
"141","2025-09-20","HAVE",,
"87","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\087__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\087__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"119","2025-10-07","HAVE",,
"165","2025-09-20","HAVE",,
"180","2025-10-07","HAVE",,
"142","2025-09-20","HAVE",,
"64","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\064__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\064__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"126","2025-09-20","HAVE",,
"46","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\046__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\046__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"41","2025-09-20","HAVE",,
"75","2025-09-13","MISSING",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\075__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\075__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"16","2025-09-13","HAVE",,
"83","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\083__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\083__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"163","2025-10-04","HAVE",,
