"clip_id","index","date","homeTeam","awayTeam","label","tStart","tEnd","duration_sec","orientation","hasDebug","hasFinal","root_dir","proxy_path","trf_path","stabilized_path","branded_matches","proxy_exists","trf_exists","stabilized_exists","has_branded","placeholder","dup_count","notes"
"3||||SHOT|t0.00|t0.00","3",,,,"SHOT","0","0","0","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__SHOT__t0.00-t0.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__SHOT__t0.00-t0.00\proxy.mp4","","","","true","false","false","false","true","1","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
"5||||GOAL|t1855.00|t1870.00","5",,,,"GOAL","1855","1870","15","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__GOAL__t1855.00-t1870.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__GOAL__t1855.00-t1870.00\proxy.mp4","","","","true","false","false","false","true","1","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
"3||||DEFENSE|t310.00|t342.00","3",,,,"DEFENSE","310","342","32","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__DEFENSE__t310.00-t342.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__DEFENSE__t310.00-t342.00\proxy.mp4","","","","true","false","false","false","true","2","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
"11||||PRESSURE|t2711.00|t2736.00","11",,,,"PRESSURE","2711","2736","25","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__PRESSURE__t2711.00-t2736.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__PRESSURE__t2711.00-t2736.00\proxy.mp4","","","","true","false","false","false","true","1","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
"8||||BUILD_UP|t2438.00|t2442.00","8",,,,"BUILD_UP","2438","2442","4","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__BUILD_UP__t2438.00-t2442.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__BUILD_UP__t2438.00-t2442.00\proxy.mp4","","","","true","false","false","false","true","1","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
"6||||GOAL|t2035.00|t2054.00","6",,,,"GOAL","2035","2054","19","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__GOAL__t2035.00-t2054.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__GOAL__t2035.00-t2054.00\proxy.mp4","","","","true","false","false","false","true","1","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
"1||||SHOT|t135.00|t145.00","1",,,,"SHOT","135","145","10","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__SHOT__t135.00-t145.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__SHOT__t135.00-t145.00\proxy.mp4","","","","true","false","false","false","true","2","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
"2||||SHOT|t0.00|t0.00","2",,,,"SHOT","0","0","0","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__SHOT__t0.00-t0.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__SHOT__t0.00-t0.00\proxy.mp4","","","","true","false","false","false","true","1","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
"1||||SHOT|t0.00|t0.00","1",,,,"SHOT","0","0","0","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__SHOT__t0.00-t0.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__SHOT__t0.00-t0.00\proxy.mp4","","","","true","false","false","false","true","1","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
"2||||SHOT|t185.00|t206.00","2",,,,"SHOT","185","206","21","unknown","False","False","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__SHOT__t185.00-t206.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__SHOT__t185.00-t206.00\proxy.mp4","","","","true","false","false","false","true","2","raw placeholder folder; seen in legacy index; missing transforms; missing stabilized"
