"Duplicate","Keep","SizeBytes","Hash","DuplicateLastWrite","KeepLastWrite"
"C:\Users\scott\soccer-video\.cleanup_trash\dups_20250925_135749\out\atomic_clips\003__GOAL__t224.80-t248.70.mp4","C:\Users\scott\soccer-video\out\reels\landscape\003__GOAL__t224.80-t248.70__BASE__landscape.mp4","42013732","CC186A30F568FD51297C0BDEC2F1603A3623D26E93765E49C56C92598309F080","9/23/2025 10:53:38 AM","9/23/2025 10:53:50 AM"
"C:\Users\scott\soccer-video\.cleanup_trash\dups_20250925_135749\out\atomic_clips\022__SHOT__t3028.10-t3059.70.mp4","C:\Users\scott\soccer-video\out\reels\landscape\022__SHOT__t3028.10-t3059.70__BASE__landscape.mp4","37700921","3A15BB4E894E383B7B8E18FC9C7B71711DA0E1D2959E9CBB6EAA2CCD8954E60D","9/23/2025 10:56:28 AM","9/23/2025 10:56:40 AM"
"C:\Users\scott\soccer-video\.cleanup_trash\dups_20250925_135749\out\atomic_clips\014__GOAL__t1904.20-t1925.20.mp4","C:\Users\scott\soccer-video\out\reels\landscape\014__GOAL__t1904.20-t1925.20__BASE__landscape.mp4","31778614","8C53888830E4B776D7C293F079162138E21A3A90B06ABABC4E29505BE750FFB8","9/23/2025 10:55:19 AM","9/23/2025 10:55:28 AM"
"C:\Users\scott\soccer-video\out\clips\010__GOAL__t2345.25-t2359.25.mp4","C:\Users\scott\soccer-video\out\reels\landscape\010__GOAL__t2345.25-t2359.25__BASE__landscape.mp4","25856664","A337A53A5CAE1E89D022FBBC944A37DC3706420CF6246A54210053B565A4B121","9/22/2025 4:53:53 PM","9/22/2025 4:54:00 PM"
"C:\Users\scott\soccer-video\out\atomic_clips\004__GOAL__t266.50-t283.10.mp4","C:\Users\scott\soccer-video\out\reels\landscape\004__GOAL__t266.50-t283.10__BASE__landscape.mp4","24745694","00E14F704CA54D9192745B97D1D00BD2422057DAE17825795FFFC94C53F71633","9/23/2025 10:53:54 AM","9/23/2025 10:54:01 AM"
"C:\Users\scott\soccer-video\out\clips\013__GOAL__t3033.37-t3048.90.mp4","C:\Users\scott\soccer-video\out\reels\landscape\013__GOAL__t3033.37-t3048.90__BASE__landscape.mp4","24478935","0DBF77EDA2DA3F545FD14A8929FDBAE34FFE020DEAACAF23D49E53273ECFD7E8","9/22/2025 4:54:21 PM","9/22/2025 4:54:28 PM"
"C:\Users\scott\soccer-video\out\clips\009__GOAL__t2312.58-t2326.58.mp4","C:\Users\scott\soccer-video\out\reels\landscape\009__GOAL__t2312.58-t2326.58__BASE__landscape.mp4","21312314","41AE921F10CA73A03F05BBFFFA63920045C4296A29A6D65605D9DBC18976C6D0","9/22/2025 4:53:41 PM","9/22/2025 4:53:49 PM"
"C:\Users\scott\soccer-video\out\atomic_clips\017__SHOT__t2284.90-t2298.20.mp4","C:\Users\scott\soccer-video\out\reels\landscape\017__SHOT__t2284.90-t2298.20__BASE__landscape.mp4","20659105","73573F894159906F197785E670BC07F82A0A092799C62A2DD1D2C9AC562FA919","9/23/2025 10:55:46 AM","9/23/2025 10:55:53 AM"
"C:\Users\scott\soccer-video\out\atomic_clips\009__GOAL__t1420.40-t1438.20.mp4","C:\Users\scott\soccer-video\out\reels\landscape\009__GOAL__t1420.40-t1438.20__BASE__landscape.mp4","20635801","9EC1BE09A83EF7710AF9770DA69A529346FCF65EE496C1362687832AE6F79323","9/23/2025 10:54:38 AM","9/23/2025 10:54:46 AM"
"C:\Users\scott\soccer-video\out\atomic_clips\005__GOAL__t417.90-t431.60.mp4","C:\Users\scott\soccer-video\out\reels\landscape\005__GOAL__t417.90-t431.60__BASE__landscape.mp4","20315542","D1992A3EB1745D3A10857536380B20FE0A78D0F4991F54374CCD27C44EDF7A3F","9/23/2025 10:54:04 AM","9/23/2025 10:54:11 AM"
