"FullName","Relative","SizeBytes","LastWriteTime","InLikelyArtifactDir"
"C:\Users\scott\soccer-video\out\transforms_A.trf","out\transforms_A.trf","184714370","9/16/2025 10:07:02 AM","True"
"C:\Users\scott\soccer-video\transforms.trf","transforms.trf","184714370","9/16/2025 6:19:51 AM","False"
"C:\Users\scott\soccer-video\out\transforms_B.trf","out\transforms_B.trf","175590458","9/16/2025 10:14:41 AM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\010__GOAL__t2345.25-t2359.25__BASE__landscape.mp4","out\reels\landscape\010__GOAL__t2345.25-t2359.25__BASE__landscape.mp4","25856664","9/22/2025 4:54:00 PM","True"
"C:\Users\scott\soccer-video\out\clips\010__GOAL__t2345.25-t2359.25.mp4","out\clips\010__GOAL__t2345.25-t2359.25.mp4","25856664","9/22/2025 4:53:53 PM","True"
"C:\Users\scott\soccer-video\out\clips\012__PASSES__t467.14-t481.14.mp4","out\clips\012__PASSES__t467.14-t481.14.mp4","25837835","9/19/2025 3:40:38 PM","True"
"C:\Users\scott\soccer-video\out\clips\042__PASSES_SHOT__t1398.30-t1423.99.mp4","out\clips\042__PASSES_SHOT__t1398.30-t1423.99.mp4","25623276","9/19/2025 3:42:51 PM","True"
"C:\Users\scott\soccer-video\out\clips\004__PASSES_SHOT__t190.41-t209.91.mp4","out\clips\004__PASSES_SHOT__t190.41-t209.91.mp4","25386546","9/19/2025 3:40:04 PM","True"
"C:\Users\scott\soccer-video\out\clips\055__GOAL_GOAL_RESETS__t1783.65-t1800.69.mp4","out\clips\055__GOAL_GOAL_RESETS__t1783.65-t1800.69.mp4","25202378","9/19/2025 3:43:43 PM","True"
"C:\Users\scott\soccer-video\out\clips\025__PASSES__t880.84-t894.84.mp4","out\clips\025__PASSES__t880.84-t894.84.mp4","24917338","9/19/2025 3:41:31 PM","True"
"C:\Users\scott\soccer-video\out\clips\082__GOAL_GOAL_FORCED__t2599.29-t2618.79.mp4","out\clips\082__GOAL_GOAL_FORCED__t2599.29-t2618.79.mp4","24813289","9/19/2025 3:45:45 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\004__GOAL__t266.50-t283.10__BASE__landscape.mp4","out\reels\landscape\004__GOAL__t266.50-t283.10__BASE__landscape.mp4","24745694","9/23/2025 10:54:01 AM","True"
"C:\Users\scott\soccer-video\out\clips\090__PASSES__t2833.18-t2847.18.mp4","out\clips\090__PASSES__t2833.18-t2847.18.mp4","24572532","9/19/2025 3:46:23 PM","True"
"C:\Users\scott\soccer-video\out\clips\013__GOAL__t3033.37-t3048.90.mp4","out\clips\013__GOAL__t3033.37-t3048.90.mp4","24478935","9/22/2025 4:54:21 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\013__GOAL__t3033.37-t3048.90__BASE__landscape.mp4","out\reels\landscape\013__GOAL__t3033.37-t3048.90__BASE__landscape.mp4","24478935","9/22/2025 4:54:28 PM","True"
"C:\Users\scott\soccer-video\out\clips\033__PASSES__t1134.63-t1148.63.mp4","out\clips\033__PASSES__t1134.63-t1148.63.mp4","24232528","9/19/2025 3:42:13 PM","True"
"C:\Users\scott\soccer-video\out\clips\067__PASSES__t2116.12-t2130.12.mp4","out\clips\067__PASSES__t2116.12-t2130.12.mp4","24136162","9/19/2025 3:44:28 PM","True"
"C:\Users\scott\soccer-video\out\clips\051__GOAL_FORCED_PASSES__t1697.98-t1713.14.mp4","out\clips\051__GOAL_FORCED_PASSES__t1697.98-t1713.14.mp4","24133793","9/19/2025 3:43:26 PM","True"
"C:\Users\scott\soccer-video\out\clips\041__PASSES__t1367.24-t1381.24.mp4","out\clips\041__PASSES__t1367.24-t1381.24.mp4","23863110","9/19/2025 3:42:47 PM","True"
"C:\Users\scott\soccer-video\out\clips\031__PASSES__t1071.31-t1085.31.mp4","out\clips\031__PASSES__t1071.31-t1085.31.mp4","23512568","9/19/2025 3:42:05 PM","True"
"C:\Users\scott\soccer-video\out\clips_shots_top10\clip_0004.mp4","out\clips_shots_top10\clip_0004.mp4","23259042","9/17/2025 12:35:55 PM","True"
"C:\Users\scott\soccer-video\out\clips\072__PASSES__t2267.58-t2281.58.mp4","out\clips\072__PASSES__t2267.58-t2281.58.mp4","23074130","9/19/2025 3:44:52 PM","True"
"C:\Users\scott\soccer-video\out\clips\049__PASSES__t1659.60-t1673.60.mp4","out\clips\049__PASSES__t1659.60-t1673.60.mp4","23028858","9/19/2025 3:43:19 PM","True"
"C:\Users\scott\soccer-video\out\clips\043__PASSES__t1432.07-t1446.07.mp4","out\clips\043__PASSES__t1432.07-t1446.07.mp4","22700616","9/19/2025 3:42:55 PM","True"
"C:\Users\scott\soccer-video\out\clips\027__PASSES__t928.16-t939.16.mp4","out\clips\027__PASSES__t928.16-t939.16.mp4","22602906","9/19/2025 3:41:39 PM","True"
"C:\Users\scott\soccer-video\out\clips\024__SHOT__t850.77-t864.77.mp4","out\clips\024__SHOT__t850.77-t864.77.mp4","22403722","9/19/2025 3:41:26 PM","True"
"C:\Users\scott\soccer-video\out\clips\003__PASSES_SHOT__t162.09-t178.65.mp4","out\clips\003__PASSES_SHOT__t162.09-t178.65.mp4","22156471","9/19/2025 3:39:59 PM","True"
"C:\Users\scott\soccer-video\out\clips\095__PASSES__t2980.27-t2991.27.mp4","out\clips\095__PASSES__t2980.27-t2991.27.mp4","22122242","9/19/2025 3:46:42 PM","True"
"C:\Users\scott\soccer-video\out\clips\081__PASSES__t2583.01-t2597.01.mp4","out\clips\081__PASSES__t2583.01-t2597.01.mp4","21932810","9/19/2025 3:45:40 PM","True"
"C:\Users\scott\soccer-video\out\clips\064__PASSES__t2030.20-t2042.00.mp4","out\clips\064__PASSES__t2030.20-t2042.00.mp4","21913767","9/19/2025 3:44:18 PM","True"
"C:\Users\scott\soccer-video\out\clips_build_top10\clip_0005.mp4","out\clips_build_top10\clip_0005.mp4","21865759","9/17/2025 12:46:48 PM","True"
"C:\Users\scott\soccer-video\out\clips_shots_top10\clip_0005.mp4","out\clips_shots_top10\clip_0005.mp4","21850368","9/17/2025 12:36:49 PM","True"
"C:\Users\scott\soccer-video\out\clips\052__GOAL_RESETS_PASSES__t1722.43-t1739.64.mp4","out\clips\052__GOAL_RESETS_PASSES__t1722.43-t1739.64.mp4","21752900","9/19/2025 3:43:31 PM","True"
"C:\Users\scott\soccer-video\out\reels\tiktok\022__SHOT__t3028.10-t3059.70__ZOOM__tiktok.mp4","out\reels\tiktok\022__SHOT__t3028.10-t3059.70__ZOOM__tiktok.mp4","21748529","9/23/2025 12:04:39 PM","True"
"C:\Users\scott\soccer-video\out\clips\092__PASSES__t2884.63-t2898.63.mp4","out\clips\092__PASSES__t2884.63-t2898.63.mp4","21507154","9/19/2025 3:46:31 PM","True"
"C:\Users\scott\soccer-video\out\clips\028__PASSES__t943.70-t957.14.mp4","out\clips\028__PASSES__t943.70-t957.14.mp4","21470796","9/19/2025 3:41:42 PM","True"
"C:\Users\scott\soccer-video\out\clips_top10\clip_0005.mp4","out\clips_top10\clip_0005.mp4","21376327","9/17/2025 2:51:08 PM","True"
"C:\Users\scott\soccer-video\out\clips\009__GOAL__t2312.58-t2326.58.mp4","out\clips\009__GOAL__t2312.58-t2326.58.mp4","21312314","9/22/2025 4:53:41 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\009__GOAL__t2312.58-t2326.58__BASE__landscape.mp4","out\reels\landscape\009__GOAL__t2312.58-t2326.58__BASE__landscape.mp4","21312314","9/22/2025 4:53:49 PM","True"
"C:\Users\scott\soccer-video\out\clips\065__PASSES__t2066.55-t2080.55.mp4","out\clips\065__PASSES__t2066.55-t2080.55.mp4","21265046","9/19/2025 3:44:21 PM","True"
"C:\Users\scott\soccer-video\out\clips\058__GOAL_RESETS__t1877.66-t1891.66.mp4","out\clips\058__GOAL_RESETS__t1877.66-t1891.66.mp4","21192783","9/19/2025 3:43:55 PM","True"
"C:\Users\scott\soccer-video\out\clips\034__PASSES__t1179.71-t1193.71.mp4","out\clips\034__PASSES__t1179.71-t1193.71.mp4","21061901","9/19/2025 3:42:18 PM","True"
"C:\Users\scott\soccer-video\out\clips\077__PASSES__t2477.18-t2491.18.mp4","out\clips\077__PASSES__t2477.18-t2491.18.mp4","21050543","9/19/2025 3:45:26 PM","True"
