"Frame","TimeSec","Count","LatencyMs"
"1","3028.1","1","74.5"
"2","3028.14141546527","1","35.5"
"3","3028.18283093054","1","34"
"4","3028.22424639581","1","33.9"
"5","3028.26566186107","1","33"
"6","3028.30707732634","1","33.2"
"7","3028.34849279161","1","34.2"
"8","3028.38990825688","1","45.5"
"9","3028.43132372215","1","38.5"
"10","3028.47273918742","1","48.6"
"11","3028.51415465269","1","53.5"
"12","3028.55557011796","1","48"
"13","3028.59698558322","1","34.8"
"14","3028.63840104849","1","34.2"
"15","3028.67981651376","1","33.2"
"16","3028.72123197903","1","33.1"
"17","3028.7626474443","1","32.4"
"18","3028.80406290957","1","33.5"
"19","3028.84547837484","1","32.3"
"20","3028.8868938401","1","34.8"
"21","3028.92830930537","1","34"
"22","3028.96972477064","1","32.3"
"23","3029.01114023591","1","33.6"
"24","3029.05255570118","1","35.6"
"25","3029.09397116645","1","71.3"
"26","3029.13538663172","1","32.2"
"27","3029.17680209699","1","35.7"
"28","3029.21821756225","1","33.4"
"29","3029.25963302752","1","33.3"
"30","3029.30104849279","1","35.2"
"31","3029.34246395806","1","32.9"
"32","3029.38387942333","1","31.7"
"33","3029.4252948886","1","31.7"
"34","3029.46671035387","1","50.3"
"35","3029.50812581913","1","34.5"
"36","3029.5495412844","1","36.7"
"37","3029.59095674967","1","39.1"
"38","3029.63237221494","1","40.3"
"39","3029.67378768021","1","34.5"
"40","3029.71520314548","1","32.9"
"41","3029.75661861075","1","33.3"
"42","3029.79803407602","1","33.4"
"43","3029.83944954128","1","33"
"44","3029.88086500655","1","32"
"45","3029.92228047182","1","33.3"
"46","3029.96369593709","1","32.6"
"47","3030.00511140236","1","32"
"48","3030.04652686763","1","32.7"
"49","3030.0879423329","1","33"
"50","3030.12935779817","1","36"
"51","3030.17077326343","1","36.9"
"52","3030.2121887287","1","32.9"
"53","3030.25360419397","1","32.9"
"54","3030.29501965924","1","33.1"
"55","3030.33643512451","1","34.1"
"56","3030.37785058978","1","34.5"
"57","3030.41926605505","1","36.4"
"58","3030.46068152031","1","34.4"
"59","3030.50209698558","1","33"
"60","3030.54351245085","1","32.4"
"61","3030.58492791612","1","34.7"
"62","3030.62634338139","1","34.8"
"63","3030.66775884666","1","61.7"
"64","3030.70917431193","1","75.3"
"65","3030.7505897772","1","48.5"
"66","3030.79200524246","1","45.2"
"67","3030.83342070773","1","35"
"68","3030.874836173","1","40.4"
"69","3030.91625163827","1","32.4"
"70","3030.95766710354","1","33.1"
"71","3030.99908256881","1","33.4"
"72","3031.04049803408","1","32.5"
"73","3031.08191349934","1","33.6"
"74","3031.12332896461","1","33.3"
"75","3031.16474442988","1","38"
"76","3031.20615989515","1","37.2"
"77","3031.24757536042","1","37.6"
"78","3031.28899082569","1","35.8"
"79","3031.33040629096","1","33.8"
"80","3031.37182175623","1","38.1"
"81","3031.41323722149","1","34.1"
"82","3031.45465268676","1","56.8"
"83","3031.49606815203","1","34.5"
"84","3031.5374836173","1","45"
"85","3031.57889908257","1","35"
