frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,550.3,391.9,hold,0.30,540.8,360.0,345.3,12.5,391.0,695.1,1,193.0,0,0,accel_zoom=0.901|flight_commit=0.44|edge_zoom=0.902|bounds
1,558.5,391.5,blended,0.68,539.9,360.0,345.9,15.2,387.9,689.6,1,183.9,0,0,flight_commit=0.49|edge_zoom=0.964|bounds
2,547.4,391.1,yolo,0.31,538.8,360.0,346.4,17.9,384.8,684.2,1,193.9,0,0,flight_commit=0.67|edge_zoom=0.964|bounds
3,544.2,390.5,yolo,0.42,537.9,360.0,346.9,20.4,382.0,679.2,1,196.2,0,0,flight_commit=0.42|edge_zoom=0.966|bounds
4,540.7,389.8,yolo,0.51,537.3,360.0,347.5,22.5,379.6,674.9,1,199.1,0,0,flight_commit=0.24|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.973|bounds
5,536.5,388.9,yolo,0.54,537.3,360.0,348.4,24.2,377.8,671.6,1,201.7,0,0,flight_commit=0.15|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.976|bounds
6,525.8,386.5,yolo,0.50,538.0,360.0,349.7,25.2,376.6,669.6,1,190.3,0,0,flight_commit=0.41|edge_zoom=0.973|bounds
7,513.5,383.7,yolo,0.46,539.7,360.0,351.5,25.5,376.3,669.0,1,176.3,0,0,flight_commit=0.69|edge_zoom=0.971|bounds
8,512.9,383.4,yolo,0.48,542.4,360.0,354.0,25.1,376.8,669.9,1,173.0,0,0,flight_commit=0.30|conf_zoom=0.99|conf_speed=1.00|edge_zoom=0.984|bounds
9,521.0,385.0,yolo,0.47,546.3,360.0,357.2,23.8,378.2,672.4,1,177.2,0,0,flight_commit=0.39|edge_zoom=0.965|bounds
10,531.1,387.0,yolo,0.53,551.2,360.0,360.9,21.8,380.5,676.4,1,182.4,0,0,flight_commit=0.56|edge_zoom=0.964|bounds
11,541.2,389.0,yolo,0.46,557.0,360.0,365.3,19.0,383.6,681.9,1,186.7,0,0,flight_commit=0.69|edge_zoom=0.962|bounds
12,551.0,390.9,yolo,0.47,563.7,360.0,370.0,15.7,387.4,688.7,1,189.8,0,0,flight_commit=0.76|edge_zoom=0.961|bounds
13,560.0,392.6,yolo,0.44,570.9,360.0,375.0,11.8,391.8,696.4,1,191.6,0,0,flight_commit=0.78|edge_zoom=0.960|bounds
14,568.4,394.2,yolo,0.54,578.3,360.0,380.0,7.6,396.5,704.9,1,192.6,0,0,shot_pb=1.00|flight_commit=0.76|edge_zoom=0.964|bounds
15,576.1,395.7,yolo,0.53,585.5,360.0,384.9,3.2,401.3,713.5,1,193.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.959|bounds
16,583.0,396.9,yolo,0.47,592.3,360.0,389.2,0.0,406.1,722.0,1,193.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.958|bounds
17,589.3,398.1,yolo,0.44,598.1,360.0,392.8,0.0,410.6,729.9,1,193.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.957|bounds
18,594.8,399.0,yolo,0.38,602.5,360.0,395.3,0.0,414.5,736.9,1,194.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.956|bounds
19,599.5,399.8,yolo,0.38,605.3,360.0,396.4,0.0,417.8,742.8,1,196.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.956|bounds
20,603.4,400.5,yolo,0.34,606.1,360.0,395.9,0.0,420.4,747.4,1,199.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.956|bounds
21,606.5,401.0,yolo,0.31,604.7,360.0,393.6,0.0,422.2,750.6,1,200.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.955|bounds
22,608.6,401.3,yolo,0.30,600.9,360.0,389.3,0.0,423.3,752.5,1,194.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.959|bounds
23,609.6,401.3,interp,0.38,594.8,360.0,382.9,0.0,423.8,753.4,1,187.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.958|bounds
24,609.4,401.1,yolo,0.32,586.5,360.0,374.6,0.0,423.8,753.5,1,179.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
25,608.3,400.7,yolo,0.38,576.0,360.0,364.2,0.0,423.6,753.1,1,170.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.967|bounds
26,605.5,400.1,yolo,0.42,563.7,360.0,352.0,0.0,423.3,752.5,1,160.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.966|bounds
27,600.8,399.0,yolo,0.40,549.7,360.0,338.2,0.0,423.0,752.0,1,151.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.965|bounds
28,593.6,397.5,yolo,0.41,534.4,360.0,323.0,0.0,422.9,751.8,1,143.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.965|bounds
29,583.5,395.5,yolo,0.39,518.0,360.0,306.5,0.0,423.0,752.0,1,137.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.968|bounds
30,566.2,392.2,interp,0.38,500.8,360.0,289.0,0.0,423.5,752.9,1,137.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.974|bounds
31,545.9,388.4,interp,0.38,483.0,360.0,270.8,0.0,424.4,754.4,1,139.6,0,0,flight_commit=1.00|edge_zoom=0.975|bounds
32,523.2,384.2,yolo,0.39,464.9,360.0,252.1,0.0,425.5,756.5,1,144.2,0,0,flight_commit=1.00|edge_zoom=0.971|bounds
33,489.9,378.1,yolo,0.39,446.7,360.0,233.2,0.0,426.9,758.9,1,159.3,0,0,accel_zoom=0.932|flight_commit=1.00|edge_zoom=0.976|bounds
34,470.8,374.8,yolo,0.44,428.7,360.0,214.4,0.0,428.5,761.7,1,160.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.974|bounds
35,459.7,373.2,yolo,0.40,411.1,360.0,196.1,0.0,430.1,764.6,1,153.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.976|bounds
36,433.9,369.4,yolo,0.35,394.4,360.0,178.5,0.0,431.7,767.4,1,163.0,0,0,accel_zoom=0.928|shot_pb=1.00|flight_commit=1.00|flight_boost=1.06|edge_zoom=0.978|bounds
37,399.6,364.1,yolo,0.33,378.7,360.0,162.1,0.0,433.1,769.9,1,181.6,0,0,accel_zoom=0.896|shot_pb=1.00|flight_commit=1.00|person_ctx=3|flight_boost=1.13|edge_zoom=0.981|bounds
38,368.3,359.1,yolo,0.31,364.3,360.0,147.2,0.0,434.3,772.1,1,198.5,0,0,accel_zoom=0.896|shot_pb=1.00|flight_commit=1.00|person_ctx=3|flight_boost=1.20|edge_zoom=0.984|bounds
39,346.4,355.3,interp,0.38,351.6,360.0,134.0,0.0,435.3,773.9,1,197.3,0,0,accel_zoom=0.896|shot_pb=1.00|flight_commit=1.00|person_ctx=4|flight_boost=1.17|edge_zoom=0.986|bounds
40,327.3,351.7,interp,0.38,340.8,360.0,122.8,0.0,436.1,775.3,1,189.0,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=3|flight_boost=1.07|edge_zoom=0.988|bounds
41,311.1,348.3,interp,0.38,332.0,360.0,113.7,0.0,436.7,776.4,1,181.6,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=3|flight_boost=1.10|edge_zoom=0.990|bounds
42,297.7,345.1,yolo,0.31,325.3,360.0,106.8,0.0,437.1,777.0,1,174.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=2|flight_boost=1.11|edge_zoom=0.994|bounds
43,284.7,341.6,yolo,0.31,320.6,360.0,101.9,0.0,437.3,777.4,1,166.6,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=2|flight_boost=1.06|edge_zoom=0.996|bounds
44,283.1,338.7,interp,0.38,317.7,360.0,99.1,0.0,437.4,777.5,1,167.9,0,0,shot_pb=1.00|flight_commit=1.00|bounds
45,284.4,336.0,interp,0.38,316.6,360.0,98.0,0.0,437.4,777.5,1,170.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.985|bounds
46,287.3,333.5,yolo,0.28,317.1,360.0,98.4,0.0,437.3,777.5,1,172.7,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=3|edge_zoom=0.990|bounds
47,289.6,331.5,interp,0.38,318.8,360.0,100.2,0.0,437.2,777.3,1,173.3,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=2|edge_zoom=0.989|bounds
48,291.3,329.4,interp,0.38,321.7,360.0,103.2,0.0,437.0,777.0,1,172.1,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=3|edge_zoom=0.985|bounds
49,291.6,327.2,interp,0.38,325.7,360.0,107.3,0.0,436.9,776.6,1,168.4,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=3|edge_zoom=0.996|bounds
50,279.3,322.5,interp,0.38,330.9,360.0,112.5,0.0,436.7,776.3,1,150.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=3|edge_zoom=0.994|bounds
51,275.7,319.7,interp,0.38,337.1,360.0,118.9,0.0,436.5,776.0,1,141.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.985|bounds
