frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,548.6,391.7,hold,0.30,544.9,360.0,336.9,0.0,416.1,739.7,1,198.8,0,0,accel_zoom=0.901|conf_zoom=0.82|edge_zoom=0.902|bounds
1,553.3,391.4,blended,0.68,544.5,360.0,338.8,0.0,411.4,731.4,1,193.7,0,0,flight_commit=0.31|edge_zoom=0.964|bounds
2,547.3,391.2,yolo,0.31,544.1,360.0,340.8,0.0,406.5,722.7,1,199.3,0,0,flight_commit=0.29|edge_zoom=0.964|bounds
3,546.0,390.9,yolo,0.42,543.7,360.0,343.0,3.1,401.5,713.8,1,200.2,0,0,flight_commit=0.03|conf_zoom=0.97|edge_zoom=0.972|bounds
4,544.7,390.5,yolo,0.51,543.6,360.0,345.3,7.4,396.6,705.1,1,201.4,0,0,conf_zoom=0.88|edge_zoom=0.976|bounds
5,543.3,390.2,yolo,0.54,543.8,360.0,347.8,11.6,391.9,696.7,1,202.0,0,0,conf_zoom=0.90|edge_zoom=0.978|bounds
6,538.3,389.0,yolo,0.50,544.4,360.0,350.7,15.6,387.5,688.8,1,196.4,0,0,conf_zoom=0.91|edge_zoom=0.978|bounds
7,532.3,387.5,yolo,0.46,545.5,360.0,353.8,19.2,383.4,681.5,1,189.3,0,0,conf_zoom=0.91|edge_zoom=0.978|bounds
8,532.5,387.4,yolo,0.48,547.2,360.0,357.4,22.6,379.6,674.8,1,187.8,0,0,conf_zoom=0.92|edge_zoom=0.978|bounds
9,537.1,388.3,yolo,0.47,549.3,360.0,361.2,25.6,376.2,668.7,1,190.3,0,0,conf_zoom=0.92|edge_zoom=0.972|bounds
10,542.5,389.3,yolo,0.53,551.9,360.0,365.4,28.4,373.0,663.2,1,193.1,0,0,conf_zoom=0.93|edge_zoom=0.969|bounds
11,547.8,390.3,yolo,0.46,554.9,360.0,369.8,30.9,370.2,658.1,1,195.4,0,0,conf_zoom=0.93|edge_zoom=0.968|bounds
12,552.8,391.2,yolo,0.47,558.2,360.0,374.4,33.2,367.6,653.5,1,197.1,0,0,conf_zoom=0.93|edge_zoom=0.967|bounds
13,557.6,392.1,yolo,0.44,561.6,360.0,379.0,35.4,365.2,649.3,1,198.5,0,0,conf_zoom=0.93|edge_zoom=0.967|bounds
14,561.9,392.9,yolo,0.54,565.1,360.0,383.6,37.3,363.0,645.3,1,199.3,0,0,conf_zoom=0.94|edge_zoom=0.967|bounds
15,565.9,393.6,yolo,0.53,568.4,360.0,387.9,39.2,360.9,641.7,1,200.0,0,0,conf_zoom=0.95|edge_zoom=0.967|bounds
16,569.5,394.2,yolo,0.47,571.3,360.0,391.8,40.8,359.1,638.4,1,200.7,0,0,conf_zoom=0.95|edge_zoom=0.968|bounds
17,572.5,394.7,yolo,0.44,573.9,360.0,395.1,42.2,357.5,635.6,1,201.1,0,0,conf_zoom=0.94|edge_zoom=0.968|bounds
18,575.0,395.1,yolo,0.38,575.9,360.0,397.7,43.3,356.3,633.4,1,201.6,0,0,conf_zoom=0.93|edge_zoom=0.969|bounds
19,577.0,395.4,yolo,0.38,577.1,360.0,399.4,44.1,355.4,631.8,1,202.4,0,0,conf_zoom=0.92|edge_zoom=0.970|bounds
20,578.3,395.5,yolo,0.34,577.5,360.0,400.0,44.5,355.0,631.0,1,201.7,0,0,conf_zoom=0.91|edge_zoom=0.971|bounds
21,578.8,395.5,yolo,0.31,577.0,360.0,399.5,44.4,355.0,631.2,1,200.7,0,0,conf_zoom=0.90|edge_zoom=0.982|bounds
22,578.7,395.4,yolo,0.30,575.3,360.0,397.5,43.9,355.7,632.3,1,199.1,0,0,conf_zoom=0.89|bounds
23,577.6,395.0,interp,0.28,572.5,360.0,394.1,42.7,356.9,634.5,1,197.4,0,0,conf_zoom=0.88|bounds
24,575.6,394.5,yolo,0.32,568.4,360.0,389.0,41.1,358.8,637.9,1,195.3,0,0,conf_zoom=0.87|bounds
25,572.8,393.8,yolo,0.38,563.0,360.0,382.3,38.8,361.4,642.4,1,192.7,0,0,conf_zoom=0.87|edge_zoom=0.985|bounds
26,568.9,392.9,yolo,0.42,556.1,360.0,373.8,35.9,364.6,648.2,1,189.7,0,0,conf_zoom=0.88|edge_zoom=0.970|bounds
27,563.7,391.8,yolo,0.40,547.8,360.0,363.5,32.5,368.5,655.1,1,186.6,0,0,conf_zoom=0.88|edge_zoom=0.968|bounds
28,557.1,390.4,yolo,0.41,538.0,360.0,351.5,28.5,373.0,663.1,1,183.4,0,0,conf_zoom=0.88|edge_zoom=0.968|bounds
29,549.0,388.7,yolo,0.39,526.9,360.0,337.9,24.0,378.0,672.0,1,180.4,0,0,flight_commit=0.03|conf_zoom=0.97|edge_zoom=0.968|bounds
30,537.0,386.3,interp,0.28,514.6,360.0,322.8,19.1,383.5,681.8,1,180.1,0,0,flight_commit=0.38|edge_zoom=0.968|bounds
31,523.5,383.7,interp,0.28,501.2,360.0,306.6,13.9,389.3,692.1,1,180.2,0,0,flight_commit=0.72|edge_zoom=0.970|bounds
32,508.8,380.8,yolo,0.39,487.2,360.0,289.5,8.6,395.3,702.8,1,180.9,0,0,flight_commit=1.00|edge_zoom=0.972|bounds
33,488.2,376.8,yolo,0.39,472.7,360.0,272.0,3.2,401.3,713.5,1,187.0,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.975|bounds
34,475.4,374.4,yolo,0.44,458.2,360.0,254.6,0.0,407.2,723.9,1,185.3,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.976|bounds
35,467.2,372.8,yolo,0.40,444.2,360.0,237.8,0.0,412.7,733.8,1,179.5,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.977|bounds
36,451.3,370.1,yolo,0.35,431.1,360.0,222.2,0.0,417.8,742.8,1,182.3,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.978|bounds
37,431.2,366.6,yolo,0.33,419.5,360.0,208.4,0.0,422.3,750.7,1,190.8,0,0,accel_zoom=0.933|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
38,413.1,363.2,yolo,0.31,409.8,360.0,196.8,0.0,426.1,757.5,1,199.2,0,0,accel_zoom=0.928|shot_pb=1.00|flight_commit=1.00|person_ctx=3|edge_zoom=0.982|bounds
39,400.6,360.6,interp,0.28,402.6,360.0,188.0,0.0,429.3,763.2,1,200.5,0,0,shot_pb=1.00|conf_zoom=0.85|person_ctx=4|edge_zoom=0.984|bounds
40,389.9,358.2,interp,0.28,398.1,360.0,182.2,0.0,431.8,767.7,1,194.3,0,0,shot_pb=1.00|conf_zoom=0.85|person_ctx=3|edge_zoom=0.987|bounds
41,381.2,356.0,interp,0.28,396.6,360.0,179.7,0.0,433.8,771.2,1,187.1,0,0,shot_pb=1.00|conf_zoom=0.84|person_ctx=4|edge_zoom=0.991|bounds
42,374.5,353.9,yolo,0.31,398.1,360.0,180.5,0.0,435.2,773.8,1,178.9,0,0,shot_pb=1.00|conf_zoom=0.84|person_ctx=3|edge_zoom=0.994|bounds
43,368.6,351.7,yolo,0.31,402.6,360.0,184.5,0.0,436.3,775.7,1,168.5,0,0,shot_pb=1.00|conf_zoom=0.84|person_ctx=3|edge_zoom=0.996|bounds
44,369.6,350.1,interp,0.28,410.0,360.0,191.4,0.0,437.1,777.0,1,162.1,1,0,shot_pb=1.00|conf_zoom=0.83|speed|edge_zoom=0.993|bounds|final_speed
45,373.0,348.7,interp,0.28,419.7,360.0,200.9,0.0,437.6,777.9,1,155.8,1,0,shot_pb=1.00|conf_zoom=0.83|speed|edge_zoom=0.995|bounds|final_speed
46,378.4,347.5,yolo,0.28,431.3,360.0,212.3,0.0,437.9,778.5,1,149.6,1,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|speed|edge_zoom=0.991|bounds|final_speed
47,384.8,346.9,interp,0.28,444.3,360.0,225.3,0.0,438.1,778.9,1,143.0,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=3|edge_zoom=0.988|bounds
48,392.6,346.4,interp,0.28,458.2,360.0,239.1,0.0,438.2,779.1,1,136.9,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.987|bounds
49,401.6,346.2,interp,0.28,472.5,360.0,253.4,0.0,438.3,779.2,1,131.6,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.960|bounds
50,411.6,346.2,interp,0.28,486.6,360.0,267.5,0.0,438.3,779.2,1,127.5,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.905|bounds
51,422.4,346.3,interp,0.28,500.3,360.0,281.2,0.0,438.3,779.3,1,124.6,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.915|bounds
52,434.0,346.6,interp,0.28,513.3,360.0,294.2,0.0,438.4,779.3,1,123.2,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.925|bounds
53,446.1,347.0,interp,0.28,525.5,360.0,306.3,0.0,438.4,779.3,1,123.1,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.934|bounds
54,458.7,347.5,interp,0.28,536.9,360.0,317.7,0.0,438.4,779.3,1,124.3,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.982|bounds
55,471.7,348.1,interp,0.28,547.5,360.0,328.3,0.0,438.4,779.3,1,126.7,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.991|bounds
56,484.9,348.8,interp,0.28,557.5,360.0,338.4,0.0,438.4,779.3,1,129.9,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.994|bounds
