frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,642.0,337.8,hold,0.22,641.0,360.0,431.3,0.0,419.5,745.7,1,201.5,0,0,accel_zoom=0.901|conf_zoom=0.76|edge_zoom=0.948|bounds
1,641.5,337.6,hold,0.22,641.0,360.0,432.7,0.0,416.4,740.3,1,202.0,0,0,conf_zoom=0.76|bounds
2,640.9,337.4,hold,0.22,640.9,360.0,434.4,0.0,412.9,734.1,1,202.5,0,0,conf_zoom=0.76|bounds
3,640.2,337.2,yolo,0.51,640.7,360.0,436.2,0.0,409.1,727.3,1,202.0,0,0,conf_zoom=0.79|bounds
4,639.4,336.9,yolo,0.46,640.6,360.0,438.1,0.0,405.0,720.1,1,201.3,0,0,conf_zoom=0.81|bounds
5,638.5,336.6,interp,0.28,640.5,360.0,440.0,3.6,401.0,712.8,1,200.5,0,0,conf_zoom=0.81|bounds
6,637.4,336.2,yolo,0.40,640.4,360.0,441.9,7.1,397.0,705.7,1,199.5,0,0,conf_zoom=0.82|bounds
7,636.2,335.8,yolo,0.37,640.2,360.0,443.6,10.4,393.3,699.1,1,198.5,0,0,conf_zoom=0.83|bounds
8,634.9,335.3,interp,0.28,640.1,360.0,445.1,13.4,389.9,693.2,1,197.3,0,0,conf_zoom=0.83|bounds
9,633.5,334.8,yolo,0.33,639.9,360.0,446.3,15.9,387.1,688.1,1,196.1,0,0,conf_zoom=0.83|bounds
10,632.1,334.2,interp,0.28,639.6,360.0,447.3,18.0,384.7,683.9,1,195.0,0,0,conf_zoom=0.82|bounds
11,630.5,333.6,interp,0.28,639.3,360.0,447.8,19.6,382.9,680.7,1,193.7,0,0,conf_zoom=0.82|bounds
12,628.8,332.9,yolo,0.32,638.8,360.0,448.0,20.8,381.6,678.4,1,192.5,0,0,conf_zoom=0.82|bounds
13,627.1,332.1,interp,0.28,638.2,360.0,447.8,21.5,380.8,677.1,1,191.4,0,0,conf_zoom=0.82|bounds
14,625.2,331.2,interp,0.28,637.4,360.0,447.1,21.7,380.6,676.6,1,190.3,0,0,conf_zoom=0.82|bounds
15,623.2,330.1,interp,0.28,636.3,360.0,445.9,21.6,380.7,676.9,1,189.4,0,0,conf_zoom=0.82|bounds
16,621.1,329.0,interp,0.28,634.9,360.0,444.2,21.0,381.3,677.9,1,188.7,0,0,conf_zoom=0.81|bounds
17,618.8,327.7,interp,0.28,633.2,360.0,442.0,20.1,382.3,679.7,1,188.1,0,0,conf_zoom=0.81|bounds
18,616.4,326.2,interp,0.28,631.1,360.0,439.2,18.9,383.7,682.1,1,187.8,0,0,conf_zoom=0.81|bounds
19,613.8,324.6,interp,0.28,628.6,360.0,435.9,17.4,385.4,685.1,1,187.7,0,0,conf_zoom=0.81|edge_zoom=0.999|bounds
20,610.9,322.7,yolo,0.34,625.7,360.0,432.0,15.7,387.4,688.7,1,187.7,0,0,conf_zoom=0.82|edge_zoom=0.998|bounds
