frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,521.8,310.2,yolo,0.51,519.7,360.0,309.8,0.0,419.9,746.5,1,200.4,1,0,accel_zoom=0.901|flight_commit=0.44|person_ctx=4|edge_zoom=0.871|bounds|final_speed
1,521.4,310.3,interp,0.28,519.6,360.0,311.6,0.0,416.0,739.5,1,200.7,0,0,flight_commit=0.10|conf_zoom=0.98|person_ctx=4|edge_zoom=0.996|bounds
2,521.1,310.3,yolo,0.43,519.3,360.0,313.4,0.0,411.9,732.2,1,200.7,0,0,conf_zoom=0.94|person_ctx=4|edge_zoom=0.998|bounds
3,520.6,310.4,interp,0.28,519.1,360.0,315.2,0.0,407.6,724.6,1,201.0,0,0,conf_zoom=0.92|person_ctx=4|bounds
4,520.2,310.5,interp,0.28,518.8,360.0,317.1,1.5,403.3,717.0,1,201.1,0,0,conf_zoom=0.90|person_ctx=4|bounds
5,519.7,310.5,interp,0.28,518.6,360.0,319.0,5.3,399.1,709.4,1,201.4,0,0,conf_zoom=0.89|person_ctx=4|bounds
6,519.2,310.6,interp,0.28,518.3,360.0,320.9,9.0,394.9,702.1,1,201.6,0,0,conf_zoom=0.87|person_ctx=4|bounds
7,518.7,310.7,interp,0.28,518.2,360.0,322.7,12.5,390.9,694.9,1,202.0,0,0,conf_zoom=0.86|person_ctx=4|bounds
8,518.1,310.7,interp,0.28,518.0,360.0,324.5,15.9,387.1,688.1,1,202.4,0,0,conf_zoom=0.86|person_ctx=4|bounds
9,517.5,310.8,interp,0.28,517.9,360.0,326.2,19.2,383.4,681.7,1,202.1,0,0,conf_zoom=0.85|person_ctx=4|bounds
10,516.9,310.8,interp,0.28,517.8,360.0,327.8,22.2,380.1,675.6,1,201.6,0,0,conf_zoom=0.84|person_ctx=4|bounds
11,516.2,310.9,interp,0.28,517.8,360.0,329.3,24.9,376.9,670.1,1,200.9,0,0,conf_zoom=0.84|bounds
12,515.5,310.9,yolo,0.44,517.7,360.0,330.7,27.5,374.1,665.1,1,200.3,0,0,conf_zoom=0.85|bounds
13,514.6,310.9,yolo,0.41,517.7,360.0,331.9,29.7,371.6,660.6,1,199.4,0,0,conf_zoom=0.85|person_ctx=4|bounds
14,513.7,311.0,yolo,0.44,517.7,360.0,333.0,31.7,369.4,656.6,1,198.5,0,0,conf_zoom=0.86|bounds
15,513.1,310.9,interp,0.28,517.7,360.0,333.9,33.4,367.5,653.3,1,197.9,0,0,conf_zoom=0.86|bounds
16,512.5,310.9,interp,0.28,517.7,360.0,334.7,34.8,365.9,650.4,1,197.3,0,0,conf_zoom=0.85|bounds
17,512.0,310.8,interp,0.28,517.7,360.0,335.4,35.9,364.6,648.1,1,196.8,0,0,conf_zoom=0.84|bounds
18,511.5,310.8,interp,0.28,517.7,360.0,335.9,36.8,363.6,646.3,1,196.3,0,0,conf_zoom=0.84|bounds
19,511.2,310.7,interp,0.28,517.7,360.0,336.3,37.5,362.8,645.0,1,196.0,0,0,conf_zoom=0.83|bounds
20,511.0,310.6,yolo,0.43,517.8,360.0,336.7,37.9,362.3,644.1,1,195.7,0,0,conf_zoom=0.84|bounds
21,510.7,310.5,interp,0.28,517.9,360.0,336.9,38.2,362.1,643.7,1,195.3,0,0,conf_zoom=0.84|bounds
22,510.7,310.3,yolo,0.41,518.1,360.0,337.1,38.2,362.1,643.7,1,195.1,0,0,conf_zoom=0.85|bounds
23,510.7,310.2,yolo,0.38,518.4,360.0,337.2,37.9,362.4,644.2,1,194.8,0,0,conf_zoom=0.85|bounds
24,511.0,310.0,yolo,0.34,518.8,360.0,337.3,37.3,363.0,645.3,1,194.7,0,0,conf_zoom=0.85|bounds
25,511.9,309.7,interp,0.28,519.4,360.0,337.4,36.5,364.0,647.1,1,195.0,0,0,conf_zoom=0.84|bounds
26,513.1,309.5,interp,0.28,520.2,360.0,337.5,35.2,365.4,649.5,1,195.4,0,0,conf_zoom=0.84|bounds
27,514.8,309.1,interp,0.28,521.2,360.0,337.6,33.7,367.1,652.7,1,196.1,0,0,conf_zoom=0.83|bounds
28,517.0,308.8,yolo,0.31,522.6,360.0,337.9,31.7,369.3,656.5,1,196.9,0,0,conf_zoom=0.83|bounds
29,520.2,308.3,interp,0.28,524.3,360.0,338.4,29.5,371.8,661.0,1,198.4,0,0,conf_zoom=0.83|bounds
30,523.9,307.8,interp,0.28,526.4,360.0,339.0,26.9,374.7,666.2,1,200.0,0,0,conf_zoom=0.82|bounds
31,528.0,307.2,interp,0.28,528.9,360.0,340.0,24.1,377.9,671.8,1,201.6,0,0,conf_zoom=0.82|edge_zoom=0.997|bounds
