frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,659.0,292.8,centroid,0.30,653.6,360.0,438.3,0.0,430.5,765.4,1,197.1,1,0,accel_zoom=0.901|flight_commit=0.44|edge_zoom=0.823|bounds|final_speed
1,658.3,293.0,centroid,0.30,652.7,360.0,438.4,0.0,428.5,761.8,1,196.9,0,0,flight_commit=0.12|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.989|bounds
2,657.4,293.2,centroid,0.30,651.4,360.0,438.4,0.0,426.1,757.6,1,196.5,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.994|bounds
3,656.3,293.5,centroid,0.30,649.8,360.0,438.1,0.0,423.4,752.8,1,196.0,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.995|bounds
4,655.0,294.0,centroid,0.30,647.8,360.0,437.6,0.0,420.4,747.4,1,195.3,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.995|bounds
5,653.3,294.6,centroid,0.30,645.2,360.0,436.7,0.0,417.0,741.3,1,194.4,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.996|bounds
6,651.3,295.4,centroid,0.30,642.1,360.0,435.4,0.0,413.3,734.7,1,193.3,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.996|bounds
7,648.7,296.4,centroid,0.30,638.3,360.0,433.6,0.0,409.3,727.7,1,192.1,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.996|bounds
8,645.6,297.8,centroid,0.30,633.7,360.0,431.0,0.0,405.2,720.4,1,190.6,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.996|bounds
9,641.7,299.7,centroid,0.30,628.2,360.0,427.6,3.4,401.2,713.3,1,189.0,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.996|bounds
10,636.9,302.1,centroid,0.30,621.7,360.0,423.0,6.7,397.5,706.6,1,187.3,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.996|bounds
11,629.0,309.8,yolo,0.79,614.1,360.0,417.0,9.6,394.2,700.8,1,187.6,0,0,flight_commit=0.11|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.997|bounds
12,622.0,311.6,yolo,0.82,605.4,360.0,409.6,11.9,391.7,696.3,1,185.9,0,0,flight_commit=0.20|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.993|bounds
13,613.6,312.2,yolo,0.84,595.5,360.0,400.5,13.3,390.0,693.4,1,184.4,0,0,flight_commit=0.32|conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.991|bounds
14,604.1,311.9,yolo,0.81,584.4,360.0,389.7,13.8,389.4,692.3,1,182.8,0,0,flight_commit=0.47|edge_zoom=0.989|bounds
15,593.6,311.0,yolo,0.74,572.1,360.0,377.1,13.3,390.0,693.4,1,181.0,0,0,flight_commit=0.63|person_ctx=4|edge_zoom=0.987|bounds
16,583.2,310.0,interp,0.38,558.7,360.0,362.8,11.8,391.7,696.4,1,178.0,0,0,flight_commit=0.74|edge_zoom=0.987|bounds
17,572.4,308.7,interp,0.38,544.2,360.0,346.9,9.3,394.5,701.3,1,174.3,0,0,shot_pb=0.40|flight_commit=0.85|edge_zoom=0.987|bounds
18,560.9,307.2,yolo,0.66,528.8,360.0,329.7,6.1,398.2,707.9,1,170.4,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.984|bounds
19,548.8,305.8,interp,0.38,512.5,360.0,311.3,2.2,402.5,715.6,1,166.2,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.983|bounds
20,535.8,304.3,interp,0.38,495.6,360.0,292.0,0.0,407.3,724.1,1,162.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.982|bounds
21,521.9,302.8,interp,0.38,478.2,360.0,272.1,0.0,412.2,732.8,1,158.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.981|bounds
22,506.8,301.4,interp,0.38,460.6,360.0,252.1,0.0,417.0,741.3,1,156.3,0,0,accel_zoom=0.945|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.981|bounds
23,490.3,300.0,yolo,0.57,443.0,360.0,232.3,0.0,421.4,749.2,1,155.2,0,0,accel_zoom=0.942|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
24,470.5,298.5,interp,0.38,425.5,360.0,212.9,0.0,425.3,756.1,1,157.5,0,0,accel_zoom=0.932|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
25,449.2,297.3,yolo,0.50,408.6,360.0,194.3,0.0,428.6,762.0,1,161.9,0,0,accel_zoom=0.929|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
26,424.6,296.4,yolo,0.55,392.6,360.0,176.9,0.0,431.3,766.7,1,170.5,0,0,accel_zoom=0.919|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
27,400.0,296.2,yolo,0.55,377.7,360.0,161.0,0.0,433.4,770.4,1,180.2,0,0,accel_zoom=0.919|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.981|bounds
28,376.2,296.4,yolo,0.50,364.3,360.0,146.9,0.0,434.9,773.2,1,190.6,0,0,accel_zoom=0.919|shot_pb=1.00|flight_commit=1.00|flight_boost=1.03|edge_zoom=0.981|bounds
29,353.0,297.7,yolo,0.50,353.0,360.0,134.9,0.0,436.1,775.2,1,202.5,0,0,accel_zoom=0.919|shot_pb=1.00|flight_commit=1.00|flight_boost=1.07|edge_zoom=0.983|bounds
30,330.8,300.2,yolo,0.60,343.9,360.0,125.5,0.0,436.9,776.6,1,189.4,0,0,accel_zoom=0.919|shot_pb=1.00|flight_commit=1.00|flight_boost=1.09|edge_zoom=0.986|bounds
31,310.2,303.5,yolo,0.66,337.6,360.0,119.0,0.0,437.4,777.5,1,175.1,0,0,accel_zoom=0.919|shot_pb=1.00|flight_commit=1.00|flight_boost=1.10|edge_zoom=0.990|bounds
32,291.8,307.5,yolo,0.56,334.4,360.0,115.6,0.0,437.7,778.1,1,159.9,0,0,accel_zoom=0.919|shot_pb=1.00|flight_commit=1.00|flight_boost=1.08|edge_zoom=0.993|bounds
33,276.1,312.0,yolo,0.55,334.6,360.0,115.6,0.0,437.9,778.4,1,144.0,0,0,shot_pb=1.00|flight_commit=1.00|flight_boost=1.05|edge_zoom=0.997|bounds
34,263.7,316.9,yolo,0.51,338.2,360.0,119.2,0.0,438.0,778.6,1,128.0,0,0,shot_pb=1.00|flight_commit=1.00|bounds
35,255.5,322.0,yolo,0.54,345.5,360.0,126.4,0.0,438.0,778.7,1,112.5,0,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|edge_zoom=0.997|bounds
36,252.5,327.1,yolo,0.49,356.2,360.0,137.2,0.0,438.1,778.8,1,98.8,0,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|edge_zoom=0.999|bounds
37,255.9,331.7,interp,0.32,370.2,360.0,151.1,0.0,438.1,778.9,1,88.2,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.980|bounds
38,267.7,335.3,interp,0.32,387.0,360.0,167.9,0.0,438.1,778.9,1,83.2,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.992|bounds
39,289.7,337.8,interp,0.32,406.2,360.0,187.1,0.0,438.1,778.9,1,86.0,0,0,accel_zoom=0.924|shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.996|bounds
40,371.4,334.4,centroid,0.23,427.1,360.0,208.0,0.0,438.1,778.8,1,146.8,0,0,accel_zoom=0.781|shot_pb=1.00|flight_commit=1.00|flight_boost=1.05|edge_zoom=0.998|bounds
41,402.9,334.7,centroid,0.23,449.0,360.0,230.1,0.0,437.9,778.5,1,156.4,0,0,accel_zoom=0.781|shot_pb=1.00|flight_commit=1.00|flight_boost=1.13|bounds
42,429.6,335.2,centroid,0.24,471.4,360.0,252.6,0.0,437.6,777.9,1,160.7,0,0,accel_zoom=0.781|shot_pb=1.00|flight_commit=1.00|flight_boost=1.20|bounds
43,452.3,335.6,centroid,0.24,493.4,360.0,274.9,0.0,437.1,777.0,1,161.4,0,0,accel_zoom=0.781|shot_pb=1.00|flight_commit=1.00|flight_boost=1.28|bounds
44,472.0,336.1,centroid,0.24,514.6,360.0,296.4,0.0,436.3,775.6,1,159.9,0,0,accel_zoom=0.781|shot_pb=1.00|flight_commit=1.00|flight_boost=1.34|bounds
45,489.1,336.6,centroid,0.24,534.3,360.0,316.8,0.0,435.1,773.5,1,157.3,0,0,shot_pb=1.00|flight_commit=1.00|flight_boost=1.36|bounds
46,504.1,337.0,centroid,0.25,552.3,360.0,335.6,0.0,433.5,770.6,1,154.3,0,0,shot_pb=1.00|flight_commit=1.00|flight_boost=1.33|bounds
47,517.3,337.4,centroid,0.25,568.2,360.0,352.6,0.0,431.3,766.7,1,151.6,0,0,shot_pb=1.00|flight_commit=1.00|flight_boost=1.03|edge_zoom=0.999|bounds
48,529.1,337.7,centroid,0.25,582.0,360.0,367.8,0.0,428.4,761.6,1,149.6,0,0,shot_pb=1.00|flight_commit=1.00|bounds
49,539.7,337.9,centroid,0.25,593.4,360.0,381.0,0.0,424.9,755.4,1,148.8,0,0,shot_pb=1.00|flight_commit=1.00|bounds
50,549.2,338.1,centroid,0.26,602.8,360.0,392.3,0.0,420.8,748.1,1,148.9,0,0,shot_pb=1.00|flight_commit=1.00|bounds
51,557.7,338.1,centroid,0.26,610.0,360.0,401.9,0.0,416.2,739.9,1,150.2,0,0,shot_pb=1.00|flight_commit=1.00|bounds
52,565.5,338.0,centroid,0.26,615.5,360.0,409.8,0.0,411.3,731.3,1,152.5,0,0,shot_pb=1.00|flight_commit=1.00|bounds
53,572.5,337.8,centroid,0.27,619.3,360.0,416.1,0.0,406.4,722.6,1,155.7,0,0,shot_pb=1.00|flight_commit=1.00|bounds
54,578.8,337.5,centroid,0.27,621.8,360.0,420.9,2.8,401.8,714.3,1,159.5,0,0,shot_pb=1.00|flight_commit=0.89|bounds
55,584.5,337.0,centroid,0.27,623.2,360.0,424.4,6.5,397.7,707.0,1,163.8,0,0,flight_commit=0.70|edge_zoom=0.986|bounds
56,589.5,336.4,centroid,0.27,623.8,360.0,426.6,9.4,394.4,701.1,1,168.2,0,0,flight_commit=0.53|bounds
57,593.9,335.7,centroid,0.28,623.6,360.0,427.5,11.5,392.0,697.0,1,172.8,0,0,flight_commit=0.37|bounds
58,597.6,334.9,centroid,0.28,622.8,360.0,427.4,12.7,390.7,694.6,1,177.3,0,0,flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|bounds
59,600.6,333.9,centroid,0.28,621.5,360.0,426.3,12.9,390.5,694.2,1,181.6,0,0,flight_commit=0.07|conf_zoom=0.93|conf_speed=0.96|bounds
60,602.8,332.9,centroid,0.28,619.8,360.0,424.2,12.3,391.2,695.4,1,185.5,0,0,conf_zoom=0.70|conf_speed=0.84|bounds
61,604.3,331.7,centroid,0.29,617.6,360.0,421.3,11.0,392.6,698.0,1,189.2,0,0,conf_zoom=0.71|conf_speed=0.84|bounds
62,604.9,330.4,centroid,0.29,614.9,360.0,417.6,9.3,394.5,701.4,1,192.5,0,0,conf_zoom=0.71|conf_speed=0.84|bounds
63,604.7,329.0,centroid,0.29,611.5,360.0,413.2,7.4,396.7,705.2,1,195.7,0,0,conf_zoom=0.71|conf_speed=0.84|bounds
64,603.5,327.5,centroid,0.29,607.5,360.0,408.1,5.6,398.8,708.9,1,198.5,0,0,conf_zoom=0.71|conf_speed=0.84|bounds
65,601.3,325.9,centroid,0.30,602.7,360.0,402.5,4.0,400.5,712.0,1,201.1,0,0,conf_zoom=0.71|conf_speed=0.84|bounds
66,598.0,324.3,centroid,0.30,597.0,360.0,396.2,2.9,401.7,714.2,1,201.5,0,0,conf_zoom=0.71|conf_speed=0.84|edge_zoom=0.998|bounds
67,592.5,322.8,centroid,0.30,590.4,360.0,389.2,2.3,402.4,715.3,1,200.4,0,0,conf_zoom=0.72|conf_speed=0.84|edge_zoom=0.997|bounds
68,586.0,321.2,centroid,0.30,582.8,360.0,381.5,2.2,402.5,715.6,1,199.3,0,0,conf_zoom=0.72|conf_speed=0.85|edge_zoom=0.996|bounds
