frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,633.0,331.0,hold,0.30,630.5,360.0,417.9,0.0,425.1,755.7,1,200.0,0,0,accel_zoom=0.901|conf_zoom=0.82|edge_zoom=0.929|bounds
1,631.8,330.7,hold,0.30,630.0,360.0,419.1,0.0,421.8,749.8,1,200.7,0,0,conf_zoom=0.82|bounds
2,630.4,330.4,hold,0.30,629.3,360.0,420.3,0.0,418.0,743.1,1,201.4,0,0,conf_zoom=0.82|bounds
3,628.8,330.0,hold,0.30,628.3,360.0,421.4,0.0,413.9,735.8,1,202.0,0,0,conf_zoom=0.82|bounds
4,626.9,329.6,hold,0.30,627.1,360.0,422.3,0.0,409.4,727.9,1,202.3,0,0,conf_zoom=0.82|bounds
5,624.9,329.0,hold,0.30,625.5,360.0,423.1,0.2,404.8,719.6,1,201.9,0,0,conf_zoom=0.82|bounds
6,622.5,328.5,hold,0.30,623.5,360.0,423.5,4.4,400.0,711.2,1,201.5,0,0,conf_zoom=0.82|bounds
7,619.9,327.8,hold,0.30,621.0,360.0,423.4,8.6,395.3,702.7,1,201.4,0,0,conf_zoom=0.82|bounds
8,616.8,327.1,hold,0.30,618.0,360.0,422.6,12.7,390.7,694.6,1,201.3,0,0,conf_zoom=0.82|bounds
9,613.4,326.2,hold,0.30,614.3,360.0,421.2,16.6,386.3,686.8,1,201.6,0,0,conf_zoom=0.82|bounds
10,609.5,325.3,hold,0.30,609.9,360.0,418.7,20.1,382.4,679.8,1,202.1,0,0,conf_zoom=0.82|edge_zoom=0.999|bounds
11,605.1,324.2,yolo,0.79,604.8,360.0,415.3,23.1,379.0,673.8,1,202.2,0,0,conf_zoom=0.87|edge_zoom=0.998|bounds
12,599.8,322.9,yolo,0.82,598.8,360.0,410.6,25.5,376.3,669.1,1,201.5,0,0,conf_zoom=0.92|edge_zoom=0.997|bounds
13,593.6,321.3,yolo,0.84,591.9,360.0,404.7,27.1,374.5,665.7,1,200.8,0,0,conf_zoom=0.96|edge_zoom=0.996|bounds
14,586.6,319.5,yolo,0.81,584.2,360.0,397.4,28.0,373.5,664.0,1,200.1,0,0,conf_zoom=1.00|edge_zoom=0.994|bounds
15,578.9,317.6,yolo,0.74,575.5,360.0,388.7,28.0,373.5,664.1,1,199.1,0,0,person_ctx=4|edge_zoom=0.992|bounds
16,571.2,315.9,interp,0.28,566.0,360.0,378.7,27.1,374.6,665.9,1,197.3,0,0,flight_commit=0.29|person_ctx=4|edge_zoom=0.991|bounds
17,563.1,314.1,interp,0.28,555.6,360.0,367.3,25.3,376.5,669.4,1,195.0,0,0,flight_commit=0.38|person_ctx=4|edge_zoom=0.990|bounds
18,554.7,312.5,yolo,0.66,544.4,360.0,354.8,22.8,379.3,674.4,1,192.2,0,0,flight_commit=0.46|person_ctx=4|edge_zoom=0.989|bounds
19,545.9,310.9,interp,0.28,532.6,360.0,341.2,19.6,382.9,680.8,1,189.2,0,0,flight_commit=0.54|person_ctx=4|edge_zoom=0.988|bounds
20,536.8,309.4,interp,0.28,520.3,360.0,326.7,15.9,387.1,688.2,1,186.0,0,0,flight_commit=0.62|person_ctx=4|edge_zoom=0.987|bounds
21,527.4,307.9,interp,0.28,507.6,360.0,311.8,11.9,391.6,696.2,1,182.7,0,0,shot_pb=0.60|flight_commit=0.69|person_ctx=4|edge_zoom=0.989|bounds
22,517.7,306.6,interp,0.28,494.9,360.0,296.8,7.7,396.3,704.6,1,179.7,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.986|bounds
23,507.8,305.4,yolo,0.57,482.5,360.0,282.0,3.6,401.0,712.8,1,177.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.984|bounds
24,496.6,304.2,interp,0.28,470.7,360.0,268.0,0.0,405.4,720.6,1,176.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.983|bounds
25,485.4,303.2,yolo,0.50,459.9,360.0,255.3,0.0,409.4,727.8,1,177.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.982|bounds
26,473.2,302.3,yolo,0.55,450.7,360.0,244.2,0.0,412.9,734.0,1,180.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.982|bounds
27,461.9,301.8,yolo,0.55,443.4,360.0,235.4,0.0,415.9,739.4,1,184.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.983|bounds
28,452.0,301.6,yolo,0.50,438.4,360.0,229.1,0.0,418.4,743.9,1,188.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.983|bounds
29,443.7,301.8,yolo,0.50,436.0,360.0,225.7,0.0,420.6,747.6,1,194.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.988|bounds
30,437.1,302.7,yolo,0.60,436.3,360.0,225.2,0.0,422.4,750.9,1,201.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.992|bounds
31,432.7,303.9,yolo,0.66,439.5,360.0,227.5,0.0,424.0,753.7,1,195.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.997|bounds
32,431.2,305.3,yolo,0.56,445.3,360.0,232.6,0.0,425.4,756.3,1,188.4,0,0,shot_pb=1.00|flight_commit=1.00|bounds
33,432.8,306.9,yolo,0.55,453.4,360.0,240.0,0.0,426.9,758.9,1,181.9,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.994|bounds
34,438.1,308.6,yolo,0.51,463.4,360.0,249.3,0.0,428.3,761.4,1,177.2,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.996|bounds
35,468.6,309.3,centroid,0.22,474.8,360.0,259.9,0.0,429.7,764.0,1,196.3,1,0,accel_zoom=0.900|shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.988|bounds
36,479.9,310.4,centroid,0.23,486.9,360.0,271.4,0.0,431.1,766.4,1,195.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.991|bounds
37,490.6,311.5,centroid,0.23,499.3,360.0,283.0,0.0,432.4,768.8,1,193.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.991|bounds
38,500.8,312.5,centroid,0.23,511.3,360.0,294.5,0.0,433.6,770.8,1,192.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.991|bounds
39,510.5,313.5,centroid,0.23,522.6,360.0,305.3,0.0,434.6,772.5,1,190.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.995|bounds
40,519.8,314.5,centroid,0.24,532.9,360.0,315.2,0.0,435.3,773.9,1,189.4,0,0,shot_pb=1.00|conf_zoom=0.85|edge_zoom=0.998|bounds
41,528.7,315.5,centroid,0.24,542.0,360.0,324.2,0.0,435.8,774.7,1,189.2,0,0,shot_pb=1.00|conf_zoom=0.84|bounds
42,537.1,316.4,centroid,0.24,550.0,360.0,332.1,0.0,435.9,775.0,1,189.6,0,0,conf_zoom=0.83|edge_zoom=0.997|bounds
43,545.1,317.3,centroid,0.24,556.9,360.0,339.0,0.0,435.8,774.7,1,190.7,0,0,conf_zoom=0.82|edge_zoom=0.998|bounds
44,552.6,318.2,centroid,0.25,562.8,360.0,345.2,0.0,435.2,773.7,1,192.3,0,0,conf_zoom=0.81|edge_zoom=0.998|bounds
45,559.7,319.0,centroid,0.25,567.8,360.0,350.7,0.0,434.2,771.9,1,194.4,0,0,conf_zoom=0.81|edge_zoom=0.997|bounds
46,566.4,319.8,centroid,0.25,572.2,360.0,355.8,0.0,432.8,769.4,1,196.7,0,0,conf_zoom=0.81|edge_zoom=0.998|bounds
47,572.6,320.5,centroid,0.25,576.0,360.0,360.6,0.0,430.8,765.9,1,199.1,0,0,conf_zoom=0.80|edge_zoom=0.998|bounds
48,578.3,321.2,centroid,0.26,579.4,360.0,365.2,0.0,428.4,761.6,1,201.4,0,0,conf_zoom=0.80|edge_zoom=0.998|bounds
49,583.6,321.8,centroid,0.26,582.4,360.0,369.7,0.0,425.5,756.4,1,201.3,0,0,conf_zoom=0.80|edge_zoom=0.998|bounds
50,588.4,322.4,centroid,0.26,585.2,360.0,374.1,0.0,422.1,750.4,1,199.3,0,0,conf_zoom=0.80|edge_zoom=0.998|bounds
51,592.7,322.8,centroid,0.27,587.6,360.0,378.5,0.0,418.3,743.7,1,197.4,0,0,conf_zoom=0.80|edge_zoom=0.999|bounds
52,596.5,323.3,centroid,0.27,589.8,360.0,382.7,0.0,414.3,736.5,1,195.8,0,0,conf_zoom=0.80|edge_zoom=0.999|bounds
53,599.8,323.6,centroid,0.27,591.8,360.0,386.7,0.0,410.1,729.1,1,194.5,0,0,conf_zoom=0.80|bounds
54,602.5,323.8,centroid,0.27,593.4,360.0,390.5,0.0,405.9,721.6,1,193.4,0,0,conf_zoom=0.80|bounds
55,604.7,324.0,centroid,0.28,594.8,360.0,393.8,2.8,401.9,714.5,1,192.6,0,0,conf_zoom=0.80|bounds
56,606.4,324.0,centroid,0.28,595.8,360.0,396.7,6.0,398.2,707.9,1,191.9,0,0,conf_zoom=0.80|bounds
57,607.5,324.0,centroid,0.28,596.6,360.0,399.1,8.9,395.0,702.2,1,191.6,0,0,conf_zoom=0.80|bounds
58,608.0,323.9,centroid,0.28,596.9,360.0,400.7,11.2,392.4,697.5,1,191.4,0,0,conf_zoom=0.80|bounds
59,607.8,323.7,centroid,0.29,596.9,360.0,401.7,12.9,390.5,694.2,1,191.6,0,0,conf_zoom=0.80|bounds
60,607.1,323.4,centroid,0.29,596.5,360.0,401.8,13.9,389.4,692.2,1,191.9,0,0,conf_zoom=0.80|bounds
61,605.7,322.9,centroid,0.29,595.6,360.0,401.0,14.2,389.1,691.7,1,192.4,0,0,conf_zoom=0.80|bounds
62,603.6,322.4,centroid,0.29,594.2,360.0,399.4,13.7,389.6,692.6,1,193.1,0,0,conf_zoom=0.81|bounds
63,600.8,321.8,centroid,0.30,592.2,360.0,396.7,12.5,390.9,694.9,1,193.9,0,0,conf_zoom=0.81|bounds
64,597.3,321.1,centroid,0.30,589.5,360.0,393.1,10.7,392.9,698.5,1,194.7,0,0,conf_zoom=0.81|bounds
