frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,575.6,314.4,blended,0.73,613.6,360.0,406.4,0.0,414.4,736.6,1,164.5,0,0,accel_zoom=0.901|edge_zoom=0.883|bounds
1,576.2,317.4,interp,0.38,618.7,360.0,411.0,0.0,415.3,738.3,1,160.0,0,0,bounds
2,588.3,320.4,interp,0.38,624.9,360.0,416.7,0.0,416.5,740.5,1,165.9,0,0,flight_commit=0.55|edge_zoom=0.997|bounds
3,609.9,323.1,blended,0.74,631.9,360.0,422.9,0.0,418.0,743.2,1,180.5,0,0,flight_commit=1.00|edge_zoom=0.997|bounds
4,626.0,328.0,blended,0.80,639.1,360.0,429.2,0.0,419.8,746.2,1,189.4,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.997|bounds
5,647.3,332.3,yolo,0.33,645.8,360.0,435.0,0.0,421.5,749.4,1,201.0,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.997|bounds
6,666.1,335.9,yolo,0.34,651.4,360.0,439.8,0.0,423.2,752.4,1,187.8,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.995|bounds
7,681.5,338.9,yolo,0.31,655.6,360.0,443.2,0.0,424.7,754.9,1,176.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.994|bounds
8,692.8,341.1,yolo,0.31,657.9,360.0,445.0,0.0,425.8,756.9,1,167.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.992|bounds
9,697.0,342.0,interp,0.38,658.3,360.0,445.0,0.0,426.4,758.1,1,163.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.992|bounds
10,697.9,342.3,interp,0.38,656.7,360.0,443.4,0.0,426.7,758.5,1,161.3,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.993|bounds
11,696.1,342.0,interp,0.38,653.6,360.0,440.3,0.0,426.5,758.1,1,160.0,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.998|bounds
12,691.9,341.2,interp,0.38,649.2,360.0,436.2,0.0,425.9,757.1,1,159.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.997|bounds
