frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,489.9,365.8,centroid,0.30,469.1,360.0,282.4,28.1,373.4,663.9,1,181.7,0,0,accel_zoom=0.901|flight_commit=0.44|edge_zoom=0.974|bounds
1,486.8,366.2,centroid,0.30,465.1,360.0,278.3,27.9,373.6,664.3,1,180.8,0,0,flight_commit=0.24|conf_zoom=0.97|conf_speed=0.99|edge_zoom=0.985|bounds
2,483.0,366.6,centroid,0.30,459.8,360.0,272.6,27.2,374.4,665.5,1,179.3,0,0,flight_commit=0.12|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.988|bounds
3,478.3,367.2,centroid,0.30,453.0,360.0,265.1,26.1,375.7,667.9,1,177.2,0,0,flight_commit=0.07|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.988|bounds
4,472.7,368.0,centroid,0.30,444.8,360.0,256.0,24.2,377.8,671.6,1,174.6,0,0,flight_commit=0.09|conf_zoom=0.93|person_ctx=4|conf_speed=0.96|edge_zoom=0.987|bounds
5,465.9,369.1,centroid,0.30,435.6,360.0,245.3,21.7,380.6,676.6,1,172.2,0,0,flight_commit=0.16|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.984|bounds
6,457.7,370.5,centroid,0.30,425.3,360.0,233.2,18.4,384.3,683.2,1,170.1,0,0,flight_commit=0.29|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.981|bounds
7,447.7,372.3,centroid,0.30,414.3,360.0,219.9,14.5,388.7,691.0,1,169.1,0,0,flight_commit=0.47|edge_zoom=0.975|bounds
8,435.5,374.7,centroid,0.30,402.9,360.0,206.0,10.0,393.8,700.0,1,169.9,0,0,flight_commit=0.72|edge_zoom=0.971|bounds
9,420.7,377.8,centroid,0.30,391.5,360.0,191.9,5.1,399.3,709.8,1,173.3,0,0,flight_commit=1.00|edge_zoom=0.969|bounds
10,402.6,381.8,centroid,0.30,380.5,360.0,178.0,0.0,405.0,720.0,1,180.4,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.966|bounds
11,357.2,392.5,yolo,0.65,370.5,360.0,165.1,0.0,410.7,730.2,1,189.2,0,0,accel_zoom=0.865|shot_pb=0.60|flight_commit=1.00|edge_zoom=0.958|bounds
12,340.6,396.7,yolo,0.56,361.9,360.0,153.8,0.0,416.1,739.8,1,181.2,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.956|bounds
13,329.2,400.0,interp,0.38,355.2,360.0,144.6,0.0,421.1,748.6,1,176.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.952|bounds
