frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,255.7,413.5,hold,0.30,264.5,360.0,48.3,0.0,432.5,769.0,1,193.7,1,0,accel_zoom=0.901|conf_zoom=0.82|edge_zoom=0.842|bounds|final_speed
1,256.4,413.5,hold,0.30,265.5,360.0,50.3,0.0,430.5,765.3,1,193.4,0,0,conf_zoom=0.82|edge_zoom=0.950|bounds
2,257.3,413.5,hold,0.30,266.7,360.0,52.8,0.0,428.0,760.8,1,193.1,0,0,conf_zoom=0.82|edge_zoom=0.950|bounds
3,258.2,413.4,hold,0.30,268.2,360.0,55.7,0.0,425.1,755.8,1,192.5,0,0,conf_zoom=0.82|edge_zoom=0.950|bounds
4,259.4,413.4,hold,0.30,269.8,360.0,58.8,0.0,422.0,750.1,1,192.1,0,0,conf_zoom=0.82|edge_zoom=0.950|bounds
5,260.6,413.4,hold,0.30,271.5,360.0,62.2,0.0,418.6,744.2,1,191.6,0,0,conf_zoom=0.82|edge_zoom=0.950|bounds
6,262.1,413.4,hold,0.30,273.3,360.0,65.7,0.0,415.2,738.2,1,191.3,0,0,conf_zoom=0.82|edge_zoom=0.968|bounds
7,263.7,413.4,hold,0.30,275.2,360.0,69.2,0.0,412.0,732.4,1,191.0,0,0,conf_zoom=0.82|edge_zoom=0.979|bounds
8,265.5,413.4,hold,0.30,277.3,360.0,72.8,0.0,409.0,727.1,1,190.7,0,0,conf_zoom=0.82|edge_zoom=0.982|bounds
9,267.6,413.4,hold,0.30,279.6,360.0,76.4,0.0,406.5,722.6,1,190.5,0,0,conf_zoom=0.82|edge_zoom=0.979|bounds
10,270.0,413.4,hold,0.30,282.3,360.0,80.0,0.4,404.5,719.2,1,190.2,0,0,conf_zoom=0.82|edge_zoom=0.972|bounds
11,272.7,413.3,yolo,0.65,285.3,360.0,83.6,1.6,403.2,716.9,1,189.9,0,0,conf_zoom=0.86|edge_zoom=0.958|bounds
12,275.8,413.3,yolo,0.56,288.7,360.0,87.3,2.1,402.7,715.9,1,189.6,0,0,conf_zoom=0.88|edge_zoom=0.950|bounds
13,279.7,413.3,interp,0.28,292.5,360.0,91.1,2.0,402.8,716.1,1,189.7,0,0,conf_zoom=0.87|edge_zoom=0.950|bounds
14,284.0,413.3,interp,0.28,296.9,360.0,95.1,1.2,403.6,717.5,1,189.6,0,0,conf_zoom=0.86|edge_zoom=0.950|bounds
15,288.6,413.2,interp,0.28,301.6,360.0,99.1,0.0,405.1,720.1,1,189.5,0,0,conf_zoom=0.85|edge_zoom=0.950|bounds
16,293.5,413.2,interp,0.28,306.9,360.0,103.4,0.0,407.0,723.6,1,189.1,0,0,conf_zoom=0.84|edge_zoom=0.950|bounds
17,298.8,413.1,interp,0.28,312.5,360.0,107.8,0.0,409.4,727.8,1,188.8,0,0,conf_zoom=0.84|edge_zoom=0.950|bounds
18,304.3,413.1,interp,0.28,318.6,360.0,112.5,0.0,412.1,732.6,1,188.2,0,0,conf_zoom=0.83|edge_zoom=0.950|bounds
19,310.0,413.0,interp,0.28,325.0,360.0,117.5,0.0,415.0,737.8,1,187.5,0,0,conf_zoom=0.83|edge_zoom=0.950|bounds
20,316.1,413.0,yolo,0.48,331.7,360.0,122.7,0.0,418.0,743.1,1,186.9,0,0,conf_zoom=0.85|edge_zoom=0.950|bounds
21,322.4,412.9,interp,0.28,338.6,360.0,128.2,0.0,420.9,748.3,1,186.3,0,0,conf_zoom=0.84|edge_zoom=0.950|bounds
22,329.0,412.9,interp,0.28,345.8,360.0,134.0,0.0,423.7,753.3,1,185.7,0,0,conf_zoom=0.83|edge_zoom=0.950|bounds
23,335.8,412.8,interp,0.28,353.3,360.0,140.1,0.0,426.3,757.9,1,185.0,0,0,conf_zoom=0.83|edge_zoom=0.950|bounds
24,342.7,412.8,interp,0.28,361.0,360.0,146.6,0.0,428.7,762.2,1,184.2,0,0,conf_zoom=0.83|edge_zoom=0.950|bounds
25,349.8,412.7,interp,0.28,368.9,360.0,153.5,0.0,430.8,765.9,1,183.4,0,0,conf_zoom=0.82|edge_zoom=0.950|bounds
26,357.0,412.6,interp,0.28,377.2,360.0,160.9,0.0,432.6,769.1,1,182.3,0,0,conf_zoom=0.82|edge_zoom=0.950|bounds
27,364.2,412.6,interp,0.28,385.8,360.0,168.8,0.0,434.1,771.7,1,180.9,0,0,conf_zoom=0.82|edge_zoom=0.950|bounds
28,371.6,412.5,interp,0.28,394.8,360.0,177.2,0.0,435.3,773.8,1,179.3,0,0,conf_zoom=0.82|edge_zoom=0.950|bounds
29,379.0,412.5,interp,0.28,404.3,360.0,186.2,0.0,436.2,775.4,1,177.2,0,0,conf_zoom=0.81|edge_zoom=0.950|bounds
30,386.4,412.4,interp,0.28,414.3,360.0,195.9,0.0,436.9,776.7,1,174.6,0,0,shot_pb=0.80|conf_zoom=0.81|edge_zoom=0.950|bounds
31,393.9,412.3,interp,0.28,424.8,360.0,206.1,0.0,437.4,777.6,1,171.6,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.950|bounds
32,401.4,412.3,interp,0.28,435.7,360.0,216.9,0.0,437.7,778.2,1,168.2,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.951|bounds
33,408.9,412.2,interp,0.28,447.0,360.0,228.0,0.0,438.0,778.6,1,164.4,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.951|bounds
34,416.4,412.2,interp,0.28,458.5,360.0,239.5,0.0,438.1,778.9,1,160.4,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.951|bounds
35,423.8,412.1,interp,0.28,470.1,360.0,251.0,0.0,438.2,779.1,1,156.2,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.951|bounds
36,431.3,412.1,interp,0.28,481.6,360.0,262.5,0.0,438.3,779.2,1,152.2,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.951|bounds
37,438.6,412.0,interp,0.28,492.8,360.0,273.6,0.0,438.3,779.2,1,148.3,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.951|bounds
38,445.9,412.0,interp,0.28,503.5,360.0,284.3,0.0,438.3,779.3,1,144.9,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.951|bounds
39,453.1,412.0,interp,0.28,513.6,360.0,294.4,0.0,438.3,779.3,1,142.0,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.951|bounds
40,460.2,411.9,interp,0.28,523.0,360.0,303.8,0.0,438.3,779.3,1,139.7,0,0,shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.951|bounds
41,467.1,411.9,interp,0.28,531.6,360.0,312.4,0.0,438.3,779.3,1,138.0,0,0,shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.951|bounds
