frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,720.2,310.3,centroid,0.30,704.2,360.0,507.7,10.7,393.0,698.7,1,186.5,0,0,accel_zoom=0.901|flight_commit=0.44|edge_zoom=0.872|bounds
1,716.2,309.9,centroid,0.30,701.6,360.0,507.5,15.0,388.1,690.0,1,187.9,0,0,flight_commit=0.28|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.992|bounds
2,711.5,309.5,centroid,0.30,698.1,360.0,506.4,19.1,383.5,681.7,1,189.1,0,0,flight_commit=0.20|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.993|bounds
3,706.0,309.0,centroid,0.30,693.9,360.0,504.2,22.8,379.3,674.4,1,190.4,0,0,flight_commit=0.17|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.993|bounds
4,700.0,308.4,centroid,0.30,688.8,360.0,500.8,25.8,376.0,668.4,1,191.3,0,0,flight_commit=0.18|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.992|bounds
5,693.4,307.7,centroid,0.30,683.1,360.0,496.4,28.0,373.5,664.1,1,192.2,0,0,flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.991|bounds
6,686.3,307.0,centroid,0.30,676.9,360.0,490.8,29.2,372.2,661.7,1,193.1,0,0,flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.990|bounds
7,678.9,306.3,centroid,0.30,670.1,360.0,484.1,29.3,372.0,661.3,1,193.7,0,0,flight_commit=0.32|conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.989|bounds
8,671.3,305.5,centroid,0.30,662.9,360.0,476.4,28.5,373.0,663.1,1,194.1,0,0,flight_commit=0.37|edge_zoom=0.988|bounds
9,663.7,304.7,centroid,0.30,655.4,360.0,467.9,26.6,375.1,666.9,1,194.2,0,0,flight_commit=0.41|person_ctx=4|edge_zoom=0.988|bounds
10,656.1,304.0,centroid,0.30,647.8,360.0,458.6,23.8,378.2,672.4,1,194.2,0,0,flight_commit=0.44|edge_zoom=0.988|bounds
11,648.8,303.3,centroid,0.30,640.1,360.0,449.0,20.3,382.2,679.5,1,193.8,0,0,shot_pb=0.80|flight_commit=0.45|edge_zoom=0.990|bounds
12,641.8,302.8,centroid,0.30,632.5,360.0,439.1,16.2,386.8,687.6,1,193.2,0,0,shot_pb=1.00|flight_commit=0.84|edge_zoom=0.983|bounds
13,635.2,302.4,centroid,0.30,625.4,360.0,429.6,11.8,391.7,696.3,1,192.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.982|bounds
14,629.2,302.2,centroid,0.30,619.0,360.0,420.7,7.5,396.6,705.1,1,192.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.982|bounds
15,623.7,302.1,centroid,0.30,613.4,360.0,412.8,3.3,401.3,713.4,1,192.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.983|bounds
16,619.0,302.3,centroid,0.30,609.1,360.0,406.4,0.0,405.5,720.8,1,192.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.984|bounds
17,614.9,302.5,centroid,0.30,606.2,360.0,401.7,0.0,409.0,727.0,1,193.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.986|bounds
18,611.5,303.0,centroid,0.30,604.9,360.0,399.1,0.0,411.6,731.8,1,195.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.987|bounds
19,608.9,303.6,centroid,0.30,605.4,360.0,398.7,0.0,413.5,735.1,1,199.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.984|bounds
20,607.0,304.3,centroid,0.30,607.7,360.0,400.4,0.0,414.6,737.0,1,201.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.994|bounds
21,605.9,305.2,centroid,0.30,611.7,360.0,404.3,0.0,414.9,737.6,1,196.7,0,0,shot_pb=1.00|flight_commit=1.00|bounds
22,605.6,306.1,centroid,0.30,617.3,360.0,410.0,0.0,414.6,737.1,1,190.8,0,0,shot_pb=1.00|flight_commit=1.00|bounds
23,606.0,307.0,centroid,0.30,624.3,360.0,417.4,0.0,413.9,735.8,1,184.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.990|bounds
24,607.2,308.1,centroid,0.30,632.3,360.0,426.0,0.0,412.7,733.6,1,177.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.996|bounds
25,609.0,309.1,centroid,0.30,641.0,360.0,435.4,0.0,411.0,730.7,1,170.5,0,0,shot_pb=1.00|flight_commit=1.00|bounds
26,611.4,310.1,centroid,0.30,649.9,360.0,445.4,0.0,409.0,727.1,1,164.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.997|bounds
27,614.3,311.1,centroid,0.30,658.8,360.0,455.5,0.0,406.5,722.7,1,158.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.995|bounds
28,617.8,312.1,centroid,0.30,667.2,360.0,465.5,1.4,403.5,717.3,1,153.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.995|bounds
29,621.6,312.9,centroid,0.30,674.9,360.0,475.0,4.6,399.8,710.8,1,149.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.996|bounds
30,625.8,313.7,centroid,0.30,681.6,360.0,483.8,8.4,395.6,703.2,1,146.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.997|bounds
31,630.2,314.3,centroid,0.30,687.3,360.0,491.9,12.7,390.8,694.7,1,145.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.998|bounds
32,634.8,314.9,centroid,0.30,691.8,360.0,499.0,17.3,385.5,685.3,1,145.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.999|bounds
33,639.5,315.4,centroid,0.30,695.2,360.0,505.2,22.3,379.9,675.5,1,146.8,0,0,shot_pb=1.00|flight_commit=1.00|bounds
34,644.4,315.9,centroid,0.30,697.6,360.0,510.4,27.3,374.3,665.5,1,149.3,0,0,shot_pb=1.00|flight_commit=1.00|bounds
35,649.3,316.3,centroid,0.30,699.1,360.0,514.6,32.1,368.9,655.9,1,152.7,0,0,shot_pb=1.00|flight_commit=0.95|bounds
36,654.2,316.7,centroid,0.30,699.9,360.0,517.9,36.4,364.0,647.2,1,156.8,0,0,shot_pb=1.00|flight_commit=0.74|bounds
37,659.1,317.1,centroid,0.30,700.1,360.0,520.2,40.1,359.9,639.8,1,161.5,0,0,flight_commit=0.53|edge_zoom=0.997|bounds
38,663.9,317.5,centroid,0.30,700.0,360.0,521.6,42.9,356.8,634.2,1,166.4,0,0,flight_commit=0.40|bounds
39,668.8,317.9,centroid,0.30,699.7,360.0,522.3,44.7,354.8,630.7,1,171.6,0,0,flight_commit=0.29|conf_zoom=0.99|conf_speed=0.99|bounds
40,673.5,318.4,centroid,0.30,699.3,360.0,522.3,45.3,354.0,629.3,1,176.7,0,0,flight_commit=0.21|conf_zoom=0.97|conf_speed=0.98|bounds
