frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1154.9,394.8,centroid,0.30,1136.1,540.0,822.6,0.0,627.1,1114.8,1,285.2,1,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1150.9,400.2,yolo,0.35,1132.9,540.0,821.9,0.0,621.9,1105.7,1,286.0,0,0,flight_commit=0.96|edge_zoom=0.980|bounds
2,1147.3,402.9,yolo,0.41,1128.5,540.0,819.9,0.0,617.3,1097.5,1,285.2,0,0,flight_commit=0.69|edge_zoom=0.975|bounds
3,1143.0,405.5,yolo,0.38,1123.0,540.0,816.2,0.0,613.6,1090.9,1,284.0,0,0,flight_commit=0.52|edge_zoom=0.977|bounds
4,1138.1,408.1,yolo,0.40,1116.4,540.0,810.8,0.0,611.1,1086.4,1,282.3,0,0,flight_commit=0.42|edge_zoom=0.978|bounds
5,1132.5,410.7,yolo,0.50,1108.7,540.0,803.7,0.0,610.0,1084.5,1,280.2,0,0,flight_commit=0.37|edge_zoom=0.979|bounds
6,1126.1,413.2,yolo,0.57,1100.0,540.0,794.8,0.0,610.4,1085.2,1,277.9,0,0,flight_commit=0.37|edge_zoom=0.980|bounds
7,1119.1,415.7,yolo,0.62,1090.4,540.0,784.3,0.0,612.2,1088.4,1,275.3,0,0,shot_pb=1.00|flight_commit=0.40|edge_zoom=0.966|bounds
8,1111.4,418.2,yolo,0.66,1080.1,540.0,772.4,0.0,615.3,1093.9,1,272.7,0,0,shot_pb=1.00|flight_commit=0.92|edge_zoom=0.974|bounds
9,1103.0,420.6,yolo,0.69,1069.1,540.0,759.4,0.0,619.3,1101.0,1,270.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.975|bounds
10,1093.7,422.9,yolo,0.73,1057.7,540.0,745.8,0.0,623.8,1109.0,1,268.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.973|bounds
11,1083.6,425.1,yolo,0.70,1046.1,540.0,731.8,0.0,628.5,1117.4,1,266.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.972|bounds
12,1067.2,426.7,yolo,0.58,1034.6,540.0,718.1,0.0,633.0,1125.3,1,271.4,0,0,accel_zoom=0.941|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.970|bounds
13,1054.8,428.8,yolo,0.55,1023.4,540.0,705.0,0.0,636.9,1132.2,1,272.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.973|bounds
14,1048.5,431.5,yolo,0.51,1013.0,540.0,693.0,0.0,640.0,1137.8,1,268.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.982|bounds
15,1043.5,434.3,yolo,0.47,1003.6,540.0,682.5,0.0,642.2,1141.7,1,264.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.988|bounds
16,1038.2,436.9,yolo,0.44,995.5,540.0,673.8,0.0,643.5,1144.0,1,261.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.980|bounds
17,1031.2,438.9,interp,0.38,989.0,540.0,667.1,0.0,643.9,1144.7,1,261.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
18,1024.1,440.9,interp,0.38,984.3,540.0,662.6,0.0,643.5,1144.0,1,264.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.971|bounds
19,1017.0,442.8,interp,0.38,981.6,540.0,660.4,0.0,642.5,1142.2,1,268.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.981|bounds
20,1010.0,444.7,interp,0.38,981.1,540.0,660.6,0.0,640.9,1139.4,1,275.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.973|bounds
21,1003.1,446.9,yolo,0.44,982.7,540.0,663.3,0.0,638.9,1135.8,1,283.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.983|bounds
22,994.6,449.1,interp,0.38,986.6,540.0,668.2,0.0,636.7,1131.9,1,296.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.975|bounds
23,987.4,451.8,yolo,0.40,992.5,540.0,675.3,0.0,634.3,1127.6,1,298.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.986|bounds
24,985.2,455.4,interp,0.38,1000.2,540.0,684.3,0.0,631.9,1123.3,1,289.0,0,0,shot_pb=1.00|flight_commit=1.00|bounds
25,985.3,459.5,yolo,0.44,1009.4,540.0,694.7,0.0,629.5,1119.1,1,279.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.994|bounds
26,990.1,464.9,yolo,0.51,1019.7,540.0,706.0,0.0,627.4,1115.3,1,274.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.998|bounds
27,996.0,470.5,yolo,0.59,1030.5,540.0,717.8,0.0,625.5,1111.9,1,269.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.998|bounds
28,1001.7,475.9,yolo,0.65,1041.3,540.0,729.4,0.0,623.9,1109.1,1,264.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.996|bounds
29,1006.9,481.2,yolo,0.69,1051.5,540.0,740.2,0.0,622.6,1106.8,1,259.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.994|bounds
30,1011.5,486.3,yolo,0.73,1060.6,540.0,749.7,0.0,621.7,1105.2,1,254.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.994|bounds
31,1015.3,491.4,yolo,0.73,1067.9,540.0,757.4,0.0,621.1,1104.2,1,251.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.995|bounds
32,1018.4,496.4,yolo,0.75,1073.2,540.0,762.8,0.0,620.8,1103.7,1,249.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.997|bounds
