frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,653.6,390.8,yolo,0.51,643.9,540.0,333.5,0.0,620.8,1103.7,1,294.3,1,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,653.4,390.6,yolo,0.52,643.1,540.0,337.0,0.0,612.0,1088.1,1,293.7,0,0,flight_commit=0.63|edge_zoom=0.952|bounds
2,653.2,390.5,yolo,0.49,642.0,540.0,340.8,4.5,602.5,1071.1,1,292.8,0,0,flight_commit=0.24|conf_zoom=0.97|conf_speed=0.99|edge_zoom=0.954|bounds
3,653.0,390.3,yolo,0.45,640.9,540.0,344.7,13.4,592.5,1053.3,1,291.9,0,0,conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.957|bounds
4,652.6,390.1,yolo,0.45,639.7,540.0,348.6,22.4,582.3,1035.1,1,291.1,0,0,conf_zoom=0.90|conf_speed=0.94|edge_zoom=0.959|bounds
5,652.2,389.8,yolo,0.43,638.6,540.0,352.5,31.4,572.2,1017.2,1,290.4,0,0,conf_zoom=0.89|conf_speed=0.94|edge_zoom=0.964|bounds
6,651.8,389.6,yolo,0.42,637.6,540.0,356.4,40.0,562.6,1000.1,1,289.8,0,0,conf_zoom=0.88|conf_speed=0.94|edge_zoom=0.993|bounds
7,651.3,389.3,yolo,0.45,636.8,540.0,360.0,47.9,553.6,984.1,1,289.5,0,0,conf_zoom=0.88|conf_speed=0.93|bounds
8,650.8,389.0,yolo,0.44,636.1,540.0,363.3,55.1,545.5,969.7,1,289.3,0,0,conf_zoom=0.88|conf_speed=0.93|bounds
9,650.3,388.8,yolo,0.46,635.5,540.0,366.3,61.5,538.3,957.0,1,289.2,0,0,conf_zoom=0.87|conf_speed=0.93|bounds
10,649.8,388.6,yolo,0.41,635.1,540.0,369.0,66.9,532.2,946.1,1,289.3,0,0,conf_zoom=0.87|conf_speed=0.93|bounds
11,649.5,388.4,interp,0.38,634.7,540.0,371.2,71.5,527.0,936.9,1,289.2,0,0,conf_zoom=0.86|conf_speed=0.92|bounds
12,649.3,388.2,interp,0.38,634.5,540.0,373.2,75.4,522.7,929.2,1,289.2,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
13,649.3,388.1,yolo,0.43,634.3,540.0,374.8,78.7,519.0,922.6,1,289.0,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
14,649.6,387.9,yolo,0.45,634.2,540.0,376.4,81.6,515.7,916.8,1,288.6,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
15,650.2,387.7,yolo,0.41,634.2,540.0,377.9,84.4,512.5,911.2,1,288.0,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
16,650.9,387.5,interp,0.38,634.1,540.0,379.5,87.3,509.3,905.4,1,287.2,0,0,conf_zoom=0.84|conf_speed=0.91|bounds
17,651.8,387.4,interp,0.38,634.1,540.0,381.3,90.6,505.6,898.9,1,286.3,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
18,652.9,387.3,interp,0.38,634.1,540.0,383.5,94.3,501.4,891.3,1,285.2,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
19,654.2,387.1,interp,0.38,634.2,540.0,386.0,98.8,496.4,882.5,1,284.0,0,0,conf_zoom=0.82|conf_speed=0.90|bounds
20,655.7,387.0,interp,0.38,634.2,540.0,388.9,103.8,490.7,872.3,1,282.5,0,0,conf_zoom=0.82|conf_speed=0.90|bounds
21,657.3,386.9,yolo,0.47,634.2,540.0,392.1,109.6,484.3,860.9,1,277.3,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
22,659.7,386.7,yolo,0.57,634.3,540.0,395.6,115.7,477.3,848.5,1,271.0,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
23,662.1,386.6,yolo,0.65,634.4,540.0,399.3,122.2,470.1,835.6,1,264.4,0,0,conf_zoom=0.88|conf_speed=0.93|bounds
24,664.4,386.4,yolo,0.70,634.4,540.0,403.0,128.6,462.8,822.7,1,257.8,0,0,conf_zoom=0.91|conf_speed=0.95|bounds
25,666.6,386.3,yolo,0.76,634.5,540.0,406.6,134.9,455.7,810.2,1,251.4,0,0,conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.998|bounds
26,668.6,386.3,yolo,0.79,634.6,540.0,410.0,140.8,449.1,798.5,1,245.5,0,0,conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.997|bounds
27,670.5,386.2,yolo,0.79,634.6,540.0,413.0,146.0,443.3,788.0,1,240.2,0,0,bounds
28,672.0,386.1,yolo,0.80,634.7,540.0,415.6,150.5,438.2,779.1,1,235.6,0,0,bounds
29,673.3,386.0,yolo,0.79,634.7,540.0,417.6,154.1,434.2,771.9,1,231.9,0,0,bounds
30,674.4,385.9,yolo,0.79,634.8,540.0,419.2,156.8,431.1,766.4,1,229.1,0,0,bounds
31,675.2,385.8,yolo,0.81,634.8,540.0,420.3,158.6,429.1,762.9,1,227.2,0,0,bounds
32,675.9,385.8,yolo,0.81,634.9,540.0,420.8,159.5,428.1,761.1,1,226.3,0,0,bounds
33,676.4,385.7,yolo,0.82,634.9,540.0,420.9,159.5,428.0,761.0,1,226.2,0,0,bounds
34,676.7,385.6,yolo,0.83,634.9,540.0,420.5,158.8,428.9,762.4,1,226.8,0,0,bounds
35,676.9,385.6,yolo,0.80,634.9,540.0,419.7,157.4,430.5,765.3,1,228.2,0,0,bounds
36,677.0,385.5,yolo,0.81,634.9,540.0,418.6,155.4,432.7,769.2,1,230.1,0,0,bounds
37,676.9,385.4,yolo,0.80,634.9,540.0,417.3,153.1,435.3,773.8,1,232.3,0,0,bounds
38,676.8,385.4,yolo,0.80,635.0,540.0,416.0,150.7,438.0,778.7,1,234.7,0,0,person_ctx=4|bounds
39,676.7,385.3,yolo,0.80,635.0,540.0,414.6,148.3,440.6,783.3,1,237.0,0,0,person_ctx=4|bounds
40,676.5,385.2,yolo,0.80,635.0,540.0,413.5,146.4,442.8,787.3,1,238.8,0,0,person_ctx=4|bounds
41,676.3,385.2,yolo,0.81,635.0,540.0,412.8,145.0,444.4,790.0,1,240.2,0,0,person_ctx=4|bounds
42,676.2,385.1,yolo,0.75,635.0,540.0,412.4,144.4,445.0,791.2,1,240.7,0,0,person_ctx=4|bounds
43,676.1,385.1,interp,0.38,635.0,540.0,412.6,144.7,444.7,790.7,1,240.4,0,0,person_ctx=4|bounds
44,676.0,385.1,yolo,0.66,635.0,540.0,413.2,145.8,443.5,788.4,1,239.3,0,0,person_ctx=4|bounds
45,675.9,385.1,yolo,0.67,635.0,540.0,414.3,147.7,441.3,784.6,1,237.4,0,0,bounds
46,675.6,385.1,yolo,0.69,635.0,540.0,415.7,150.1,438.6,779.7,1,235.0,0,0,person_ctx=4|bounds
47,675.2,385.2,yolo,0.70,635.0,540.0,417.2,152.9,435.5,774.2,1,232.3,0,0,person_ctx=4|bounds
48,674.8,385.2,yolo,0.73,635.0,540.0,418.8,155.8,432.2,768.4,1,229.4,0,0,bounds
49,674.3,385.3,yolo,0.73,634.9,540.0,420.4,158.5,429.1,762.9,1,226.8,0,0,bounds
50,673.8,385.4,yolo,0.70,634.9,540.0,421.7,161.0,426.4,758.1,1,224.4,0,0,bounds
51,673.2,385.6,yolo,0.66,634.9,540.0,422.8,162.9,424.2,754.1,1,222.7,0,0,bounds
52,672.7,385.7,yolo,0.65,634.8,540.0,423.5,164.4,422.6,751.3,1,221.3,0,0,bounds
53,672.0,385.9,yolo,0.63,634.6,540.0,423.8,165.2,421.7,749.7,1,220.7,0,0,bounds
54,671.2,386.1,yolo,0.67,634.4,540.0,423.6,165.3,421.5,749.4,1,220.8,0,0,bounds
55,670.3,386.3,yolo,0.65,634.0,540.0,423.0,164.8,422.1,750.4,1,221.5,0,0,bounds
56,669.0,386.6,yolo,0.57,633.5,540.0,421.8,163.7,423.4,752.7,1,222.9,0,0,bounds
57,667.4,386.9,yolo,0.52,632.8,540.0,420.1,161.9,425.4,756.2,1,225.0,0,0,bounds
58,665.1,387.2,interp,0.38,631.9,540.0,417.9,159.5,428.0,760.9,1,227.7,0,0,bounds
59,662.4,387.6,yolo,0.60,630.7,540.0,415.1,156.7,431.2,766.6,1,230.9,0,0,bounds
60,658.9,388.2,yolo,0.66,629.2,540.0,411.7,153.4,435.0,773.3,1,234.8,0,0,edge_zoom=0.985|bounds
61,655.1,388.8,interp,0.38,627.3,540.0,407.8,149.7,439.1,780.6,1,239.1,0,0,conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.962|bounds
62,650.8,389.4,yolo,0.69,625.1,540.0,403.4,145.9,443.4,788.3,1,243.5,0,0,conf_zoom=0.99|conf_speed=1.00|edge_zoom=0.963|bounds
63,645.7,390.2,yolo,0.69,622.5,540.0,398.6,142.0,447.8,796.1,1,248.2,0,0,edge_zoom=0.964|bounds
64,640.4,391.0,yolo,0.69,619.5,540.0,393.5,138.1,452.1,803.7,1,252.9,0,0,edge_zoom=0.964|bounds
65,634.8,391.8,yolo,0.70,616.2,540.0,388.1,134.5,456.1,810.9,1,257.3,0,0,edge_zoom=0.964|bounds
66,629.2,392.7,yolo,0.69,612.5,540.0,382.6,131.3,459.8,817.4,1,261.4,0,0,edge_zoom=0.965|bounds
67,623.6,393.6,yolo,0.69,608.5,540.0,377.0,128.5,463.0,823.0,1,265.1,0,0,edge_zoom=0.965|bounds
68,618.0,394.6,yolo,0.71,604.3,540.0,371.6,126.2,465.5,827.6,1,268.4,0,0,edge_zoom=0.966|bounds
69,612.6,395.5,yolo,0.72,600.0,540.0,366.2,124.5,467.4,831.0,1,271.0,0,0,edge_zoom=0.967|bounds
70,607.2,396.4,yolo,0.74,595.5,540.0,361.1,123.4,468.7,833.2,1,273.0,0,0,edge_zoom=0.968|bounds
71,602.0,397.4,yolo,0.76,591.0,540.0,356.3,122.8,469.3,834.4,1,274.6,0,0,edge_zoom=0.969|bounds
72,597.0,398.4,yolo,0.76,586.5,540.0,351.8,122.8,469.4,834.4,1,275.6,0,0,edge_zoom=0.970|bounds
73,592.2,399.5,yolo,0.75,582.0,540.0,347.6,123.2,468.9,833.6,1,276.3,0,0,edge_zoom=0.971|bounds
74,587.5,400.5,yolo,0.74,577.7,540.0,343.7,124.0,467.9,831.9,1,276.5,0,0,edge_zoom=0.972|bounds
