frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,653.6,390.4,yolo,0.51,646.5,540.0,330.8,0.0,631.3,1122.4,1,296.9,1,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,653.5,390.3,yolo,0.52,645.8,540.0,334.1,0.0,623.6,1108.5,1,296.3,1,0,flight_commit=0.63|speed|edge_zoom=0.951|bounds
2,653.4,390.1,yolo,0.49,645.0,540.0,337.6,0.0,614.7,1092.9,1,295.6,0,0,flight_commit=0.23|edge_zoom=0.952|bounds
3,653.3,390.0,yolo,0.45,644.0,540.0,341.5,2.1,605.1,1075.7,1,294.7,0,0,conf_zoom=0.96|edge_zoom=0.955|bounds
4,653.1,389.8,yolo,0.45,643.1,540.0,345.6,11.1,595.0,1057.7,1,294.0,0,0,conf_zoom=0.96|edge_zoom=0.959|bounds
5,653.0,389.6,yolo,0.43,642.2,540.0,349.8,20.3,584.7,1039.5,1,293.2,0,0,conf_zoom=0.95|edge_zoom=0.981|bounds
6,652.8,389.4,yolo,0.42,641.4,540.0,354.0,29.1,574.7,1021.7,1,292.6,0,0,conf_zoom=0.94|bounds
7,652.6,389.2,yolo,0.45,640.7,540.0,358.1,37.5,565.3,1005.0,1,292.1,0,0,conf_zoom=0.94|bounds
8,652.5,389.0,yolo,0.44,640.2,540.0,361.8,45.1,556.8,989.8,1,291.7,0,0,conf_zoom=0.94|bounds
9,652.3,388.8,yolo,0.46,639.7,540.0,365.1,51.7,549.3,976.6,1,291.4,0,0,conf_zoom=0.94|bounds
10,652.2,388.7,yolo,0.41,639.4,540.0,367.9,57.3,543.0,965.4,1,291.2,0,0,conf_zoom=0.93|bounds
11,652.3,388.5,interp,0.28,639.2,540.0,370.2,61.9,537.9,956.2,1,290.9,0,0,conf_zoom=0.91|bounds
12,652.4,388.3,interp,0.28,639.0,540.0,372.1,65.5,533.8,948.9,1,290.6,0,0,conf_zoom=0.90|bounds
13,652.6,388.2,yolo,0.43,638.9,540.0,373.6,68.4,530.5,943.2,1,290.3,0,0,conf_zoom=0.90|bounds
14,653.0,388.0,yolo,0.45,638.8,540.0,374.8,70.7,527.9,938.6,1,289.8,0,0,conf_zoom=0.90|bounds
15,653.5,387.8,yolo,0.41,638.8,540.0,375.9,72.7,525.7,934.5,1,289.3,0,0,conf_zoom=0.90|bounds
16,654.2,387.7,interp,0.28,638.7,540.0,377.0,74.7,523.5,930.6,1,288.5,0,0,conf_zoom=0.89|bounds
17,655.0,387.6,interp,0.28,638.7,540.0,378.2,76.9,521.0,926.2,1,287.7,0,0,conf_zoom=0.87|bounds
18,655.9,387.4,interp,0.28,638.7,540.0,379.7,79.5,518.0,921.0,1,286.8,0,0,conf_zoom=0.86|bounds
19,656.9,387.3,interp,0.28,638.7,540.0,381.5,82.7,514.4,914.6,1,285.8,0,0,conf_zoom=0.85|bounds
20,658.0,387.2,interp,0.28,638.7,540.0,383.6,86.6,510.1,906.9,1,284.7,0,0,conf_zoom=0.85|bounds
21,659.2,387.0,yolo,0.47,638.7,540.0,386.1,91.0,505.1,898.0,1,283.5,0,0,conf_zoom=0.86|bounds
