frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,531.2,571.8,yolo,0.67,517.5,540.0,218.2,8.1,598.4,1063.9,1,290.3,0,0,accel_zoom=0.852|flight_commit=1.00|person_ctx=4|edge_zoom=0.933|bounds
1,529.3,571.9,yolo,0.71,516.0,540.0,223.1,19.3,585.8,1041.4,1,290.7,0,0,flight_commit=0.72|edge_zoom=0.976|bounds
2,526.8,572.0,yolo,0.73,514.3,540.0,228.0,30.9,572.7,1018.2,1,291.5,0,0,edge_zoom=0.981|bounds
3,523.8,572.2,yolo,0.74,512.5,540.0,232.6,42.5,559.7,995.0,1,292.7,0,0,edge_zoom=0.982|bounds
4,520.5,572.6,yolo,0.73,510.7,540.0,237.1,53.7,547.1,972.6,1,294.2,0,0,edge_zoom=0.983|bounds
5,516.9,573.3,yolo,0.76,509.2,540.0,241.5,64.1,535.3,951.7,1,296.3,0,0,edge_zoom=0.983|bounds
6,513.3,574.3,yolo,0.78,508.2,540.0,245.8,73.5,524.9,933.1,1,298.9,0,0,edge_zoom=0.982|bounds
7,509.8,575.5,yolo,0.78,508.0,540.0,250.0,81.3,516.0,917.3,1,302.2,0,0,edge_zoom=0.981|bounds
8,506.5,576.9,yolo,0.80,508.9,540.0,254.4,87.6,509.0,904.9,1,301.6,0,0,edge_zoom=0.980|bounds
9,503.8,578.3,yolo,0.80,511.1,540.0,259.0,91.9,504.1,896.3,1,296.7,0,0,edge_zoom=0.979|bounds
10,501.7,579.4,yolo,0.79,514.9,540.0,264.1,94.1,501.6,891.8,1,290.8,0,0,edge_zoom=0.979|bounds
11,500.6,580.2,yolo,0.76,520.6,540.0,269.8,94.1,501.6,891.8,1,284.0,0,0,edge_zoom=0.978|bounds
12,500.9,580.7,yolo,0.78,528.6,540.0,276.5,91.8,504.2,896.4,1,276.3,0,0,edge_zoom=0.998|bounds
13,503.0,580.8,yolo,0.79,539.0,540.0,284.3,87.2,509.4,905.7,1,268.0,0,0,edge_zoom=0.986|bounds
14,507.6,580.5,yolo,0.78,552.1,540.0,293.5,80.3,517.2,919.5,1,259.5,0,0,edge_zoom=0.978|bounds
15,515.4,579.6,yolo,0.78,568.0,540.0,304.3,71.3,527.3,937.5,1,251.4,0,0,edge_zoom=0.976|bounds
16,527.2,577.9,yolo,0.72,586.8,540.0,317.0,60.5,539.5,959.0,1,244.4,0,0,edge_zoom=0.974|bounds
17,547.5,574.8,interp,0.38,608.4,540.0,331.8,48.3,553.1,983.4,1,243.1,0,0,flight_commit=0.94|person_ctx=4|edge_zoom=0.970|bounds
18,572.7,570.9,interp,0.38,632.6,540.0,348.7,35.3,567.8,1009.4,1,244.1,0,0,shot_pb=0.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.972|bounds
19,602.7,566.2,interp,0.38,659.2,540.0,367.9,22.1,582.6,1035.8,1,247.5,0,0,accel_zoom=0.942|shot_pb=0.20|flight_commit=1.00|person_ctx=4|edge_zoom=0.974|bounds
20,637.8,560.6,interp,0.38,687.7,540.0,389.3,9.4,597.0,1061.3,1,254.1,0,0,accel_zoom=0.927|shot_pb=0.40|flight_commit=1.00|person_ctx=4|edge_zoom=0.977|bounds
21,678.4,554.0,yolo,0.68,717.7,540.0,412.6,0.0,610.2,1084.8,1,264.7,0,0,accel_zoom=0.904|shot_pb=0.60|flight_commit=1.00|edge_zoom=0.980|bounds
