frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,766.8,423.5,hold,0.30,743.0,540.0,421.3,0.0,643.5,1143.9,1,280.2,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.793|bounds|final_speed
1,762.2,422.5,yolo,0.54,739.1,540.0,418.5,0.0,641.2,1139.9,1,280.9,0,0,conf_zoom=0.84|edge_zoom=0.976|bounds
2,757.0,421.5,yolo,0.55,733.6,540.0,414.0,0.0,639.2,1136.3,1,280.6,0,0,flight_commit=0.66|edge_zoom=0.977|bounds
3,751.1,420.8,yolo,0.50,726.9,540.0,408.1,0.0,637.7,1133.7,1,279.8,0,0,flight_commit=0.54|edge_zoom=0.978|bounds
4,744.4,419.6,yolo,0.44,719.2,540.0,400.8,0.0,636.8,1132.1,1,278.8,0,0,flight_commit=0.49|edge_zoom=0.978|bounds
5,736.7,417.6,interp,0.28,710.8,540.0,392.5,0.0,636.6,1131.8,1,278.1,0,0,flight_commit=0.52|edge_zoom=0.975|bounds
6,728.0,415.1,yolo,0.48,702.1,540.0,383.5,0.0,637.2,1132.8,1,278.1,0,0,flight_commit=0.59|edge_zoom=0.973|bounds
7,718.0,412.2,yolo,0.51,693.4,540.0,374.2,0.0,638.5,1135.0,1,279.4,0,0,shot_pb=1.00|flight_commit=0.71|edge_zoom=0.965|bounds
8,706.6,409.0,yolo,0.50,685.1,540.0,365.0,0.0,640.3,1138.2,1,282.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.962|bounds
9,675.0,398.9,centroid,0.22,677.7,540.0,356.5,0.0,642.4,1142.1,1,301.3,0,0,accel_zoom=0.880|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.957|bounds
10,664.4,396.1,centroid,0.23,671.6,540.0,349.2,0.0,644.8,1146.3,1,296.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.956|bounds
11,656.5,394.2,centroid,0.23,667.3,540.0,343.7,0.0,647.2,1150.6,1,293.2,0,0,shot_pb=1.00|conf_zoom=0.85|edge_zoom=0.955|bounds
12,650.8,393.2,centroid,0.23,665.1,540.0,340.3,0.0,649.4,1154.6,1,289.7,0,0,shot_pb=1.00|conf_zoom=0.84|edge_zoom=0.956|bounds
