frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,972.2,743.3,hold,0.30,969.8,540.0,641.0,0.0,657.5,1168.9,1,301.6,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,971.4,740.8,hold,0.30,969.1,540.0,640.3,0.0,657.5,1168.9,1,301.7,1,1,conf_zoom=0.82|keepin_prop=0.04|keepin_zoom=1.300|speed|edge_zoom=0.951|bounds
2,970.4,738.0,hold,0.30,968.0,540.0,639.2,0.0,657.5,1168.9,1,301.6,1,1,conf_zoom=0.82|keepin_prop=0.03|keepin_zoom=1.300|speed|edge_zoom=0.951|bounds
3,969.4,734.9,hold,0.30,966.5,540.0,637.8,0.0,657.5,1168.9,1,301.1,1,1,conf_zoom=0.82|keepin_prop=0.03|keepin_zoom=1.300|speed|edge_zoom=0.951|bounds
4,968.2,731.3,hold,0.30,964.6,540.0,635.8,0.0,657.5,1168.9,1,300.4,1,1,conf_zoom=0.82|keepin_prop=0.02|keepin_zoom=1.300|speed|edge_zoom=0.952|bounds
5,966.8,727.2,hold,0.30,962.1,540.0,633.3,0.0,657.5,1168.9,1,299.3,1,1,conf_zoom=0.82|keepin_prop=0.02|keepin_zoom=1.300|speed|edge_zoom=0.952|bounds
6,974.0,719.1,blended,0.67,959.0,540.0,630.2,0.0,657.5,1168.9,1,289.0,1,1,flight_commit=0.34|keepin_prop=0.01|keepin_zoom=1.300|speed|edge_zoom=0.952|bounds
7,960.8,717.6,interp,0.28,955.3,540.0,626.5,0.0,657.5,1168.9,1,298.5,1,1,conf_zoom=0.85|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.953|bounds
8,956.3,712.1,interp,0.28,950.8,540.0,622.1,0.0,657.5,1168.9,1,298.5,1,1,conf_zoom=0.84|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.953|bounds
9,951.5,706.1,interp,0.28,945.6,540.0,616.9,0.0,657.5,1168.9,1,298.1,1,1,conf_zoom=0.84|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.953|bounds
10,946.7,699.7,interp,0.28,939.7,540.0,611.0,0.0,657.5,1168.9,1,297.0,1,0,conf_zoom=0.83|speed|edge_zoom=0.953|bounds
11,941.7,692.9,interp,0.28,933.1,540.0,604.3,0.0,657.5,1168.9,1,295.4,1,0,shot_pb=0.60|conf_zoom=0.83|speed|edge_zoom=0.953|bounds
12,936.6,685.7,interp,0.28,925.8,540.0,597.0,0.0,657.5,1168.9,1,293.2,1,0,shot_pb=0.80|conf_zoom=0.82|speed|edge_zoom=0.954|bounds
13,931.4,678.3,interp,0.28,917.8,540.0,589.1,0.0,657.5,1168.9,1,290.4,1,0,shot_pb=1.00|conf_zoom=0.82|speed|edge_zoom=0.954|bounds
14,926.2,670.7,interp,0.28,909.4,540.0,580.7,0.0,657.5,1168.9,1,287.2,1,0,shot_pb=1.00|conf_zoom=0.82|speed|edge_zoom=0.954|bounds
15,920.8,662.8,interp,0.28,900.7,540.0,571.9,0.0,657.5,1168.9,1,283.9,1,0,shot_pb=1.00|conf_zoom=0.82|speed|edge_zoom=0.954|bounds
