"RelativePath","FullPath","SizeBytes","LastWriteTime","Ext","Extension","Status","Kind","Width","Height","DurationSec","Codec","Hash","Duration"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.mp4","16096814","10/24/2025 4:26:16 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","10","h264",,"10"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__thumb.jpg","528121","9/26/2025 6:42:09 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.mp4","16325151","10/30/2025 3:09:07 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","10","h264",,"10"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__thumb.jpg","434823","9/26/2025 6:42:12 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL.mp4","41466433","10/30/2025 3:09:25 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","24","h264",,"24"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\003__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\003__thumb.jpg","447868","9/26/2025 6:42:18 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL.mp4","26928414","10/30/2025 3:08:56 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","17","h264",,"17"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\004__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\004__thumb.jpg","522832","9/26/2025 6:42:22 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL.mp4","24241050","10/30/2025 3:09:46 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","14","h264",,"14"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\005__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\005__thumb.jpg","529497","9/26/2025 6:42:26 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.mp4","20761474","10/30/2025 3:10:18 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","13","h264",,"13"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\006__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\006__thumb.jpg","476344","9/26/2025 6:42:29 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.mp4","9715744","10/30/2025 3:12:09 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","6","h264",,"6"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\007__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\007__thumb.jpg","417085","9/26/2025 6:42:31 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST.mp4","15763698","10/30/2025 3:02:55 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","11","h264",,"11"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\008__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\008__thumb.jpg","536622","9/26/2025 6:42:34 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20_portrait_POST.mp4","25964160","10/30/2025 3:02:02 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","18","h264",,"18"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\009__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\009__thumb.jpg","515854","9/26/2025 6:42:38 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\010__2025-09-13__TSC_vs_NEOFC__CROSS__t1541.10-t1547.90_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\010__2025-09-13__TSC_vs_NEOFC__CROSS__t1541.10-t1547.90_portrait_POST.mp4","10486095","10/30/2025 3:13:02 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","7","h264",,"7"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\010__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\010__thumb.jpg","453782","9/26/2025 6:42:41 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__2025-09-13__TSC_vs_NEOFC__SHOTS__t1655.00-t1670.30_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__2025-09-13__TSC_vs_NEOFC__SHOTS__t1655.00-t1670.30_portrait_POST.mp4","23014341","10/30/2025 3:14:01 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","15","h264",,"15"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__thumb.jpg","464194","9/26/2025 6:42:44 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__2025-09-13__TSC_vs_NEOFC__GOAL__t1705.20-t1708.50_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__2025-09-13__TSC_vs_NEOFC__GOAL__t1705.20-t1708.50_portrait_POST.mp4","5245912","10/30/2025 3:08:38 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","3","h264",,"3"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__thumb.jpg","445263","9/26/2025 6:42:46 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__2025-09-13__TSC_vs_NEOFC__GOAL__t1767.50-t1772.60_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__2025-09-13__TSC_vs_NEOFC__GOAL__t1767.50-t1772.60_portrait_POST.mp4","7208841","10/30/2025 3:07:29 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","5","h264",,"5"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__thumb.jpg","385811","9/26/2025 6:42:47 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__2025-09-13__TSC_vs_NEOFC__GOAL__t1904.20-t1925.20_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__2025-09-13__TSC_vs_NEOFC__GOAL__t1904.20-t1925.20_portrait_POST.mp4","34452008","10/30/2025 3:06:21 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","21","h264",,"21"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__thumb.jpg","462020","9/26/2025 6:42:52 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t1972.50-t1980.70_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t1972.50-t1980.70_portrait_POST.mp4","15667717","10/30/2025 3:11:32 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","9","h264",,"9"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__thumb.jpg","476878","9/26/2025 6:42:55 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__2025-09-13__TSC_vs_NEOFC__SHOT__t2029.90-t2039.50_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__2025-09-13__TSC_vs_NEOFC__SHOT__t2029.90-t2039.50_portrait_POST.mp4","17000438","10/30/2025 3:01:00 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","10","h264",,"10"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__thumb.jpg","447643","9/26/2025 6:42:58 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\017__2025-09-13__TSC_vs_NEOFC__SHOT__t2284.90-t2298.20_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\017__2025-09-13__TSC_vs_NEOFC__SHOT__t2284.90-t2298.20_portrait_POST.mp4","21123426","10/30/2025 2:59:17 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","13","h264",,"13"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\017__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\017__thumb.jpg","487614","9/26/2025 6:43:01 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__2025-09-13__TSC_vs_NEOFC__SHOT__t2419.50-t2425.60_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__2025-09-13__TSC_vs_NEOFC__SHOT__t2419.50-t2425.60_portrait_POST.mp4","9215683","10/30/2025 2:57:05 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","6","h264",,"6"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__thumb.jpg","481796","9/26/2025 6:43:03 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\019__2025-09-13__TSC_vs_NEOFC__SHOT__t2633.00-t2638.10_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\019__2025-09-13__TSC_vs_NEOFC__SHOT__t2633.00-t2638.10_portrait_POST.mp4","7886643","10/30/2025 2:55:03 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","5","h264",,"5"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\019__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\019__thumb.jpg","513380","9/26/2025 6:43:05 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\020__2025-09-13__TSC_vs_NEOFC__GOAL__t2816.60-t2831.80_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\020__2025-09-13__TSC_vs_NEOFC__GOAL__t2816.60-t2831.80_portrait_POST.mp4","23912719","10/30/2025 3:05:02 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","15","h264",,"15"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\020__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\020__thumb.jpg","473957","9/26/2025 6:43:08 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\021__2025-09-13__TSC_vs_NEOFC__SHOT__t2860.70-t2873.00_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\021__2025-09-13__TSC_vs_NEOFC__SHOT__t2860.70-t2873.00_portrait_POST.mp4","19019603","10/30/2025 2:52:51 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","12","h264",,"12"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\021__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\021__thumb.jpg","452235","9/26/2025 6:43:12 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\022__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\022__thumb.jpg","478454","9/26/2025 6:43:18 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\023__2025-09-13__TSC_vs_NEOFC__SHOT__t3098.90-t3108.80_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\023__2025-09-13__TSC_vs_NEOFC__SHOT__t3098.90-t3108.80_portrait_POST.mp4","17551905","10/30/2025 2:50:17 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","10","h264",,"10"
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\023__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\023__thumb.jpg","430109","9/26/2025 6:43:20 AM",".jpg",".jpg","ORPHAN","FILE",,,,,,
"C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\030__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\030__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","26513233","10/30/2025 3:15:02 PM",".mp4",".mp4","ORPHAN","MEDIA","1920","1080","16","h264",,"16"
