"clip_id","label","master_start","master_end","notes"
"001","SHOT","155.50","166.40",""
"002","GOAL","180.80","191.20",""
"003","BUILD UP","224.80","248.70",""
"004","GOAL","266.50","283.10",""
"005","CORNER","417.90","431.60",""
"006","DEFENSE","699.30","711.50",""
"007","DRIBBLING","982.00","987.90",""
"008","SHOT","1,247.80","1,259.20",""
"009","SHOT","1,420.40","1,438.20",""
"010","CROSS","1,541.10","1,547.90",""
"011","SHOTS","1,655.00","1,670.30",""
"012","SHOT","1,705.20","1,708.50",""
"012","GOAL","1,705.20","1,708.50",""
"013","SHOT","1,767.50","1,772.60",""
"013","GOAL","1,767.50","1,772.60",""
"014","GOAL","1,904.20","1,925.20",""
"015","DRIBBLING","1,972.50","1,980.70",""
"016","SHOT","2,029.90","2,039.50",""
"017","SHOT","2,284.90","2,298.20",""
"018","SHOT","2,419.50","2,425.60",""
"019","SHOT","2,633.00","2,638.10",""
"020","GOAL","2,816.60","2,831.80",""
"021","SHOT","2,860.70","2,873.00",""
"022","SHOT","3,028.10","3,059.70",""
"023","SHOT","3,098.90","3,108.80",""
