frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1088.6,478.1,centroid,0.30,1082.6,540.0,774.6,0.0,616.0,1095.1,1,298.0,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.896|bounds|final_speed
1,1086.1,474.6,centroid,0.30,1081.6,540.0,777.9,0.1,607.3,1079.7,1,299.5,0,0,flight_commit=1.00|edge_zoom=0.998|bounds
2,1083.3,470.5,centroid,0.30,1080.2,540.0,780.9,7.9,598.6,1064.2,1,300.9,0,0,flight_commit=0.75|edge_zoom=0.997|bounds
3,1079.9,465.8,centroid,0.30,1078.5,540.0,783.4,15.4,590.2,1049.2,1,302.6,0,0,flight_commit=0.57|edge_zoom=0.996|bounds
4,1076.0,460.6,centroid,0.30,1076.6,540.0,785.3,22.2,582.5,1035.5,1,303.4,0,0,flight_commit=0.49|edge_zoom=0.994|bounds
5,1071.9,454.9,centroid,0.30,1074.4,540.0,786.5,28.1,575.9,1023.7,1,301.5,0,0,flight_commit=0.46|edge_zoom=0.992|bounds
6,1067.6,449.1,centroid,0.30,1072.1,540.0,786.8,32.8,570.6,1014.4,1,299.5,0,0,flight_commit=0.46|edge_zoom=0.989|bounds
7,1063.6,443.5,centroid,0.30,1069.7,540.0,786.2,36.2,566.8,1007.7,1,297.9,0,0,shot_pb=0.00|flight_commit=0.44|edge_zoom=0.986|bounds
8,1059.9,438.1,centroid,0.30,1067.2,540.0,784.8,38.1,564.7,1003.9,1,296.7,0,0,shot_pb=0.00|flight_commit=0.40|edge_zoom=0.984|bounds
9,1056.7,433.3,centroid,0.30,1064.7,540.0,782.7,38.6,564.1,1002.8,1,296.0,0,0,shot_pb=0.00|flight_commit=0.32|conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.981|bounds
10,1054.2,429.1,centroid,0.30,1062.3,540.0,779.9,37.9,564.9,1004.2,1,295.9,0,0,shot_pb=0.00|flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.980|bounds
11,1052.2,425.5,centroid,0.30,1060.0,540.0,776.6,36.2,566.8,1007.7,1,296.2,0,0,shot_pb=0.00|flight_commit=0.10|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.978|bounds
12,1050.6,422.5,centroid,0.30,1057.8,540.0,773.1,33.7,569.5,1012.5,1,296.8,0,0,shot_pb=0.00|conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.977|bounds
13,1049.6,420.1,centroid,0.30,1055.9,540.0,769.5,30.9,572.7,1018.1,1,297.7,0,0,shot_pb=0.00|conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.976|bounds
14,1048.8,418.1,centroid,0.30,1054.1,540.0,766.2,28.1,575.9,1023.8,1,298.7,0,0,shot_pb=0.94|conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.991|bounds
15,1048.4,416.5,centroid,0.30,1052.6,540.0,763.2,25.5,578.8,1029.0,1,299.8,0,0,flight_commit=0.51|edge_zoom=0.968|bounds
16,1048.2,415.3,centroid,0.30,1051.3,540.0,760.7,23.5,581.1,1033.1,1,300.9,0,0,flight_commit=0.13|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.978|bounds
17,1048.2,414.3,centroid,0.30,1050.2,540.0,758.8,22.1,582.6,1035.8,1,302.0,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.991|bounds
18,1048.3,413.5,centroid,0.30,1049.2,540.0,757.6,21.5,583.3,1037.0,1,303.1,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.994|bounds
19,1048.6,412.9,centroid,0.31,1048.5,540.0,756.9,21.6,583.2,1036.8,1,303.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,1049.1,412.4,centroid,0.31,1048.0,540.0,756.8,22.3,582.4,1035.4,1,302.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,1049.6,411.9,centroid,0.31,1047.5,540.0,757.0,23.5,581.0,1032.9,1,301.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
