frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,flight_commit=0.82|keepin_prop=0.97|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,flight_commit=0.27|conf_zoom=0.98|keepin_prop=0.96|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=0.95|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1838.6,1019.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,56.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
