frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,650.2,392.6,hold,0.30,644.3,540.0,322.0,0.0,644.6,1146.0,1,298.1,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,650.2,392.6,hold,0.30,643.8,540.0,323.0,0.0,641.6,1140.6,1,297.6,0,0,flight_commit=0.82|edge_zoom=0.967|bounds
2,650.2,392.6,hold,0.30,643.2,540.0,324.1,0.0,638.2,1134.5,1,297.0,0,0,flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.965|bounds
3,650.2,392.6,hold,0.30,642.5,540.0,325.3,0.0,634.5,1128.0,1,296.3,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.968|bounds
4,650.2,392.6,hold,0.30,641.8,540.0,326.5,0.0,630.6,1121.0,1,295.6,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.978|bounds
5,650.2,392.6,hold,0.30,641.1,540.0,327.9,0.0,626.5,1113.7,1,294.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,650.2,392.6,hold,0.30,640.5,540.0,329.4,0.0,622.3,1106.2,1,294.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,650.2,392.6,hold,0.30,640.0,540.0,331.0,0.0,618.0,1098.7,1,293.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,650.2,392.6,hold,0.30,639.6,540.0,332.6,0.0,613.9,1091.4,1,293.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,650.2,392.6,hold,0.30,639.2,540.0,334.3,0.0,609.9,1084.3,1,293.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,650.1,392.6,hold,0.30,639.0,540.0,335.9,1.2,606.1,1077.6,1,292.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,650.1,392.6,hold,0.30,638.8,540.0,337.5,4.3,602.6,1071.3,1,292.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,650.1,392.6,hold,0.30,638.6,540.0,338.9,7.2,599.4,1065.6,1,292.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,650.1,392.7,hold,0.30,638.5,540.0,340.3,9.8,596.4,1060.3,1,292.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,650.1,392.7,hold,0.30,638.4,540.0,341.6,12.2,593.8,1055.6,1,292.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,650.1,392.7,hold,0.30,638.4,540.0,342.7,14.3,591.4,1051.4,1,292.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,650.0,392.7,hold,0.30,638.4,540.0,343.7,16.2,589.3,1047.6,1,292.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,650.0,392.8,hold,0.30,638.3,540.0,344.7,17.9,587.4,1044.2,1,292.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,650.0,392.8,hold,0.30,638.3,540.0,345.5,19.4,585.7,1041.2,1,292.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,649.9,392.9,hold,0.30,638.3,540.0,346.2,20.7,584.2,1038.5,1,292.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,649.8,393.0,hold,0.30,638.3,540.0,346.9,21.9,582.8,1036.1,1,292.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,649.7,393.1,hold,0.30,638.3,540.0,347.5,23.0,581.6,1034.0,1,292.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,649.6,393.2,hold,0.30,638.3,540.0,348.0,23.9,580.6,1032.2,1,292.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
23,649.5,393.4,hold,0.30,638.3,540.0,348.4,24.7,579.7,1030.6,1,292.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
24,649.3,393.6,hold,0.30,638.2,540.0,348.7,25.3,579.0,1029.3,1,292.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
25,649.1,393.8,hold,0.30,638.2,540.0,349.0,25.8,578.4,1028.3,1,293.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
26,648.9,394.1,hold,0.30,638.1,540.0,349.1,26.2,578.0,1027.6,1,293.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
27,648.5,394.5,hold,0.30,637.9,540.0,349.0,26.4,577.8,1027.2,1,293.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
28,648.1,395.0,hold,0.30,637.6,540.0,348.7,26.3,577.9,1027.3,1,293.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
29,647.6,395.5,hold,0.30,637.3,540.0,348.2,26.1,578.2,1027.9,1,293.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
30,646.9,396.3,hold,0.30,636.8,540.0,347.4,25.6,578.8,1028.9,1,293.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
31,646.1,397.2,hold,0.30,636.1,540.0,346.3,24.8,579.6,1030.3,1,294.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
32,645.1,398.4,hold,0.30,635.2,540.0,344.9,23.9,580.6,1032.1,1,294.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
33,643.9,399.8,hold,0.30,634.1,540.0,343.2,22.9,581.8,1034.2,1,294.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
34,642.3,401.6,hold,0.30,632.6,540.0,341.2,21.8,583.0,1036.4,1,294.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
35,640.3,403.9,hold,0.30,630.9,540.0,338.9,20.8,584.1,1038.3,1,294.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
36,637.8,406.7,hold,0.30,628.9,540.0,336.4,20.1,584.9,1039.8,1,295.1,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.984|bounds
37,634.7,410.2,hold,0.30,626.6,540.0,333.9,19.8,585.3,1040.5,1,295.9,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.977|bounds
38,630.9,414.7,hold,0.30,624.0,540.0,331.5,20.0,585.0,1040.0,1,297.1,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.981|bounds
39,626.0,420.2,hold,0.30,621.2,540.0,329.2,20.9,584.0,1038.1,1,299.2,0,0,flight_commit=0.00|conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.985|bounds
40,620.0,427.1,hold,0.30,618.3,540.0,327.3,22.7,582.0,1034.6,1,302.3,0,0,flight_commit=0.25|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.988|bounds
41,612.5,435.7,hold,0.30,615.4,540.0,325.9,25.3,579.0,1029.4,1,301.1,0,0,flight_commit=0.57|edge_zoom=0.991|bounds
42,590.7,461.2,centroid,0.33,612.6,540.0,325.0,28.7,575.2,1022.5,1,282.1,0,0,accel_zoom=0.915|flight_commit=1.00|edge_zoom=0.995|bounds
43,585.1,467.1,centroid,0.33,610.0,540.0,324.8,32.9,570.5,1014.1,1,279.1,0,0,shot_pb=0.00|flight_commit=1.00|edge_zoom=0.998|bounds
44,582.2,469.8,centroid,0.33,607.8,540.0,325.2,37.7,565.1,1004.7,1,278.4,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.997|bounds
45,581.4,470.1,centroid,0.34,605.9,540.0,326.2,42.7,559.5,994.6,1,279.5,0,0,shot_pb=0.40|flight_commit=0.64|edge_zoom=0.998|bounds
46,582.3,468.3,centroid,0.34,604.5,540.0,327.6,47.7,553.8,984.6,1,281.8,0,0,shot_pb=0.00|flight_commit=0.28|conf_zoom=0.99|conf_speed=0.99|bounds
47,584.4,465.1,centroid,0.34,603.7,540.0,329.5,52.5,548.4,975.0,1,284.7,0,0,shot_pb=0.00|flight_commit=0.13|conf_zoom=0.94|conf_speed=0.97|bounds
48,587.5,460.8,centroid,0.34,603.5,540.0,331.7,56.8,543.6,966.4,1,288.0,0,0,flight_commit=0.11|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.998|bounds
49,591.2,455.6,centroid,0.34,603.8,540.0,334.0,60.4,539.6,959.2,1,291.4,0,0,flight_commit=0.16|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.996|bounds
50,595.4,449.9,centroid,0.34,604.6,540.0,336.4,63.1,536.5,953.7,1,294.8,0,0,flight_commit=0.24|conf_zoom=0.97|conf_speed=0.99|edge_zoom=0.992|bounds
51,599.8,443.8,centroid,0.34,605.8,540.0,338.7,65.0,534.3,949.9,1,298.0,0,0,flight_commit=0.32|conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.989|bounds
52,604.3,437.4,centroid,0.35,607.5,540.0,340.9,66.1,533.2,947.9,1,300.8,0,0,flight_commit=0.39|edge_zoom=0.984|bounds
53,609.0,430.9,centroid,0.35,609.4,540.0,342.9,66.3,532.9,947.4,1,303.6,0,0,flight_commit=0.45|edge_zoom=0.979|bounds
54,613.5,424.4,centroid,0.35,611.4,540.0,344.7,65.8,533.4,948.3,1,301.9,0,0,flight_commit=0.49|edge_zoom=0.974|bounds
55,620.5,415.9,blended,0.79,613.5,540.0,346.2,64.8,534.6,950.4,1,297.0,0,0,flight_commit=0.71|edge_zoom=0.964|bounds
