frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,774.2,492.9,centroid,0.30,831.0,540.0,502.2,0.0,657.5,1168.9,1,247.2,0,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.924|bounds
1,787.4,486.7,centroid,0.30,839.8,540.0,511.0,0.0,657.5,1168.9,1,251.6,0,0,flight_commit=1.00|edge_zoom=0.995|bounds
2,803.0,479.3,centroid,0.30,851.1,540.0,522.4,0.0,657.5,1168.9,1,255.9,0,0,flight_commit=1.00|edge_zoom=0.990|bounds
3,821.0,470.9,centroid,0.30,864.9,540.0,536.1,0.0,657.5,1168.9,1,260.1,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.986|bounds
4,841.3,461.4,centroid,0.30,880.4,540.0,551.7,0.0,657.5,1168.9,1,264.9,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.979|bounds
5,863.4,450.9,centroid,0.30,897.3,540.0,568.5,0.0,657.5,1168.9,1,270.1,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.972|bounds
6,887.0,439.5,centroid,0.30,914.9,540.0,586.1,0.0,657.5,1168.9,1,276.1,0,0,accel_zoom=0.915|shot_pb=0.80|flight_commit=1.00|edge_zoom=0.966|bounds
7,911.6,427.4,centroid,0.30,932.7,540.0,603.9,0.0,657.5,1168.9,1,282.9,0,0,accel_zoom=0.915|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.959|bounds
8,936.5,414.8,centroid,0.30,950.5,540.0,621.7,0.0,657.5,1168.9,1,290.0,0,0,accel_zoom=0.908|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.953|bounds
9,961.0,402.0,centroid,0.30,967.8,540.0,639.0,0.0,657.5,1168.9,1,297.2,0,1,accel_zoom=0.908|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.962|bounds
10,984.5,389.5,centroid,0.30,984.4,540.0,655.6,0.0,657.5,1168.9,1,303.9,0,0,accel_zoom=0.908|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.942|bounds
11,1006.4,377.7,centroid,0.30,1000.0,540.0,671.3,0.0,657.5,1168.9,1,297.6,0,1,accel_zoom=0.908|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.954|bounds
12,1026.2,366.9,centroid,0.30,1014.6,540.0,685.9,0.0,657.5,1168.9,1,292.4,0,0,accel_zoom=0.908|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.933|bounds
13,1043.8,357.3,centroid,0.30,1028.0,540.0,699.3,0.0,657.5,1168.9,1,288.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.946|bounds
14,1059.1,349.1,centroid,0.30,1040.2,540.0,711.5,0.0,657.5,1168.9,1,285.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.927|bounds
15,1072.1,342.2,centroid,0.30,1051.2,540.0,722.4,0.0,657.5,1168.9,1,283.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.940|bounds
16,1083.0,336.4,centroid,0.30,1060.9,540.0,732.1,0.0,657.5,1168.9,1,281.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.922|bounds
17,1092.1,331.8,centroid,0.30,1069.5,540.0,740.7,0.0,657.5,1168.9,1,281.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.934|bounds
18,1099.7,328.1,centroid,0.30,1076.9,540.0,748.2,0.0,657.5,1168.9,1,281.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.920|bounds
19,1106.0,325.1,centroid,0.30,1083.4,540.0,754.7,0.0,657.5,1168.9,1,281.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.928|bounds
20,1111.1,322.8,centroid,0.30,1089.0,540.0,760.2,0.0,657.5,1168.9,1,281.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.933|bounds
