frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,294.4,659.7,hold,0.30,328.5,579.4,2.5,0.0,651.8,1158.8,1,269.9,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.768|bounds|final_speed
1,294.4,659.6,hold,0.30,328.5,577.5,3.6,0.0,649.7,1155.0,1,269.9,0,0,flight_commit=0.83|edge_zoom=0.927|bounds
2,294.4,659.5,hold,0.30,328.5,575.2,4.9,0.0,647.0,1150.3,1,269.9,0,0,flight_commit=0.28|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.955|bounds
3,294.5,659.4,hold,0.30,328.5,572.3,6.6,0.0,643.8,1144.6,1,270.0,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.981|bounds
4,294.5,659.3,hold,0.30,328.5,568.9,8.4,0.0,640.1,1137.9,1,270.0,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|bounds
5,294.5,659.1,hold,0.30,328.5,565.2,10.6,0.0,635.8,1130.3,1,270.0,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|bounds
6,294.6,658.9,hold,0.30,328.4,561.1,12.8,0.0,631.2,1122.1,1,270.2,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|bounds
7,294.6,658.7,hold,0.30,328.4,556.8,15.2,0.0,626.4,1113.5,1,270.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,294.7,658.4,hold,0.30,328.4,552.4,17.6,0.0,621.5,1104.8,1,270.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,294.8,658.0,hold,0.30,328.3,548.1,20.0,0.0,616.7,1096.3,1,270.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,294.9,657.5,hold,0.30,328.2,544.1,22.1,0.0,612.1,1088.2,1,270.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,295.1,656.9,hold,0.30,328.0,540.4,24.0,0.0,608.0,1080.9,1,271.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
