frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,846.1,433.9,blended,0.77,802.9,540.0,474.2,0.0,657.4,1168.7,1,260.8,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.814|bounds|final_speed
1,827.4,433.0,blended,0.76,800.6,540.0,472.0,0.0,657.2,1168.4,1,277.2,0,0,flight_commit=1.00|edge_zoom=0.969|bounds
2,779.4,430.8,centroid,0.22,798.3,540.0,469.8,0.0,657.0,1168.0,1,285.1,0,0,accel_zoom=0.871|shot_pb=0.00|flight_commit=1.00|edge_zoom=0.966|bounds
3,761.7,430.1,centroid,0.23,796.3,540.0,468.0,0.0,656.6,1167.3,1,269.4,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.966|bounds
4,748.9,429.6,centroid,0.23,795.3,540.0,467.2,0.0,656.0,1166.3,1,257.6,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.969|bounds
5,740.0,429.2,centroid,0.23,795.4,540.0,467.8,0.0,655.2,1164.9,1,248.6,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.978|bounds
6,734.7,428.9,centroid,0.24,796.9,540.0,469.8,0.0,654.2,1163.0,1,241.8,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.966|bounds
7,732.4,428.6,centroid,0.24,799.9,540.0,473.5,0.0,652.8,1160.5,1,236.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.967|bounds
8,732.6,428.3,centroid,0.24,804.1,540.0,478.6,0.0,651.0,1157.2,1,232.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.957|bounds
9,735.2,428.1,centroid,0.25,809.4,540.0,485.0,0.0,648.7,1153.3,1,229.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.967|bounds
10,739.7,427.8,centroid,0.25,815.5,540.0,492.5,0.0,646.1,1148.7,1,228.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.975|bounds
11,745.9,427.4,centroid,0.25,822.3,540.0,500.6,0.0,643.2,1143.6,1,227.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
12,753.6,427.1,centroid,0.26,829.4,540.0,509.3,0.0,640.2,1138.1,1,228.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.983|bounds
13,762.7,426.8,centroid,0.26,836.8,540.0,518.2,0.0,637.1,1132.6,1,229.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.985|bounds
14,772.8,426.5,centroid,0.26,844.4,540.0,527.3,0.0,634.3,1127.6,1,232.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.987|bounds
15,783.9,426.3,centroid,0.27,852.3,540.0,536.4,0.0,631.8,1123.2,1,235.6,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.989|bounds
16,795.8,426.2,centroid,0.27,860.5,540.0,545.5,0.0,630.0,1120.0,1,239.3,0,0,shot_pb=1.00|flight_commit=0.81|edge_zoom=0.987|bounds
