frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1663.0,367.1,centroid,0.33,1593.3,540.0,1266.3,0.0,653.7,1162.1,1,234.3,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1664.3,368.4,centroid,0.33,1593.4,540.0,1266.8,0.0,653.1,1161.0,1,233.1,0,0,flight_commit=0.94|edge_zoom=0.943|bounds
2,1666.1,370.1,centroid,0.34,1593.4,540.0,1267.1,0.0,652.6,1160.1,1,231.3,0,0,flight_commit=0.50|edge_zoom=0.942|bounds
3,1668.8,372.2,centroid,0.34,1593.4,540.0,1267.3,0.0,652.2,1159.4,1,228.6,0,0,flight_commit=0.25|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.942|bounds
4,1672.7,374.7,centroid,0.34,1593.3,540.0,1267.3,0.0,651.9,1158.9,1,224.6,0,0,flight_commit=0.15|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.942|bounds
5,1678.3,377.7,centroid,0.34,1593.0,540.0,1267.1,0.0,651.8,1158.8,1,218.7,0,0,flight_commit=0.19|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.944|bounds
6,1686.4,381.3,centroid,0.34,1592.6,540.0,1266.7,0.0,651.8,1158.8,1,210.2,0,0,flight_commit=0.36|edge_zoom=0.945|bounds
7,1717.1,388.4,hold,0.30,1592.0,540.0,1266.1,0.0,651.9,1159.0,1,178.9,0,0,accel_zoom=0.918|flight_commit=1.00|edge_zoom=0.809|bounds
8,1724.7,392.3,hold,0.30,1591.3,540.0,1265.2,0.0,652.1,1159.3,1,170.6,0,0,flight_commit=1.00|edge_zoom=0.839|bounds
9,1728.1,396.1,hold,0.30,1590.3,540.0,1264.1,0.0,652.3,1159.6,1,166.2,0,0,flight_commit=1.00|edge_zoom=0.924|bounds
10,1727.7,399.9,hold,0.30,1589.1,540.0,1262.9,0.0,652.4,1159.9,1,165.4,0,1,flight_commit=0.67|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.883|bounds
11,1723.2,404.0,hold,0.30,1587.6,540.0,1261.4,0.0,652.5,1160.1,1,168.4,0,1,flight_commit=0.53|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.891|bounds
12,1714.5,408.5,yolo,0.55,1586.0,540.0,1259.7,0.0,652.6,1160.1,1,175.5,0,1,flight_commit=0.66|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.905|bounds
13,1689.1,417.1,yolo,0.49,1584.1,540.0,1257.8,0.0,652.5,1160.0,1,199.0,0,1,accel_zoom=0.939|shot_pb=0.80|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.959|bounds
14,1668.5,423.9,yolo,0.50,1581.9,540.0,1255.7,0.0,652.4,1159.9,1,217.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.986|bounds
15,1658.5,426.8,interp,0.38,1579.6,540.0,1253.4,0.0,652.4,1159.8,1,225.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.986|bounds
16,1650.6,428.6,yolo,0.47,1577.0,540.0,1250.9,0.0,652.3,1159.7,1,230.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.984|bounds
17,1644.0,429.3,interp,0.38,1574.3,540.0,1248.1,0.0,652.4,1159.8,1,234.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
18,1638.5,429.3,interp,0.38,1571.5,540.0,1245.2,0.0,652.5,1160.1,1,237.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.976|bounds
19,1633.7,428.8,interp,0.38,1568.5,540.0,1242.1,0.0,652.8,1160.5,1,238.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.975|bounds
20,1629.2,427.7,interp,0.38,1565.4,540.0,1238.9,0.0,653.1,1161.1,1,240.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.963|bounds
21,1624.6,426.4,interp,0.38,1562.3,540.0,1235.5,0.0,653.5,1161.8,1,241.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.963|bounds
22,1619.6,424.8,yolo,0.45,1559.1,540.0,1232.1,0.0,653.9,1162.5,1,243.5,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.970|bounds
23,1612.6,422.4,yolo,0.41,1555.9,540.0,1228.7,0.0,654.3,1163.2,1,247.3,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.952|bounds
24,1604.3,420.7,yolo,0.37,1552.6,540.0,1225.3,0.0,654.6,1163.8,1,252.3,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.960|bounds
25,1595.8,419.7,yolo,0.34,1549.3,540.0,1221.9,0.0,654.8,1164.1,1,257.5,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.955|bounds
26,1587.7,419.2,yolo,0.35,1546.1,540.0,1218.6,0.0,654.9,1164.3,1,262.4,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.957|bounds
27,1580.7,419.3,interp,0.38,1542.8,540.0,1215.4,0.0,654.8,1164.1,1,266.1,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.959|bounds
28,1574.1,419.8,yolo,0.35,1539.5,540.0,1212.2,0.0,654.6,1163.7,1,269.4,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.956|bounds
29,1568.0,420.8,interp,0.38,1536.1,540.0,1209.0,0.0,654.2,1163.1,1,272.1,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.959|bounds
30,1562.1,422.2,yolo,0.36,1532.8,540.0,1205.9,0.0,653.7,1162.2,1,274.7,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.967|bounds
31,1556.2,424.2,yolo,0.34,1529.4,540.0,1202.8,0.0,653.2,1161.2,1,277.2,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.957|bounds
32,1550.8,426.3,yolo,0.34,1526.0,540.0,1199.7,0.0,652.6,1160.2,1,279.2,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.961|bounds
33,1545.7,428.1,yolo,0.36,1522.5,540.0,1196.5,0.0,652.0,1159.1,1,280.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.973|bounds
34,1540.9,429.3,yolo,0.40,1519.1,540.0,1193.3,0.0,651.5,1158.2,1,282.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.959|bounds
35,1536.3,430.0,yolo,0.35,1515.5,540.0,1190.0,0.0,651.0,1157.4,1,283.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.962|bounds
36,1532.1,430.4,interp,0.38,1512.0,540.0,1186.6,0.0,650.7,1156.7,1,283.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.966|bounds
37,1527.9,430.6,yolo,0.35,1508.4,540.0,1183.2,0.0,650.4,1156.3,1,284.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.958|bounds
38,1523.7,430.6,interp,0.38,1504.8,540.0,1179.7,0.0,650.2,1156.0,1,285.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.962|bounds
39,1519.5,430.5,interp,0.38,1501.1,540.0,1176.1,0.0,650.2,1155.9,1,285.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.961|bounds
40,1515.3,430.2,interp,0.38,1497.5,540.0,1172.4,0.0,650.2,1156.0,1,286.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.958|bounds
