frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1153.3,427.9,blended,0.78,1145.4,540.0,833.2,0.0,624.4,1110.0,1,296.1,1,0,accel_zoom=0.856|flight_commit=1.00|person_ctx=4|edge_zoom=0.803|bounds|final_speed
1,1153.1,427.6,yolo,0.32,1144.4,540.0,836.3,0.0,616.2,1095.5,1,295.3,0,0,flight_commit=0.84|person_ctx=4|edge_zoom=0.978|bounds
2,1151.8,427.7,interp,0.38,1143.2,540.0,839.5,0.1,607.4,1079.9,1,295.4,0,0,edge_zoom=0.983|bounds
3,1150.1,427.7,yolo,0.30,1141.7,540.0,842.5,8.1,598.4,1063.8,1,295.6,0,0,conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.985|bounds
4,1147.8,427.8,yolo,0.29,1140.1,540.0,845.5,16.1,589.3,1047.7,1,296.3,0,0,conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.986|bounds
5,1145.1,428.0,yolo,0.29,1138.4,540.0,848.1,23.9,580.6,1032.2,1,297.3,0,0,conf_zoom=0.89|conf_speed=0.94|edge_zoom=0.987|bounds
6,1142.3,428.2,yolo,0.29,1136.7,540.0,850.4,31.1,572.6,1017.9,1,298.4,0,0,conf_zoom=0.86|conf_speed=0.92|edge_zoom=0.987|bounds
7,1139.2,428.3,blended,0.79,1134.9,540.0,852.3,37.5,565.3,1005.0,1,299.7,0,0,conf_zoom=0.92|conf_speed=0.95|edge_zoom=0.987|bounds
8,1136.7,428.4,interp,0.38,1133.3,540.0,853.7,43.1,559.0,993.8,1,300.6,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.94|edge_zoom=0.987|bounds
9,1133.9,428.5,yolo,0.31,1131.6,540.0,854.7,47.7,553.8,984.5,1,301.7,0,0,conf_zoom=0.87|conf_speed=0.93|edge_zoom=0.987|bounds
10,1130.9,428.7,yolo,0.36,1130.1,540.0,855.3,51.5,549.6,977.1,1,303.2,0,0,conf_zoom=0.85|conf_speed=0.92|edge_zoom=0.987|bounds
11,1128.2,428.8,interp,0.38,1128.7,540.0,855.5,54.3,546.4,971.4,1,303.5,0,0,conf_zoom=0.84|conf_speed=0.91|edge_zoom=0.987|bounds
12,1125.6,428.8,yolo,0.38,1127.4,540.0,855.3,56.3,544.1,967.3,1,302.2,0,0,conf_zoom=0.83|conf_speed=0.91|edge_zoom=0.987|bounds
13,1122.9,428.9,yolo,0.34,1126.2,540.0,854.8,57.6,542.7,964.8,1,300.7,0,0,conf_zoom=0.82|conf_speed=0.90|edge_zoom=0.987|bounds
14,1120.8,429.0,interp,0.38,1125.2,540.0,854.1,58.1,542.1,963.8,1,299.6,0,0,conf_zoom=0.82|conf_speed=0.90|edge_zoom=0.987|bounds
15,1118.8,429.0,interp,0.38,1124.3,540.0,853.2,58.0,542.2,964.0,1,298.5,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.988|bounds
16,1117.0,429.0,interp,0.38,1123.6,540.0,852.1,57.3,543.0,965.3,1,297.4,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.994|bounds
17,1115.3,429.1,yolo,0.33,1123.0,540.0,850.9,56.1,544.3,967.7,1,296.3,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
18,1113.7,429.1,interp,0.38,1122.7,540.0,849.6,54.5,546.2,971.1,1,295.0,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
19,1112.3,429.1,interp,0.38,1122.5,540.0,848.2,52.4,548.5,975.1,1,293.8,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
