frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,442.0,374.8,centroid,0.30,424.3,582.8,96.5,0.0,655.7,1165.7,1,286.3,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,440.2,375.1,centroid,0.30,423.2,582.5,95.5,0.0,655.3,1165.0,1,287.0,0,0,flight_commit=0.94|edge_zoom=0.942|bounds
2,438.0,375.6,centroid,0.30,421.7,582.0,94.3,0.0,654.8,1164.1,1,287.7,0,0,flight_commit=0.48|edge_zoom=0.941|bounds
3,435.5,376.1,centroid,0.30,419.9,581.4,92.9,0.0,654.1,1162.9,1,288.4,0,0,flight_commit=0.19|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.941|bounds
4,432.9,376.7,centroid,0.30,418.0,580.6,91.4,0.0,653.2,1161.2,1,289.1,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.948|bounds
5,430.1,377.4,centroid,0.30,416.0,579.4,90.1,0.0,651.8,1158.8,1,289.9,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.949|bounds
6,427.2,378.1,centroid,0.30,414.0,577.8,89.0,0.0,650.0,1155.6,1,290.8,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.950|bounds
7,424.3,378.8,centroid,0.30,412.1,575.6,88.3,0.0,647.5,1151.2,1,291.8,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.949|bounds
8,421.4,379.5,centroid,0.30,410.4,572.8,88.2,0.0,644.4,1145.5,1,293.0,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.949|bounds
9,418.7,380.3,centroid,0.30,408.8,569.3,88.6,0.0,640.4,1138.6,1,294.1,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.949|bounds
10,416.1,381.1,centroid,0.30,407.4,565.1,89.5,0.0,635.8,1130.2,1,295.3,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.949|bounds
11,413.8,381.9,centroid,0.30,406.3,560.4,91.1,0.0,630.4,1120.7,1,296.5,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.955|bounds
12,411.8,382.7,centroid,0.30,405.3,555.1,93.0,0.0,624.5,1110.3,1,297.5,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.970|bounds
13,410.1,383.5,centroid,0.30,404.5,549.6,95.3,0.0,618.3,1099.2,1,298.4,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.983|bounds
14,408.7,384.3,centroid,0.31,403.8,544.0,97.8,0.0,612.0,1088.0,1,299.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,407.7,385.0,centroid,0.31,403.3,540.0,100.5,1.6,605.8,1076.9,1,299.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,407.2,385.7,centroid,0.31,403.0,540.0,103.1,6.8,599.8,1066.3,1,299.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,406.9,386.4,centroid,0.31,402.8,540.0,105.6,11.7,594.3,1056.6,1,299.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,406.8,387.1,centroid,0.31,402.6,540.0,107.9,16.1,589.4,1047.8,1,299.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,406.9,387.8,centroid,0.31,402.6,540.0,110.1,19.9,585.1,1040.2,1,299.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,407.1,388.4,centroid,0.31,402.8,540.0,112.0,23.2,581.5,1033.7,1,299.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,407.5,389.0,centroid,0.32,403.0,540.0,113.8,25.8,578.5,1028.4,1,299.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,408.1,389.6,centroid,0.32,403.4,540.0,115.3,27.9,576.1,1024.1,1,299.3,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
23,409.0,390.1,centroid,0.32,403.9,540.0,116.8,29.5,574.3,1021.0,1,298.9,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
24,410.3,390.5,centroid,0.32,404.6,540.0,118.1,30.6,573.1,1018.8,1,298.3,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
25,411.8,390.8,centroid,0.32,405.5,540.0,119.4,31.2,572.4,1017.5,1,297.7,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
26,413.6,391.0,centroid,0.32,406.6,540.0,120.6,31.5,572.1,1017.1,1,297.0,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
27,415.7,391.1,centroid,0.32,407.9,540.0,121.8,31.3,572.2,1017.3,1,296.2,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
28,418.0,391.2,centroid,0.33,409.4,540.0,123.0,30.9,572.7,1018.1,1,295.4,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
29,420.6,391.0,centroid,0.33,411.0,540.0,124.3,30.4,573.3,1019.3,1,294.4,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
30,423.4,390.8,centroid,0.33,412.7,540.0,125.7,29.7,574.0,1020.5,1,293.3,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.985|bounds
31,426.3,390.4,centroid,0.33,414.6,540.0,127.2,29.2,574.7,1021.6,1,292.3,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.974|bounds
32,429.3,389.9,centroid,0.33,416.4,540.0,128.8,28.8,575.1,1022.4,1,291.1,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.965|bounds
33,432.3,389.3,centroid,0.33,418.1,540.0,130.4,28.6,575.3,1022.8,1,289.8,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.959|bounds
34,435.1,388.7,centroid,0.33,419.7,540.0,132.0,28.7,575.2,1022.7,1,288.6,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.958|bounds
35,437.6,388.1,centroid,0.34,421.0,540.0,133.5,28.9,575.0,1022.2,1,287.4,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.961|bounds
