frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1398.5,716.1,centroid,0.30,1384.4,540.0,1055.7,0.0,657.5,1168.9,1,289.9,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,1394.0,707.3,centroid,0.30,1382.3,540.0,1053.5,0.0,657.5,1168.9,1,292.3,1,1,conf_zoom=0.82|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
2,1389.1,697.5,centroid,0.30,1379.5,540.0,1050.7,0.0,657.5,1168.9,1,294.4,1,0,conf_zoom=0.82|speed|edge_zoom=0.939|bounds
3,1383.7,686.6,centroid,0.30,1376.1,540.0,1047.3,0.0,657.5,1168.9,1,296.4,1,0,conf_zoom=0.82|speed|edge_zoom=0.939|bounds
4,1378.0,674.7,centroid,0.30,1372.4,540.0,1043.7,0.0,657.5,1168.9,1,298.4,1,0,shot_pb=0.40|conf_zoom=0.82|speed|edge_zoom=0.940|bounds
5,1372.0,661.9,centroid,0.30,1368.7,540.0,1040.0,0.0,657.5,1168.9,1,300.7,1,0,shot_pb=0.60|conf_zoom=0.82|speed|edge_zoom=0.940|bounds
6,1365.9,648.2,centroid,0.30,1365.2,540.0,1036.4,0.0,657.5,1168.9,1,303.3,0,0,shot_pb=0.80|conf_zoom=0.82|edge_zoom=0.944|bounds
7,1359.9,633.7,centroid,0.30,1362.1,540.0,1033.3,0.0,657.5,1168.9,1,301.8,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.950|bounds
8,1354.2,618.5,centroid,0.30,1359.5,540.0,1030.7,0.0,657.5,1168.9,1,298.7,0,0,accel_zoom=0.917|shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.966|bounds
9,1349.0,602.9,centroid,0.30,1357.8,540.0,1029.0,0.0,657.5,1168.9,1,295.2,0,0,accel_zoom=0.917|shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.980|bounds
10,1344.6,586.9,centroid,0.30,1357.0,540.0,1028.2,0.0,657.5,1168.9,1,291.6,0,0,accel_zoom=0.917|shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.991|bounds
11,1341.1,570.7,centroid,0.30,1357.4,540.0,1028.6,0.0,657.5,1168.9,1,287.7,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.998|bounds
12,1338.7,554.4,centroid,0.30,1359.1,540.0,1030.3,0.0,657.5,1168.9,1,283.6,0,0,shot_pb=1.00|conf_zoom=0.82|bounds
13,1337.7,538.3,centroid,0.30,1362.3,540.0,1033.5,0.0,657.5,1168.9,1,279.4,0,0,shot_pb=1.00|conf_zoom=0.82|bounds
