frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,969.0,316.6,hold,0.30,960.4,540.0,631.6,0.0,657.5,1168.9,1,295.4,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,969.7,318.0,hold,0.30,958.5,540.0,629.8,0.0,657.5,1168.9,1,292.8,0,0,flight_commit=0.91|edge_zoom=0.919|bounds
2,980.2,328.4,blended,0.73,956.1,540.0,627.3,0.0,657.5,1168.9,1,279.9,0,0,flight_commit=1.00|edge_zoom=0.924|bounds
3,967.3,317.9,yolo,0.30,953.0,540.0,624.3,0.0,657.5,1168.9,1,289.7,0,0,flight_commit=1.00|edge_zoom=0.904|bounds
4,963.9,316.4,yolo,0.29,949.5,540.0,620.7,0.0,657.5,1168.9,1,289.6,0,0,flight_commit=1.00|edge_zoom=0.907|bounds
5,960.5,315.3,yolo,0.30,945.6,540.0,616.8,0.0,657.5,1168.9,1,289.1,0,0,flight_commit=0.62|edge_zoom=0.908|bounds
6,957.1,314.4,yolo,0.29,941.4,540.0,612.7,0.0,657.5,1168.9,1,288.3,0,0,flight_commit=0.35|edge_zoom=0.908|bounds
7,953.5,313.9,yolo,0.29,937.0,540.0,608.3,0.0,657.5,1168.9,1,287.5,0,0,flight_commit=0.16|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.909|bounds
8,949.6,313.7,yolo,0.41,932.5,540.0,603.8,0.0,657.5,1168.9,1,286.9,0,0,flight_commit=0.04|conf_zoom=0.92|conf_speed=0.96|edge_zoom=0.909|bounds
9,945.5,313.8,yolo,0.46,928.0,540.0,599.2,0.0,657.5,1168.9,1,286.5,1,0,conf_zoom=0.78|conf_speed=0.88|speed|edge_zoom=0.911|bounds
10,941.4,313.9,interp,0.38,923.3,540.0,594.6,0.0,657.5,1168.9,1,285.9,1,0,conf_zoom=0.78|conf_speed=0.88|speed|edge_zoom=0.911|bounds
11,937.1,314.1,yolo,0.42,918.7,540.0,589.9,0.0,657.5,1168.9,1,285.6,1,0,conf_zoom=0.79|conf_speed=0.89|speed|edge_zoom=0.911|bounds
12,932.5,314.4,yolo,0.41,914.0,540.0,585.2,0.0,657.5,1168.9,1,285.5,1,0,conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.911|bounds
13,927.9,314.6,yolo,0.37,909.3,540.0,580.5,0.0,657.5,1168.9,1,285.4,1,0,shot_pb=0.00|conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.911|bounds
14,923.9,314.7,interp,0.38,904.4,540.0,575.7,0.0,657.5,1168.9,1,284.5,1,0,shot_pb=0.00|conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.911|bounds
15,919.5,314.9,interp,0.38,899.6,540.0,570.8,0.0,657.5,1168.9,1,284.1,1,0,shot_pb=0.00|conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.911|bounds
16,914.8,315.1,interp,0.38,894.6,540.0,565.8,0.0,657.5,1168.9,1,283.8,1,0,shot_pb=0.00|conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.912|bounds
17,909.6,315.3,interp,0.38,889.6,540.0,560.8,0.0,657.5,1168.9,1,284.0,1,0,shot_pb=0.00|conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.912|bounds
18,903.9,315.5,interp,0.38,884.5,540.0,555.7,0.0,657.5,1168.9,1,284.6,0,0,shot_pb=0.00|flight_commit=0.00|conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.911|bounds
19,897.8,315.8,interp,0.38,879.4,540.0,550.6,0.0,657.5,1168.9,1,285.6,0,0,shot_pb=0.00|flight_commit=0.07|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.911|bounds
20,891.2,316.0,interp,0.38,874.4,540.0,545.7,0.0,657.5,1168.9,1,287.2,0,0,shot_pb=0.00|flight_commit=0.14|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.911|bounds
21,884.4,316.3,interp,0.38,869.6,540.0,540.8,0.0,657.5,1168.9,1,289.2,0,0,shot_pb=0.00|flight_commit=0.21|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.911|bounds
22,877.4,316.6,interp,0.38,865.0,540.0,536.3,0.0,657.5,1168.9,1,291.6,0,0,shot_pb=0.00|flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.911|bounds
23,870.4,316.9,interp,0.38,860.8,540.0,532.1,0.0,657.5,1168.9,1,294.4,0,0,shot_pb=0.00|flight_commit=0.31|conf_zoom=0.99|conf_speed=1.00|edge_zoom=0.911|bounds
24,863.5,317.3,interp,0.38,857.1,540.0,528.4,0.0,657.5,1168.8,1,297.6,0,0,shot_pb=0.00|flight_commit=0.33|conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.912|bounds
25,857.1,317.6,interp,0.38,853.8,540.0,525.1,0.0,657.4,1168.8,1,300.7,0,0,shot_pb=0.00|flight_commit=0.32|conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.912|bounds
26,851.4,318.0,interp,0.38,851.1,540.0,522.4,0.0,657.4,1168.7,1,303.7,0,0,shot_pb=0.00|flight_commit=0.26|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.912|bounds
27,846.8,318.3,interp,0.38,848.9,540.0,520.2,0.0,657.3,1168.6,1,301.9,0,0,shot_pb=0.00|flight_commit=0.16|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.912|bounds
28,843.8,318.7,interp,0.38,847.1,540.0,518.5,0.0,657.3,1168.5,1,300.7,1,0,shot_pb=0.00|conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.913|bounds
29,843.0,319.0,interp,0.38,845.8,540.0,517.1,0.0,657.2,1168.4,1,301.2,1,0,shot_pb=0.94|conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.913|bounds
30,855.8,319.3,interp,0.38,844.6,540.0,516.1,0.0,657.2,1168.3,1,292.8,0,0,shot_pb=0.00|flight_commit=0.35|edge_zoom=0.913|bounds
31,858.2,319.5,interp,0.38,843.6,540.0,515.0,0.0,657.1,1168.2,1,289.4,0,0,shot_pb=0.00|flight_commit=0.09|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.913|bounds
32,859.8,319.7,interp,0.38,842.5,540.0,514.0,0.0,657.1,1168.1,1,286.7,1,0,shot_pb=0.00|conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.913|bounds
33,860.6,319.9,interp,0.38,841.1,540.0,512.6,0.0,657.0,1168.0,1,284.5,1,0,shot_pb=0.94|conf_zoom=0.80|conf_speed=0.89|speed|edge_zoom=0.913|bounds
34,860.7,320.1,interp,0.38,839.3,540.0,510.8,0.0,657.0,1168.0,1,282.6,0,0,accel_zoom=0.935|flight_commit=0.83|edge_zoom=0.913|bounds
35,860.2,320.2,interp,0.38,836.8,540.0,508.3,0.0,657.0,1167.9,1,280.6,0,0,flight_commit=0.31|conf_zoom=0.99|conf_speed=1.00|edge_zoom=0.914|bounds
36,859.0,320.4,interp,0.38,833.5,540.0,505.0,0.0,657.0,1167.9,1,278.5,0,0,conf_zoom=0.80|conf_speed=0.89|edge_zoom=0.913|bounds
37,857.2,320.5,interp,0.38,829.2,540.0,500.7,0.0,657.0,1167.9,1,276.0,0,0,conf_zoom=0.80|conf_speed=0.89|edge_zoom=0.913|bounds
38,854.7,320.7,interp,0.38,823.7,540.0,495.2,0.0,656.9,1167.9,1,273.0,0,0,conf_zoom=0.80|conf_speed=0.89|edge_zoom=0.913|bounds
39,851.4,320.8,interp,0.38,816.9,540.0,488.4,0.0,656.9,1167.9,1,269.5,0,0,conf_zoom=0.80|conf_speed=0.89|edge_zoom=0.913|bounds
40,847.1,321.0,interp,0.38,808.6,540.0,480.1,0.0,656.9,1167.8,1,265.5,0,0,conf_zoom=0.80|conf_speed=0.89|edge_zoom=0.913|bounds
41,841.7,321.2,interp,0.38,798.6,540.0,470.1,0.0,656.9,1167.8,1,260.9,0,0,conf_zoom=0.80|conf_speed=0.89|edge_zoom=0.913|bounds
42,834.9,321.4,interp,0.38,786.8,540.0,458.4,0.0,656.9,1167.8,1,255.9,0,0,flight_commit=0.00|conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.913|bounds
43,826.3,321.6,interp,0.38,773.2,540.0,444.8,0.0,656.9,1167.7,1,250.9,0,0,flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.914|bounds
44,815.6,321.9,interp,0.38,757.8,540.0,429.4,0.0,656.8,1167.7,1,246.2,0,0,shot_pb=0.00|flight_commit=0.50|edge_zoom=0.914|bounds
45,802.2,322.3,interp,0.38,740.6,540.0,412.2,0.0,656.9,1167.7,1,242.4,0,0,flight_commit=0.85|edge_zoom=0.914|bounds
46,785.5,322.7,interp,0.38,721.8,540.0,393.4,0.0,656.9,1167.8,1,240.3,0,0,flight_commit=1.00|edge_zoom=0.914|bounds
47,764.6,323.3,interp,0.38,701.7,540.0,373.3,0.0,656.9,1167.9,1,241.1,0,0,flight_commit=1.00|edge_zoom=0.915|bounds
48,738.6,323.9,interp,0.38,680.6,540.0,352.1,0.0,657.0,1168.0,1,246.0,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.915|bounds
49,706.1,324.8,interp,0.38,658.9,540.0,330.3,0.0,657.1,1168.1,1,256.8,0,0,accel_zoom=0.942|shot_pb=0.40|flight_commit=1.00|edge_zoom=0.915|bounds
50,627.2,326.7,interp,0.38,636.9,540.0,308.4,0.0,657.1,1168.3,1,294.3,0,0,accel_zoom=0.786|shot_pb=0.60|flight_commit=1.00|edge_zoom=0.916|bounds
51,592.9,327.6,interp,0.38,615.2,540.0,286.6,0.0,657.2,1168.4,1,281.7,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.917|bounds
52,564.5,328.3,interp,0.38,594.2,540.0,265.5,0.0,657.3,1168.5,1,274.3,0,1,accel_zoom=0.807|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.915|bounds
53,541.0,328.9,interp,0.38,574.1,540.0,245.4,0.0,657.4,1168.6,1,270.9,0,0,accel_zoom=0.807|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.917|bounds
54,521.5,329.4,interp,0.38,555.2,540.0,226.5,0.0,657.4,1168.7,1,270.3,0,1,accel_zoom=0.807|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.915|bounds
55,505.3,329.9,interp,0.38,537.8,540.0,209.0,0.0,657.4,1168.8,1,271.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.918|bounds
56,491.7,330.3,interp,0.38,521.8,540.0,193.0,0.0,657.5,1168.8,1,273.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.912|bounds
57,480.2,330.6,yolo,0.29,507.2,540.0,178.5,0.0,657.5,1168.9,1,277.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.918|bounds
58,469.9,331.0,interp,0.38,494.0,540.0,165.3,0.0,657.5,1168.9,1,279.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.908|bounds
59,460.5,331.3,interp,0.38,482.1,540.0,153.3,0.0,657.5,1168.9,1,282.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.917|bounds
60,451.9,331.6,interp,0.38,471.2,540.0,142.4,0.0,657.5,1168.9,1,284.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.919|bounds
61,443.8,331.9,interp,0.38,461.2,540.0,132.4,0.0,657.5,1168.9,1,286.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.912|bounds
62,435.8,332.3,interp,0.38,451.8,540.0,123.1,0.0,657.5,1168.9,1,288.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.919|bounds
63,427.7,332.7,interp,0.38,443.0,540.0,114.3,0.0,657.5,1168.9,1,288.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.906|bounds
64,419.3,333.2,interp,0.38,434.6,540.0,105.8,0.0,657.5,1168.9,1,288.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.917|bounds
65,410.4,333.8,interp,0.38,426.5,540.0,97.7,0.0,657.5,1168.9,1,287.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.920|bounds
66,402.8,335.6,blended,0.78,418.7,540.0,89.9,0.0,657.5,1168.9,1,288.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.912|bounds
67,385.5,334.8,yolo,0.35,411.1,540.0,82.4,0.0,657.5,1168.9,1,278.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.917|bounds
68,370.3,335.4,yolo,0.38,403.9,540.0,75.1,0.0,657.5,1168.9,1,270.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.910|bounds
69,357.6,336.0,interp,0.38,397.1,540.0,68.4,0.0,657.5,1168.9,1,264.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.919|bounds
70,345.4,336.8,interp,0.38,390.9,540.0,62.2,0.0,657.5,1168.9,1,258.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.922|bounds
71,333.8,337.8,yolo,0.36,385.6,540.0,56.8,0.0,657.5,1168.9,1,252.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.916|bounds
