frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,flight_commit=0.82|keepin_prop=0.15|keepin_zoom=1.350|edge_zoom=0.839|bounds
2,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,flight_commit=0.27|conf_zoom=0.98|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.845|bounds
3,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,1,1,conf_zoom=0.73|keepin_prop=0.08|keepin_zoom=1.350|speed|edge_zoom=0.853|bounds
4,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.868|bounds
5,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
6,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
7,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
8,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
9,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
10,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
11,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
12,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
13,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
14,165.8,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.0,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.843|bounds
15,165.9,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.844|bounds
16,165.9,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.844|bounds
17,165.9,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.844|bounds
18,165.9,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.844|bounds
19,165.9,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.844|bounds
20,165.9,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.844|bounds
21,165.9,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.844|bounds
22,165.9,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.844|bounds
23,165.9,270.2,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.844|bounds
24,165.9,270.1,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.48|keepin_zoom=1.350|edge_zoom=0.844|bounds
25,165.9,270.1,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.1,0,1,conf_zoom=0.73|keepin_prop=0.48|keepin_zoom=1.350|edge_zoom=0.844|bounds
26,166.0,270.1,hold,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,141.2,0,1,conf_zoom=0.73|keepin_prop=0.48|keepin_zoom=1.350|edge_zoom=0.844|bounds
