frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,,,none,0.00,347.1,540.0,18.3,0.0,657.5,1168.9,,,1,0,conf_zoom=0.60|edge_zoom=0.750|bounds|final_speed
1,,,none,0.00,348.8,540.0,20.0,0.0,657.5,1168.9,,,0,0,accel_zoom=0.780|conf_zoom=0.60|edge_zoom=0.991|bounds
2,,,none,0.00,351.3,540.0,22.5,0.0,657.5,1168.9,,,0,0,accel_zoom=0.780|conf_zoom=0.60|bounds
3,,,none,0.00,354.6,540.0,25.8,0.0,657.5,1168.9,,,0,0,accel_zoom=0.780|conf_zoom=0.60|bounds
4,,,none,0.00,358.8,540.0,30.0,0.0,657.5,1168.9,,,0,0,accel_zoom=0.780|conf_zoom=0.60|bounds
5,341.8,260.7,hold,0.22,363.8,540.0,35.0,0.0,657.5,1168.9,1,260.7,0,0,accel_zoom=0.780|shot_pb=0.40|conf_zoom=0.62|edge_zoom=0.884|bounds
6,341.8,260.7,hold,0.22,369.5,540.0,40.7,0.0,657.5,1168.9,1,260.7,1,1,accel_zoom=0.780|shot_pb=0.60|conf_zoom=0.64|keepin_prop=0.01|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
7,341.8,260.7,hold,0.22,375.8,540.0,47.0,0.0,657.5,1168.9,1,260.7,1,1,accel_zoom=0.780|shot_pb=0.80|conf_zoom=0.66|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
8,341.8,260.7,hold,0.22,382.5,540.0,53.7,0.0,657.5,1168.9,1,260.7,1,1,shot_pb=1.00|conf_zoom=0.68|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
9,341.8,260.7,hold,0.22,389.4,540.0,60.6,0.0,657.5,1168.9,1,256.4,1,0,shot_pb=1.00|conf_zoom=0.69|speed|edge_zoom=0.939|bounds
10,341.8,260.7,hold,0.22,396.3,540.0,67.5,0.0,657.5,1168.9,1,249.5,1,0,shot_pb=1.00|conf_zoom=0.70|speed|edge_zoom=0.939|bounds
