frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,347.4,357.7,hold,0.30,359.4,577.1,34.8,0.0,649.2,1154.2,1,292.0,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,347.4,357.7,hold,0.30,360.1,574.5,36.9,0.0,646.3,1149.1,1,291.3,0,0,flight_commit=0.82|edge_zoom=0.932|bounds
2,347.4,357.7,hold,0.30,360.9,571.5,39.4,0.0,642.9,1143.0,1,290.5,0,0,flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.931|bounds
3,347.4,357.7,hold,0.30,361.8,568.0,42.3,0.0,639.0,1136.1,1,289.6,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.931|bounds
4,347.4,357.7,hold,0.30,362.8,564.2,45.4,0.0,634.7,1128.4,1,288.6,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.944|bounds
5,347.4,357.7,hold,0.30,363.8,560.1,48.7,0.0,630.1,1120.3,1,287.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,347.4,357.7,hold,0.30,364.8,555.9,52.1,0.0,625.4,1111.8,1,286.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,347.4,357.7,hold,0.30,365.6,551.6,55.3,0.0,620.6,1103.3,1,285.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,347.4,357.7,hold,0.30,366.4,547.5,58.4,0.0,615.9,1094.9,1,285.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,347.5,357.7,hold,0.30,367.0,543.5,61.3,0.0,611.4,1087.0,1,284.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,347.5,357.7,hold,0.30,367.5,540.0,63.9,0.2,607.2,1079.5,1,284.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,347.5,357.7,hold,0.30,367.9,540.0,66.2,3.7,603.4,1072.7,1,283.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,347.5,357.7,hold,0.30,368.2,540.0,68.3,6.8,599.9,1066.5,1,283.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,347.6,357.7,hold,0.30,368.5,540.0,70.1,9.5,596.8,1060.9,1,283.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,347.6,357.7,hold,0.30,368.6,540.0,71.6,12.0,594.0,1056.0,1,283.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,347.7,357.7,hold,0.30,368.8,540.0,73.0,14.2,591.5,1051.6,1,282.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,347.8,357.7,hold,0.30,368.9,540.0,74.2,16.1,589.4,1047.8,1,282.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,347.9,357.7,hold,0.30,368.9,540.0,75.2,17.8,587.4,1044.3,1,283.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,348.0,357.7,hold,0.30,369.0,540.0,76.1,19.3,585.8,1041.4,1,283.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
