frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,348.4,357.7,hold,0.30,357.5,540.0,33.5,0.0,648.2,1152.3,1,294.9,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,348.5,357.7,hold,0.30,358.4,540.0,36.1,0.0,644.7,1146.1,1,294.1,0,0,conf_zoom=0.82|edge_zoom=0.944|bounds
2,348.7,357.7,hold,0.30,359.5,540.0,39.3,0.0,640.5,1138.7,1,293.2,0,0,conf_zoom=0.82|edge_zoom=0.944|bounds
3,348.9,357.7,hold,0.30,360.7,540.0,42.9,0.0,635.6,1130.0,1,292.2,0,0,conf_zoom=0.82|edge_zoom=0.943|bounds
4,349.1,357.7,hold,0.30,362.0,540.0,46.9,0.0,630.1,1120.2,1,291.1,0,0,conf_zoom=0.82|edge_zoom=0.943|bounds
5,349.3,357.8,hold,0.30,363.1,540.0,51.0,0.0,624.1,1109.6,1,290.2,0,0,conf_zoom=0.82|edge_zoom=0.971|bounds
6,349.6,357.8,hold,0.30,364.1,540.0,55.1,0.0,617.9,1098.5,1,289.5,0,0,conf_zoom=0.82|bounds
7,349.9,357.8,hold,0.30,365.0,540.0,59.1,0.0,611.6,1087.3,1,288.9,0,0,conf_zoom=0.82|bounds
8,350.2,357.8,hold,0.30,365.6,540.0,62.9,1.8,605.5,1076.4,1,288.6,0,0,conf_zoom=0.82|bounds
9,350.6,357.8,hold,0.30,366.2,540.0,66.4,7.1,599.6,1065.9,1,288.4,0,0,conf_zoom=0.82|bounds
10,351.1,357.8,hold,0.30,366.6,540.0,69.6,11.9,594.1,1056.2,1,288.5,0,0,conf_zoom=0.82|bounds
11,351.6,357.8,hold,0.30,366.9,540.0,72.4,16.3,589.1,1047.4,1,288.7,0,0,conf_zoom=0.82|bounds
12,352.1,357.9,hold,0.30,367.2,540.0,74.8,20.2,584.8,1039.6,1,288.9,0,0,conf_zoom=0.82|bounds
13,352.8,357.9,hold,0.30,367.4,540.0,76.9,23.6,580.9,1032.8,1,289.4,0,0,conf_zoom=0.82|bounds
14,353.5,357.9,hold,0.30,367.5,540.0,78.7,26.5,577.7,1027.1,1,290.0,0,0,conf_zoom=0.82|bounds
15,354.4,357.9,hold,0.30,367.7,540.0,80.2,28.8,575.1,1022.4,1,290.7,0,0,conf_zoom=0.82|bounds
16,355.3,358.0,hold,0.30,368.0,540.0,81.5,30.6,573.0,1018.7,1,291.3,0,0,conf_zoom=0.82|bounds
17,356.4,358.0,hold,0.30,368.3,540.0,82.5,31.9,571.6,1016.1,1,292.1,0,0,conf_zoom=0.82|bounds
18,357.7,358.1,hold,0.30,368.7,540.0,83.4,32.7,570.8,1014.7,1,293.0,0,0,conf_zoom=0.82|bounds
19,359.1,358.1,hold,0.30,369.4,540.0,84.1,32.8,570.6,1014.5,1,293.7,0,0,conf_zoom=0.82|bounds
20,360.6,358.2,hold,0.30,370.3,540.0,84.6,32.2,571.3,1015.6,1,294.3,0,0,conf_zoom=0.82|bounds
21,362.5,358.2,hold,0.30,371.5,540.0,85.1,30.9,572.7,1018.2,1,295.0,0,0,conf_zoom=0.82|bounds
22,364.5,358.3,hold,0.30,373.1,540.0,85.5,28.8,575.1,1022.4,1,295.4,0,0,conf_zoom=0.82|bounds
23,366.9,358.4,hold,0.30,375.1,540.0,86.0,25.9,578.3,1028.1,1,295.8,0,0,conf_zoom=0.82|bounds
24,369.5,358.5,hold,0.30,377.7,540.0,86.5,22.3,582.4,1035.5,1,295.8,0,0,conf_zoom=0.82|edge_zoom=0.998|bounds
25,372.5,358.6,hold,0.30,381.0,540.0,87.3,17.9,587.4,1044.3,1,295.5,0,0,conf_zoom=0.82|edge_zoom=0.985|bounds
