frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1308.1,384.2,hold,0.30,1306.6,540.0,984.0,0.0,645.3,1147.1,1,302.5,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,1308.0,384.5,hold,0.30,1306.5,540.0,986.0,0.0,641.0,1139.6,1,302.5,0,0,conf_zoom=0.82|edge_zoom=0.974|bounds
2,1307.9,384.8,hold,0.30,1306.4,540.0,988.4,0.0,636.0,1130.6,1,302.5,0,0,conf_zoom=0.82|edge_zoom=0.978|bounds
3,1307.9,385.2,hold,0.30,1306.2,540.0,991.2,0.0,630.1,1120.2,1,302.3,0,0,conf_zoom=0.82|edge_zoom=0.986|bounds
4,1307.7,385.6,hold,0.30,1306.1,540.0,994.3,0.0,623.6,1108.5,1,302.4,0,0,conf_zoom=0.82|edge_zoom=0.993|bounds
5,1307.6,386.1,hold,0.30,1306.0,540.0,997.8,0.0,616.4,1095.9,1,302.4,0,0,conf_zoom=0.82|edge_zoom=0.999|bounds
6,1307.5,386.6,hold,0.30,1306.0,540.0,1001.5,0.0,609.0,1082.6,1,302.5,0,0,conf_zoom=0.82|bounds
7,1307.3,387.3,hold,0.30,1306.1,540.0,1005.5,5.6,601.2,1068.9,1,302.8,0,0,conf_zoom=0.82|bounds
8,1307.1,388.0,hold,0.30,1306.3,540.0,1009.5,12.4,593.5,1055.2,1,303.2,0,0,conf_zoom=0.82|bounds
9,1306.9,388.8,hold,0.30,1306.6,540.0,1013.6,19.1,586.0,1041.7,1,303.7,0,0,conf_zoom=0.82|bounds
10,1306.7,389.7,hold,0.30,1307.1,540.0,1017.7,25.6,578.7,1028.9,1,303.6,0,0,conf_zoom=0.82|bounds
11,1304.0,392.1,blended,0.77,1307.7,540.0,1021.7,31.6,571.9,1016.8,1,300.3,0,0,conf_zoom=0.87|bounds
12,1306.9,391.7,interp,0.28,1308.4,540.0,1025.6,37.2,565.6,1005.6,1,302.5,0,0,conf_zoom=0.86|edge_zoom=0.993|bounds
13,1303.7,394.8,blended,0.75,1309.4,540.0,1029.4,42.3,560.0,995.5,1,298.3,0,0,conf_zoom=0.90|edge_zoom=0.977|bounds
14,1306.3,394.9,blended,0.76,1310.4,540.0,1033.0,46.8,554.9,986.5,1,299.9,0,0,conf_zoom=0.94|edge_zoom=0.972|bounds
15,1310.4,393.8,interp,0.28,1311.6,540.0,1036.3,50.7,550.5,978.6,1,302.8,0,0,conf_zoom=0.92|edge_zoom=0.964|bounds
16,1308.9,395.7,blended,0.75,1312.8,540.0,1039.5,54.1,546.7,971.9,1,300.1,0,0,conf_zoom=0.95|edge_zoom=0.979|bounds
17,1314.1,393.5,interp,0.28,1314.2,540.0,1042.4,56.8,543.5,966.3,1,303.9,0,0,conf_zoom=0.93|edge_zoom=0.962|bounds
18,1314.8,393.9,blended,0.78,1315.6,540.0,1045.1,59.1,541.0,961.8,1,303.2,0,0,conf_zoom=0.97|edge_zoom=0.973|bounds
19,1318.3,392.5,interp,0.28,1317.0,540.0,1047.4,60.8,539.1,958.5,1,302.7,0,0,conf_zoom=0.94|edge_zoom=0.962|bounds
20,1320.3,391.9,yolo,0.28,1318.3,540.0,1049.4,61.9,537.9,956.2,1,302.0,0,0,conf_zoom=0.92|edge_zoom=0.965|bounds
21,1322.0,391.8,interp,0.28,1319.7,540.0,1051.0,62.4,537.3,955.1,1,301.7,0,0,conf_zoom=0.90|edge_zoom=0.978|bounds
22,1323.7,391.7,interp,0.28,1321.0,540.0,1052.3,62.4,537.3,955.2,1,301.3,0,0,conf_zoom=0.89|edge_zoom=0.988|bounds
23,1325.3,391.9,yolo,0.30,1322.3,540.0,1053.3,61.7,538.1,956.6,1,301.0,0,0,conf_zoom=0.88|edge_zoom=0.995|bounds
24,1326.9,392.3,interp,0.28,1323.7,540.0,1053.9,60.4,539.6,959.2,1,300.8,0,0,conf_zoom=0.87|bounds
25,1328.5,392.8,interp,0.28,1325.1,540.0,1054.2,58.4,541.8,963.2,1,300.6,0,0,conf_zoom=0.86|bounds
26,1330.1,393.5,interp,0.28,1326.6,540.0,1054.2,55.7,544.8,968.6,1,300.5,0,0,conf_zoom=0.85|bounds
27,1331.9,394.4,interp,0.28,1328.4,540.0,1054.1,52.4,548.6,975.3,1,300.5,0,0,conf_zoom=0.84|bounds
28,1333.9,395.3,interp,0.28,1330.4,540.0,1053.8,48.4,553.1,983.2,1,300.5,0,0,conf_zoom=0.84|bounds
