frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,108.0,345.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,83.2,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,108.8,345.5,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,84.0,0,1,flight_commit=0.87|keepin_prop=0.70|keepin_zoom=1.350|edge_zoom=0.750|bounds
2,109.9,345.6,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,85.1,0,1,flight_commit=0.37|keepin_prop=0.62|keepin_zoom=1.350|edge_zoom=0.750|bounds
3,111.1,345.8,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,86.3,0,1,flight_commit=0.03|conf_zoom=0.92|keepin_prop=0.56|keepin_zoom=1.350|edge_zoom=0.750|bounds
4,112.4,346.0,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,87.6,0,1,conf_zoom=0.73|keepin_prop=0.45|keepin_zoom=1.350|edge_zoom=0.750|bounds
5,113.9,346.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,89.1,0,1,conf_zoom=0.73|keepin_prop=0.47|keepin_zoom=1.350|edge_zoom=0.750|bounds
6,115.5,346.6,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,90.7,0,1,conf_zoom=0.73|keepin_prop=0.77|keepin_zoom=1.350|edge_zoom=0.750|bounds
7,117.1,346.9,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,92.3,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
8,118.8,347.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,94.0,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
9,120.5,347.7,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,95.7,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
10,122.2,348.2,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,97.4,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
11,123.9,348.6,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,99.1,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
12,125.5,349.1,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,100.7,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
13,127.1,349.6,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,102.3,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
14,128.7,350.2,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,103.9,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
15,130.3,350.7,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,105.5,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
16,131.8,351.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,107.0,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
17,133.4,351.9,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,108.6,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
18,135.0,352.5,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,110.2,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
19,136.7,353.2,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,111.9,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
20,138.4,353.9,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,113.6,0,1,conf_zoom=0.73|keepin_prop=0.97|keepin_zoom=1.350|edge_zoom=0.750|bounds
21,140.2,354.6,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,115.4,0,1,conf_zoom=0.73|keepin_prop=0.93|keepin_zoom=1.350|edge_zoom=0.750|bounds
22,141.9,355.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,117.1,0,1,conf_zoom=0.73|keepin_prop=0.89|keepin_zoom=1.350|edge_zoom=0.750|bounds
23,143.8,356.0,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,119.0,0,1,conf_zoom=0.73|keepin_prop=0.86|keepin_zoom=1.350|edge_zoom=0.750|bounds
24,145.6,356.8,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,120.8,0,1,conf_zoom=0.73|keepin_prop=0.82|keepin_zoom=1.350|edge_zoom=0.750|bounds
25,147.5,357.5,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,122.7,0,1,conf_zoom=0.73|keepin_prop=0.79|keepin_zoom=1.350|edge_zoom=0.750|bounds
26,149.4,358.2,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,124.6,0,1,conf_zoom=0.73|keepin_prop=0.75|keepin_zoom=1.350|edge_zoom=0.750|bounds
27,151.4,358.8,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,126.6,0,1,conf_zoom=0.73|keepin_prop=0.72|keepin_zoom=1.350|edge_zoom=0.750|bounds
28,153.4,359.5,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,128.6,0,1,conf_zoom=0.73|keepin_prop=0.68|keepin_zoom=1.350|edge_zoom=0.763|bounds
29,155.5,360.1,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,130.7,0,1,conf_zoom=0.73|keepin_prop=0.65|keepin_zoom=1.350|edge_zoom=0.778|bounds
30,157.6,360.7,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,132.8,0,1,conf_zoom=0.73|keepin_prop=0.61|keepin_zoom=1.350|edge_zoom=0.792|bounds
31,159.6,361.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,134.8,0,1,conf_zoom=0.73|keepin_prop=0.58|keepin_zoom=1.350|edge_zoom=0.806|bounds
32,161.7,361.9,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,136.9,0,1,conf_zoom=0.73|keepin_prop=0.55|keepin_zoom=1.350|edge_zoom=0.819|bounds
33,163.6,362.4,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,138.8,0,1,conf_zoom=0.73|keepin_prop=0.52|keepin_zoom=1.350|edge_zoom=0.831|bounds
34,165.6,362.9,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,140.8,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.842|bounds
35,167.4,363.4,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,142.6,0,1,conf_zoom=0.73|keepin_prop=0.46|keepin_zoom=1.350|edge_zoom=0.852|bounds
36,169.3,363.9,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,144.5,0,1,conf_zoom=0.73|keepin_prop=0.44|keepin_zoom=1.350|edge_zoom=0.862|bounds
37,171.2,364.4,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,146.4,0,1,conf_zoom=0.73|keepin_prop=0.41|keepin_zoom=1.350|edge_zoom=0.872|bounds
38,173.1,364.9,centroid,0.30,328.7,584.4,0.0,0.0,657.5,1168.9,1,148.4,0,1,conf_zoom=0.73|keepin_prop=0.39|keepin_zoom=1.350|edge_zoom=0.881|bounds
39,175.1,365.5,centroid,0.30,328.7,584.4,0.0,0.0,657.4,1168.7,1,150.4,0,1,conf_zoom=0.73|keepin_prop=0.36|keepin_zoom=1.350|edge_zoom=0.890|bounds
40,177.2,366.1,centroid,0.30,328.6,584.2,0.0,0.0,657.2,1168.4,1,152.6,0,1,conf_zoom=0.73|keepin_prop=0.33|keepin_zoom=1.350|edge_zoom=0.900|bounds
41,179.5,366.9,centroid,0.30,328.4,583.9,0.0,0.0,656.9,1167.8,1,155.1,0,1,conf_zoom=0.73|keepin_prop=0.26|keepin_zoom=1.350|edge_zoom=0.913|bounds
42,181.9,367.9,centroid,0.30,328.2,583.4,0.0,0.0,656.4,1166.8,1,157.7,0,1,conf_zoom=0.73|keepin_prop=0.20|keepin_zoom=1.350|edge_zoom=0.922|bounds
43,184.5,369.0,centroid,0.30,327.8,582.7,0.0,0.0,655.6,1165.5,1,160.7,0,1,conf_zoom=0.73|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.924|bounds
44,187.4,370.3,centroid,0.30,327.4,581.7,0.1,0.0,654.4,1163.4,1,164.0,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.917|bounds
45,190.6,371.9,centroid,0.30,327.0,580.3,0.6,0.0,652.8,1160.6,1,167.6,0,1,conf_zoom=0.73|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.895|bounds
46,194.2,373.7,centroid,0.30,326.6,578.4,1.2,0.0,650.7,1156.7,1,171.6,0,1,conf_zoom=0.73|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.890|bounds
47,198.3,375.7,centroid,0.30,326.2,575.9,2.2,0.0,647.9,1151.8,1,176.1,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.894|bounds
48,202.8,378.0,centroid,0.30,325.9,572.9,3.6,0.0,644.5,1145.7,1,180.9,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.898|bounds
49,207.8,380.5,centroid,0.30,325.7,569.3,5.4,0.0,640.5,1138.6,1,186.1,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.944|bounds
