frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,110.9,346.1,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,86.1,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,111.8,346.3,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,87.0,0,1,conf_zoom=0.82|keepin_prop=0.25|keepin_zoom=1.300|edge_zoom=0.809|bounds
2,112.8,346.5,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,88.0,0,1,conf_zoom=0.82|keepin_prop=0.22|keepin_zoom=1.300|edge_zoom=0.814|bounds
3,113.9,346.7,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,89.1,0,1,conf_zoom=0.82|keepin_prop=0.20|keepin_zoom=1.300|edge_zoom=0.819|bounds
4,115.1,347.0,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,90.3,0,1,conf_zoom=0.82|keepin_prop=0.19|keepin_zoom=1.300|edge_zoom=0.823|bounds
5,116.4,347.2,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,91.6,0,1,conf_zoom=0.82|keepin_prop=0.17|keepin_zoom=1.300|edge_zoom=0.826|bounds
6,117.8,347.6,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,93.0,0,1,conf_zoom=0.82|keepin_prop=0.21|keepin_zoom=1.300|edge_zoom=0.839|bounds
7,119.2,347.9,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,94.4,0,1,conf_zoom=0.82|keepin_prop=0.35|keepin_zoom=1.300|edge_zoom=0.850|bounds
8,120.7,348.3,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,95.9,0,1,conf_zoom=0.82|keepin_prop=0.44|keepin_zoom=1.300|edge_zoom=0.846|bounds
9,122.2,348.7,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,97.4,0,1,conf_zoom=0.82|keepin_prop=0.50|keepin_zoom=1.300|edge_zoom=0.841|bounds
10,123.8,349.1,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,99.0,0,1,conf_zoom=0.82|keepin_prop=0.50|keepin_zoom=1.300|edge_zoom=0.844|bounds
11,125.3,349.6,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,100.5,0,1,conf_zoom=0.82|keepin_prop=0.48|keepin_zoom=1.300|edge_zoom=0.850|bounds
12,126.9,350.1,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,102.1,0,1,conf_zoom=0.82|keepin_prop=0.47|keepin_zoom=1.300|edge_zoom=0.857|bounds
13,128.5,350.6,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,103.7,0,1,conf_zoom=0.82|keepin_prop=0.45|keepin_zoom=1.300|edge_zoom=0.864|bounds
14,130.1,351.1,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,105.3,0,1,conf_zoom=0.82|keepin_prop=0.43|keepin_zoom=1.300|edge_zoom=0.870|bounds
15,131.7,351.6,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,106.9,0,1,conf_zoom=0.82|keepin_prop=0.41|keepin_zoom=1.300|edge_zoom=0.876|bounds
16,133.3,352.2,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,108.5,0,1,conf_zoom=0.82|keepin_prop=0.40|keepin_zoom=1.300|edge_zoom=0.882|bounds
17,135.0,352.8,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,110.2,0,1,conf_zoom=0.82|keepin_prop=0.38|keepin_zoom=1.300|edge_zoom=0.888|bounds
18,136.6,353.4,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,111.8,0,1,conf_zoom=0.82|keepin_prop=0.36|keepin_zoom=1.300|edge_zoom=0.894|bounds
19,138.4,354.0,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,113.6,0,1,conf_zoom=0.82|keepin_prop=0.34|keepin_zoom=1.300|edge_zoom=0.900|bounds
20,140.2,354.7,centroid,0.30,328.8,540.0,0.0,0.0,657.5,1168.9,1,115.4,0,1,conf_zoom=0.82|keepin_prop=0.33|keepin_zoom=1.300|edge_zoom=0.906|bounds
