frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,759.7,235.2,centroid,0.30,764.1,540.0,435.3,0.0,657.5,1168.9,1,235.2,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,761.1,236.2,centroid,0.30,765.0,540.0,436.2,0.0,657.5,1168.9,1,236.2,1,1,flight_commit=0.93|keepin_prop=0.04|keepin_zoom=1.350|speed|edge_zoom=0.890|bounds
2,762.9,237.5,centroid,0.30,766.3,540.0,437.5,0.0,657.5,1168.9,1,237.5,1,1,flight_commit=0.48|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.891|bounds
3,765.1,239.1,centroid,0.30,767.9,540.0,439.1,0.0,657.5,1168.9,1,239.1,1,1,flight_commit=0.20|conf_zoom=0.96|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.892|bounds
4,767.8,241.1,centroid,0.30,769.9,540.0,441.2,0.0,657.5,1168.9,1,241.1,1,1,flight_commit=0.04|conf_zoom=0.92|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.893|bounds
5,771.1,243.5,centroid,0.30,772.4,540.0,443.6,0.0,657.5,1168.9,1,243.5,1,1,conf_zoom=0.73|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.895|bounds
6,776.3,247.4,centroid,0.30,775.2,540.0,446.5,0.0,657.5,1168.9,1,247.4,1,1,flight_commit=0.07|conf_zoom=0.93|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.96|speed|edge_zoom=0.900|bounds
7,780.8,250.8,centroid,0.30,778.5,540.0,449.7,0.0,657.5,1168.8,1,250.8,1,1,flight_commit=0.09|conf_zoom=0.93|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.96|speed|edge_zoom=0.901|bounds
8,785.3,254.4,centroid,0.30,782.2,540.0,453.5,0.0,657.4,1168.8,1,254.4,1,1,flight_commit=0.11|conf_zoom=0.94|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.97|speed|edge_zoom=0.901|bounds
9,789.7,258.1,centroid,0.30,786.5,540.0,457.8,0.0,657.4,1168.7,1,258.1,1,1,flight_commit=0.12|conf_zoom=0.94|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.97|speed|edge_zoom=0.902|bounds
10,794.1,261.9,centroid,0.30,791.3,540.0,462.6,0.0,657.3,1168.5,1,261.9,1,1,flight_commit=0.13|conf_zoom=0.94|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.97|speed|edge_zoom=0.902|bounds
11,798.3,265.9,centroid,0.30,796.6,540.0,468.0,0.0,657.2,1168.3,1,265.9,1,1,flight_commit=0.14|conf_zoom=0.95|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.97|speed|edge_zoom=0.902|bounds
12,802.5,269.9,centroid,0.30,802.6,540.0,474.1,0.0,657.0,1168.0,1,269.9,1,1,flight_commit=0.15|conf_zoom=0.95|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.97|speed|edge_zoom=0.902|bounds
13,806.8,274.2,centroid,0.30,809.3,540.0,480.9,0.0,656.7,1167.6,1,274.2,1,1,flight_commit=0.16|conf_zoom=0.95|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.97|speed|edge_zoom=0.902|bounds
14,811.0,278.7,centroid,0.30,816.8,540.0,488.5,0.0,656.5,1167.0,1,278.7,1,0,flight_commit=0.19|conf_zoom=0.96|conf_speed=0.98|speed|edge_zoom=0.902|bounds
15,815.5,283.3,centroid,0.30,825.1,540.0,497.1,0.0,656.1,1166.5,1,283.3,1,0,flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|speed|edge_zoom=0.902|bounds
16,820.3,288.3,centroid,0.30,834.5,540.0,506.6,0.0,655.8,1165.8,1,288.3,1,0,flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|speed|edge_zoom=0.902|bounds
17,825.5,293.7,centroid,0.30,844.9,540.0,517.3,0.0,655.4,1165.1,1,284.6,0,0,flight_commit=0.34|edge_zoom=0.904|bounds
18,831.4,299.5,centroid,0.30,856.7,540.0,529.2,0.0,655.0,1164.5,1,278.7,0,0,flight_commit=0.43|edge_zoom=0.907|bounds
19,838.1,305.9,centroid,0.30,870.0,540.0,542.7,0.0,654.7,1163.9,1,272.1,0,0,flight_commit=0.56|edge_zoom=0.910|bounds
20,845.9,312.9,centroid,0.30,885.0,540.0,557.8,0.0,654.5,1163.5,1,264.9,0,0,flight_commit=0.72|edge_zoom=0.914|bounds
21,855.0,320.9,centroid,0.30,901.9,540.0,574.8,0.0,654.4,1163.3,1,257.1,0,0,flight_commit=0.93|edge_zoom=0.919|bounds
22,865.8,330.1,centroid,0.30,920.9,540.0,593.7,0.0,654.4,1163.4,1,248.9,0,0,flight_commit=1.00|edge_zoom=0.924|bounds
23,878.6,340.6,centroid,0.30,942.2,540.0,614.9,0.0,654.5,1163.6,1,240.4,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.928|bounds
24,894.1,353.0,centroid,0.30,965.8,540.0,638.4,0.0,654.7,1164.0,1,232.3,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.935|bounds
25,912.8,367.5,centroid,0.30,991.8,540.0,664.2,0.0,655.1,1164.6,1,225.0,0,0,accel_zoom=0.943|shot_pb=0.80|flight_commit=1.00|edge_zoom=0.942|bounds
26,935.7,384.9,centroid,0.30,1020.2,540.0,692.4,0.0,655.4,1165.2,1,219.5,0,0,accel_zoom=0.918|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.951|bounds
