frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1455.3,296.2,centroid,0.30,1480.5,584.5,1151.8,0.0,657.5,1168.9,1,278.8,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1457.3,292.5,blended,0.68,1483.0,584.5,1154.2,0.0,657.5,1168.9,1,278.3,1,0,flight_commit=1.00|speed|edge_zoom=0.893|bounds
2,1461.4,290.1,interp,0.38,1486.3,584.5,1157.5,0.0,657.5,1168.9,1,279.1,0,0,flight_commit=0.73|edge_zoom=0.894|bounds
3,1466.2,288.7,interp,0.38,1490.4,584.5,1161.6,0.0,657.5,1168.9,1,279.8,0,0,flight_commit=0.51|edge_zoom=0.895|bounds
4,1471.5,287.7,interp,0.38,1495.2,584.5,1166.4,0.0,657.5,1168.9,1,280.3,1,0,flight_commit=0.38|speed|edge_zoom=0.895|bounds
5,1477.3,286.9,interp,0.38,1500.5,584.5,1171.7,0.0,657.5,1168.9,1,280.8,1,0,flight_commit=0.32|conf_zoom=1.00|conf_speed=1.00|speed|edge_zoom=0.896|bounds
6,1483.4,286.3,interp,0.38,1506.2,584.5,1177.5,0.0,657.5,1168.9,1,281.2,1,0,flight_commit=0.29|conf_zoom=0.99|conf_speed=0.99|speed|edge_zoom=0.897|bounds
7,1489.9,285.8,interp,0.38,1512.2,584.5,1183.5,0.0,657.5,1168.9,1,281.7,1,0,flight_commit=0.29|conf_zoom=0.99|conf_speed=0.99|speed|edge_zoom=0.898|bounds
8,1496.5,285.5,interp,0.38,1518.4,584.5,1189.7,0.0,657.5,1168.9,1,282.1,1,0,shot_pb=0.00|flight_commit=0.30|conf_zoom=0.99|conf_speed=1.00|speed|edge_zoom=0.898|bounds
9,1503.3,285.3,interp,0.38,1524.7,584.5,1195.9,0.0,657.5,1168.9,1,282.6,1,0,shot_pb=0.00|flight_commit=0.32|conf_zoom=1.00|conf_speed=1.00|speed|edge_zoom=0.899|bounds
10,1510.2,285.2,interp,0.38,1530.9,584.5,1202.2,0.0,657.5,1168.9,1,283.3,1,0,shot_pb=0.00|flight_commit=0.34|speed|edge_zoom=0.899|bounds
11,1517.2,285.2,interp,0.38,1537.1,584.5,1208.3,0.0,657.5,1168.9,1,284.1,1,0,shot_pb=0.00|flight_commit=0.36|speed|edge_zoom=0.899|bounds
12,1524.3,285.2,interp,0.38,1543.1,584.5,1214.3,0.0,657.5,1168.9,1,285.2,1,0,shot_pb=0.00|flight_commit=0.38|speed|edge_zoom=0.900|bounds
13,1531.4,285.3,interp,0.38,1548.9,584.5,1220.1,0.0,657.5,1168.9,1,285.3,1,0,shot_pb=0.00|flight_commit=0.39|speed|edge_zoom=0.900|bounds
14,1538.5,285.4,interp,0.38,1554.4,584.5,1225.6,0.0,657.5,1168.9,1,285.4,1,0,shot_pb=0.00|flight_commit=0.40|speed|edge_zoom=0.900|bounds
15,1545.6,285.5,interp,0.38,1559.5,584.5,1230.7,0.0,657.5,1168.9,1,285.5,1,0,shot_pb=0.00|flight_commit=0.40|speed|edge_zoom=0.900|bounds
16,1552.6,285.7,interp,0.38,1564.2,584.5,1235.5,0.0,657.5,1168.9,1,285.7,1,0,shot_pb=0.00|flight_commit=0.41|speed|edge_zoom=0.901|bounds
