frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1463.2,283.1,hold,0.30,1469.0,540.0,1140.3,0.0,657.5,1168.9,1,283.1,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,1466.4,283.6,blended,0.68,1470.2,540.0,1141.4,0.0,657.5,1168.9,1,283.6,1,1,flight_commit=0.78|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
2,1470.5,283.4,interp,0.28,1471.8,540.0,1143.1,0.0,657.5,1168.9,1,283.4,1,1,conf_zoom=0.85|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
3,1474.9,283.5,interp,0.28,1473.9,540.0,1145.2,0.0,657.5,1168.9,1,283.5,1,1,conf_zoom=0.84|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
4,1479.7,283.7,interp,0.28,1476.4,540.0,1147.7,0.0,657.5,1168.9,1,283.7,1,1,conf_zoom=0.84|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.940|bounds
5,1484.8,283.8,interp,0.28,1479.3,540.0,1150.5,0.0,657.5,1168.9,1,283.8,1,1,conf_zoom=0.83|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.940|bounds
6,1490.1,284.0,interp,0.28,1482.5,540.0,1153.8,0.0,657.5,1168.9,1,284.0,1,1,conf_zoom=0.83|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.940|bounds
7,1495.6,284.2,interp,0.28,1486.1,540.0,1157.4,0.0,657.5,1168.9,1,284.2,1,1,conf_zoom=0.82|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.941|bounds
8,1501.2,284.5,interp,0.28,1490.1,540.0,1161.3,0.0,657.5,1168.9,1,284.5,1,1,conf_zoom=0.82|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.941|bounds
9,1507.0,284.7,interp,0.28,1494.3,540.0,1165.5,0.0,657.5,1168.9,1,284.7,1,1,shot_pb=0.00|conf_zoom=0.82|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.941|bounds
10,1512.9,285.0,interp,0.28,1498.8,540.0,1170.1,0.0,657.5,1168.9,1,285.0,1,1,shot_pb=0.00|conf_zoom=0.82|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.942|bounds
11,1518.9,285.3,interp,0.28,1503.7,540.0,1174.9,0.0,657.5,1168.9,1,285.3,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.942|bounds
12,1524.9,285.6,interp,0.28,1508.7,540.0,1180.0,0.0,657.5,1168.9,1,285.6,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.942|bounds
13,1530.9,285.9,interp,0.28,1514.0,540.0,1185.3,0.0,657.5,1168.9,1,285.9,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.942|bounds
14,1537.0,286.2,interp,0.28,1519.5,540.0,1190.8,0.0,657.5,1168.9,1,286.2,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.942|bounds
15,1543.0,286.6,interp,0.28,1525.2,540.0,1196.4,0.0,657.5,1168.9,1,286.2,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.943|bounds
16,1548.9,287.0,interp,0.28,1531.0,540.0,1202.2,0.0,657.5,1168.9,1,286.1,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.943|bounds
17,1554.8,287.4,interp,0.28,1536.9,540.0,1208.1,0.0,657.5,1168.9,1,286.1,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.943|bounds
18,1560.5,287.9,interp,0.28,1542.8,540.0,1214.0,0.0,657.5,1168.9,1,286.3,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.943|bounds
19,1566.1,288.4,interp,0.28,1548.6,540.0,1219.8,0.0,657.5,1168.9,1,286.5,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.943|bounds
20,1571.5,288.9,interp,0.28,1554.2,540.0,1225.4,0.0,657.5,1168.9,1,286.7,1,1,shot_pb=0.00|conf_zoom=0.81|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.943|bounds
21,1576.7,289.5,interp,0.28,1559.6,540.0,1230.8,0.0,657.5,1168.9,1,286.9,1,0,shot_pb=0.00|conf_zoom=0.81|speed|edge_zoom=0.943|bounds
22,1581.6,290.2,interp,0.28,1564.6,540.0,1235.9,0.0,657.5,1168.9,1,287.0,1,0,shot_pb=0.00|conf_zoom=0.81|speed|edge_zoom=0.943|bounds
23,1586.3,290.9,interp,0.28,1569.3,540.0,1240.5,0.0,657.5,1168.9,1,287.0,1,0,shot_pb=0.00|conf_zoom=0.81|speed|edge_zoom=0.943|bounds
24,1590.5,291.7,interp,0.28,1573.4,540.0,1244.7,0.0,657.5,1168.9,1,286.9,1,0,shot_pb=0.00|conf_zoom=0.80|speed|edge_zoom=0.944|bounds
25,1594.4,292.5,interp,0.28,1577.1,540.0,1248.3,0.0,657.5,1168.9,1,286.7,1,0,shot_pb=0.00|conf_zoom=0.80|speed|edge_zoom=0.944|bounds
26,1597.8,293.5,yolo,0.50,1580.1,540.0,1251.4,0.0,657.5,1168.9,1,286.3,1,0,shot_pb=0.00|conf_zoom=0.83|speed|edge_zoom=0.944|bounds
27,1600.3,294.6,yolo,0.44,1582.7,540.0,1253.9,0.0,657.5,1168.9,1,286.4,1,0,shot_pb=0.00|conf_zoom=0.84|speed|edge_zoom=0.944|bounds
28,1602.2,295.8,interp,0.28,1584.7,540.0,1255.9,0.0,657.5,1168.9,1,286.5,1,0,shot_pb=0.00|conf_zoom=0.84|speed|edge_zoom=0.944|bounds
29,1603.6,297.1,yolo,0.40,1586.2,540.0,1257.5,0.0,657.5,1168.9,1,286.6,1,1,shot_pb=0.00|conf_zoom=0.84|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.944|bounds
30,1604.7,298.5,interp,0.28,1587.4,540.0,1258.6,0.0,657.5,1168.9,1,286.7,1,0,shot_pb=0.94|conf_zoom=0.84|speed|edge_zoom=0.944|bounds
31,1605.3,300.1,yolo,0.36,1588.1,540.0,1259.3,0.0,657.5,1168.9,1,286.8,1,0,accel_zoom=0.904|conf_zoom=0.84|speed|edge_zoom=0.940|bounds
32,1605.5,301.7,yolo,0.37,1588.5,540.0,1259.8,0.0,657.5,1168.9,1,287.0,0,1,conf_zoom=0.85|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.946|bounds
33,1605.3,303.4,yolo,0.36,1588.7,540.0,1259.9,0.0,657.5,1168.9,1,287.4,0,1,conf_zoom=0.85|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.961|bounds
34,1604.9,305.3,yolo,0.36,1588.6,540.0,1259.8,0.0,657.5,1168.9,1,287.7,0,1,conf_zoom=0.85|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.960|bounds
35,1604.1,307.5,interp,0.28,1588.2,540.0,1259.5,0.0,657.5,1168.9,1,288.1,0,1,conf_zoom=0.84|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.959|bounds
36,1603.0,310.0,yolo,0.37,1587.8,540.0,1259.0,0.0,657.5,1168.9,1,288.8,0,1,conf_zoom=0.85|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.957|bounds
37,1601.5,312.8,yolo,0.35,1587.1,540.0,1258.4,0.0,657.5,1168.9,1,289.6,0,0,conf_zoom=0.85|edge_zoom=0.955|bounds
38,1599.7,315.9,yolo,0.32,1586.4,540.0,1257.7,0.0,657.5,1168.9,1,290.7,0,0,conf_zoom=0.85|edge_zoom=0.950|bounds
39,1597.4,319.6,yolo,0.34,1585.7,540.0,1257.0,0.0,657.5,1168.9,1,292.3,0,0,conf_zoom=0.85|edge_zoom=0.943|bounds
40,1592.8,324.3,interp,0.28,1585.0,540.0,1256.3,0.0,657.5,1168.9,1,296.2,1,0,conf_zoom=0.84|speed|edge_zoom=0.942|bounds
41,1588.2,329.5,interp,0.28,1584.4,540.0,1255.7,0.0,657.5,1168.9,1,300.2,1,0,conf_zoom=0.83|speed|edge_zoom=0.943|bounds
42,1584.1,335.1,interp,0.28,1584.0,540.0,1255.2,0.0,657.5,1168.9,1,303.9,1,0,shot_pb=0.00|conf_zoom=0.83|speed|edge_zoom=0.943|bounds
43,1580.7,340.9,interp,0.28,1583.7,540.0,1255.0,0.0,657.5,1168.9,1,301.0,1,0,shot_pb=0.00|conf_zoom=0.83|speed|edge_zoom=0.943|bounds
