frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1056.5,733.8,centroid,0.30,1011.0,540.0,682.3,0.0,657.5,1168.9,1,258.5,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1046.9,724.5,centroid,0.30,1004.9,540.0,676.1,0.0,657.5,1168.8,1,262.0,0,0,flight_commit=1.00|edge_zoom=0.896|bounds
2,1035.5,713.5,centroid,0.30,997.1,540.0,668.4,0.0,657.4,1168.7,1,265.6,0,0,flight_commit=1.00|edge_zoom=0.902|bounds
3,1022.3,700.7,centroid,0.30,988.0,540.0,659.3,0.0,657.3,1168.6,1,269.7,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.908|bounds
4,1007.5,686.4,centroid,0.30,978.1,540.0,649.5,0.0,657.2,1168.4,1,274.6,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.915|bounds
5,991.6,670.5,centroid,0.30,968.1,540.0,639.6,0.0,657.1,1168.2,1,280.5,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.923|bounds
6,975.1,653.2,centroid,0.30,958.6,540.0,630.1,0.0,656.9,1167.9,1,287.5,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.932|bounds
7,958.5,634.6,centroid,0.30,949.9,540.0,621.6,0.0,656.7,1167.5,1,295.4,0,0,accel_zoom=0.923|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.942|bounds
8,942.8,615.0,centroid,0.30,942.7,540.0,614.5,0.0,656.5,1167.1,1,303.9,0,0,accel_zoom=0.917|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.955|bounds
9,928.7,594.6,centroid,0.30,937.4,540.0,609.3,0.0,656.2,1166.6,1,295.3,0,0,accel_zoom=0.917|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.976|bounds
10,917.0,573.7,centroid,0.30,934.1,540.0,606.2,0.0,656.0,1166.1,1,286.9,0,0,accel_zoom=0.917|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.992|bounds
11,908.3,552.5,centroid,0.30,933.2,540.0,605.4,0.0,655.7,1165.7,1,279.1,0,0,accel_zoom=0.917|shot_pb=1.00|flight_commit=1.00|bounds
12,902.9,531.2,centroid,0.30,934.8,540.0,607.1,0.0,655.5,1165.3,1,272.1,0,0,shot_pb=1.00|flight_commit=1.00|bounds
13,900.8,510.2,centroid,0.30,938.9,540.0,611.2,0.0,655.3,1164.9,1,265.9,0,0,shot_pb=1.00|flight_commit=1.00|bounds
14,902.1,489.6,centroid,0.30,945.2,540.0,617.6,0.0,655.2,1164.8,1,260.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.996|bounds
15,906.2,469.5,centroid,0.30,953.6,540.0,626.0,0.0,655.1,1164.7,1,256.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.986|bounds
16,912.7,450.2,centroid,0.30,963.8,540.0,636.2,0.0,655.2,1164.8,1,252.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.977|bounds
17,920.8,431.9,centroid,0.30,975.3,540.0,647.6,0.0,655.3,1165.0,1,249.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.970|bounds
18,929.8,415.0,centroid,0.30,987.6,540.0,659.9,0.0,655.5,1165.3,1,246.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.965|bounds
