frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,,,none,0.00,960.0,540.0,638.0,0.0,643.9,1144.8,,,1,0,conf_zoom=0.60|edge_zoom=0.920|bounds|final_speed
1,,,none,0.00,960.0,540.0,637.0,0.0,645.9,1148.3,,,0,0,accel_zoom=0.851|conf_zoom=0.60|bounds
2,,,none,0.00,960.0,540.0,636.1,0.0,647.9,1151.8,,,0,0,conf_zoom=0.60|bounds
3,,,none,0.00,960.0,540.0,635.1,0.0,649.7,1155.1,,,0,0,conf_zoom=0.60|bounds
4,,,none,0.00,960.0,540.0,634.3,0.0,651.4,1158.0,,,0,0,conf_zoom=0.60|bounds
5,,,none,0.00,960.0,540.0,633.6,0.0,652.9,1160.6,,,0,0,conf_zoom=0.60|bounds
6,,,none,0.00,960.0,540.0,633.0,0.0,654.1,1162.8,,,0,0,conf_zoom=0.60|bounds
7,,,none,0.00,960.0,540.0,632.5,0.0,655.1,1164.6,,,0,0,conf_zoom=0.60|bounds
8,,,none,0.00,960.0,540.0,632.1,0.0,655.8,1166.0,,,0,0,conf_zoom=0.60|bounds
9,,,none,0.00,960.0,540.0,631.8,0.0,656.4,1167.0,,,0,0,conf_zoom=0.60|bounds
10,,,none,0.00,960.0,540.0,631.6,0.0,656.8,1167.7,,,0,0,conf_zoom=0.60|bounds
11,,,none,0.00,960.0,540.0,631.5,0.0,657.1,1168.2,,,0,0,conf_zoom=0.60|bounds
12,,,none,0.00,960.0,540.0,631.4,0.0,657.3,1168.5,,,0,0,conf_zoom=0.60|bounds
13,,,none,0.00,960.0,540.0,631.3,0.0,657.4,1168.7,,,0,0,conf_zoom=0.60|bounds
14,,,none,0.00,960.0,540.0,631.3,0.0,657.5,1168.8,,,0,0,conf_zoom=0.60|bounds
15,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
16,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
17,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
18,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
19,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
20,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
21,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
22,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
23,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
24,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
25,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
26,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
27,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
28,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
29,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
30,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
31,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
32,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
33,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
34,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
35,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
36,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
37,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
38,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
39,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
40,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
41,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
42,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
43,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
44,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
45,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
46,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
47,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
48,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
49,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
50,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
51,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
