frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,860.7,379.7,centroid,0.30,993.6,540.0,664.9,0.0,657.5,1168.9,1,171.1,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,986.0,381.9,hold,0.30,1007.1,540.0,678.4,0.0,657.5,1168.9,1,282.9,0,0,accel_zoom=0.780|flight_commit=1.00|edge_zoom=0.944|bounds
2,1036.2,382.9,hold,0.30,1023.8,540.0,695.1,0.0,657.5,1168.9,1,291.6,0,0,shot_pb=0.00|flight_commit=1.00|edge_zoom=0.944|bounds
3,1076.3,383.6,hold,0.30,1042.8,540.0,714.1,0.0,657.5,1168.9,1,270.5,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.945|bounds
4,1108.3,384.2,hold,0.30,1062.8,540.0,734.1,0.0,657.5,1168.9,1,258.5,0,0,shot_pb=0.40|flight_commit=1.00|flight_boost=1.52|edge_zoom=0.945|bounds
5,1134.0,384.6,hold,0.30,1082.7,540.0,754.0,0.0,657.5,1168.9,1,252.7,0,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|flight_boost=1.38|edge_zoom=0.943|bounds
6,1154.5,385.0,hold,0.30,1101.7,540.0,772.9,0.0,657.5,1168.9,1,251.2,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.945|bounds
7,1171.0,385.3,hold,0.30,1119.2,540.0,790.4,0.0,657.5,1168.9,1,252.2,0,0,accel_zoom=0.869|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.944|bounds
8,1184.1,385.6,hold,0.30,1134.8,540.0,806.1,0.0,657.5,1168.9,1,254.7,0,0,accel_zoom=0.869|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.945|bounds
9,1194.6,385.8,hold,0.30,1148.6,540.0,819.8,0.0,657.5,1168.9,1,258.0,0,1,accel_zoom=0.869|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.944|bounds
10,1203.0,385.9,hold,0.30,1160.5,540.0,831.8,0.0,657.5,1168.9,1,261.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.945|bounds
11,1209.7,386.0,hold,0.30,1170.7,540.0,841.9,0.0,657.5,1168.9,1,265.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.941|bounds
12,1215.1,386.1,hold,0.30,1179.3,540.0,850.5,0.0,657.5,1168.9,1,268.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.945|bounds
13,1219.4,386.2,hold,0.30,1186.5,540.0,857.8,0.0,657.5,1168.9,1,271.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.945|bounds
14,1222.9,386.3,hold,0.30,1192.5,540.0,863.7,0.0,657.5,1168.9,1,273.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.939|bounds
15,1225.6,386.3,hold,0.30,1197.4,540.0,868.6,0.0,657.5,1168.9,1,275.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.944|bounds
16,1227.8,386.4,hold,0.30,1201.3,540.0,872.5,0.0,657.5,1168.9,1,277.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.945|bounds
17,1229.6,386.4,hold,0.30,1204.3,540.0,875.5,0.0,657.5,1168.9,1,278.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.937|bounds
18,1231.0,386.4,hold,0.30,1206.4,540.0,877.7,0.0,657.5,1168.9,1,279.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.944|bounds
19,1232.1,386.4,hold,0.30,1207.7,540.0,879.0,0.0,657.5,1168.9,1,279.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.945|bounds
20,1233.0,386.4,hold,0.30,1208.1,540.0,879.3,0.0,657.5,1168.9,1,279.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.935|bounds
21,1233.7,386.5,hold,0.30,1207.5,540.0,878.8,0.0,657.5,1168.9,1,277.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.943|bounds
22,1234.3,386.5,hold,0.30,1205.9,540.0,877.2,0.0,657.5,1168.9,1,275.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.945|bounds
23,1234.7,386.5,hold,0.30,1203.2,540.0,874.5,0.0,657.5,1168.8,1,272.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.934|bounds
24,1235.0,386.5,hold,0.30,1199.3,540.0,870.6,0.0,657.4,1168.7,1,268.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.943|bounds
25,1235.3,386.5,hold,0.30,1194.2,540.0,865.5,0.0,657.4,1168.7,1,262.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.945|bounds
26,1235.5,386.5,hold,0.30,1187.9,540.0,859.2,0.0,657.3,1168.6,1,256.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.14|keepin_zoom=1.350|edge_zoom=0.934|bounds
27,1235.6,386.5,hold,0.30,1180.4,540.0,851.8,0.0,657.2,1168.4,1,248.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.943|bounds
28,1235.7,386.5,hold,0.30,1172.0,540.0,843.5,0.0,657.1,1168.2,1,240.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.941|bounds
29,1235.7,386.4,hold,0.30,1162.9,540.0,834.4,0.0,657.0,1168.0,1,231.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.936|bounds
30,1235.7,386.4,hold,0.30,1153.3,540.0,824.9,0.0,656.9,1167.8,1,221.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.922|bounds
31,1235.6,386.4,hold,0.30,1143.5,540.0,815.2,0.0,656.7,1167.5,1,211.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.935|bounds
32,1235.5,386.4,hold,0.30,1133.9,540.0,805.6,0.0,656.6,1167.2,1,202.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.944|bounds
33,1235.4,386.4,hold,0.30,1124.7,540.0,796.5,0.0,656.4,1166.9,1,193.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.939|bounds
34,1235.1,386.3,hold,0.30,1116.2,540.0,788.1,0.0,656.2,1166.6,1,185.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.936|bounds
35,1234.8,386.3,hold,0.30,1108.4,540.0,780.4,0.0,656.0,1166.2,1,177.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.944|bounds
36,1234.4,386.2,hold,0.30,1101.6,540.0,773.6,0.0,655.8,1165.9,1,171.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.940|bounds
37,1233.9,386.1,hold,0.30,1095.6,540.0,767.8,0.0,655.7,1165.6,1,165.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.935|bounds
38,1233.2,386.0,hold,0.30,1090.5,540.0,762.7,0.0,655.5,1165.3,1,161.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.943|bounds
39,1232.4,385.9,hold,0.30,1086.1,540.0,758.4,0.0,655.4,1165.1,1,157.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.940|bounds
40,1231.4,385.8,hold,0.30,1082.4,540.0,754.7,0.0,655.2,1164.9,1,155.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.935|bounds
41,1230.1,385.6,hold,0.30,1079.1,540.0,751.5,0.0,655.1,1164.7,1,153.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.943|bounds
42,1228.4,385.4,hold,0.30,1076.2,540.0,748.6,0.0,655.1,1164.5,1,151.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.939|bounds
43,1226.4,385.1,hold,0.30,1073.5,540.0,746.0,0.0,655.0,1164.5,1,151.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.935|bounds
44,1223.8,384.7,hold,0.30,1071.1,540.0,743.6,0.0,655.0,1164.4,1,151.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.943|bounds
45,1220.7,384.3,hold,0.30,1069.0,540.0,741.5,0.0,655.0,1164.5,1,152.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.939|bounds
46,1216.7,383.7,hold,0.30,1067.1,540.0,739.6,0.0,655.1,1164.5,1,154.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.936|bounds
47,1211.7,383.0,hold,0.30,1065.8,540.0,738.2,0.0,655.1,1164.7,1,158.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.943|bounds
