frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,,,none,0.00,1243.4,540.0,914.8,0.0,657.3,1168.6,,,1,0,conf_zoom=0.60|edge_zoom=0.750|bounds|final_speed
1,1236.7,386.5,hold,0.22,1244.2,540.0,915.7,0.0,657.1,1168.2,1,296.5,0,0,accel_zoom=0.852|conf_zoom=0.62|edge_zoom=0.979|bounds
2,1236.7,386.5,hold,0.22,1245.2,540.0,916.8,0.0,656.9,1167.8,1,295.5,0,0,conf_zoom=0.64|edge_zoom=0.960|bounds
3,1236.7,386.5,hold,0.22,1246.3,540.0,918.1,0.0,656.5,1167.1,1,294.4,0,0,conf_zoom=0.66|edge_zoom=0.963|bounds
4,1236.7,386.5,hold,0.22,1247.5,540.0,919.6,0.0,655.9,1166.0,1,293.2,0,0,conf_zoom=0.68|edge_zoom=0.965|bounds
5,1236.7,386.5,hold,0.22,1248.6,540.0,921.1,0.0,655.1,1164.6,1,292.1,0,0,conf_zoom=0.69|edge_zoom=0.965|bounds
6,1236.7,386.5,hold,0.22,1249.6,540.0,922.6,0.0,654.0,1162.7,1,291.1,0,0,conf_zoom=0.70|edge_zoom=0.987|bounds
7,1236.7,386.5,hold,0.22,1250.5,540.0,924.2,0.0,652.7,1160.3,1,290.2,0,0,conf_zoom=0.71|bounds
8,1236.7,386.5,hold,0.22,1251.3,540.0,925.8,0.0,650.9,1157.2,1,289.4,0,0,conf_zoom=0.72|bounds
9,1236.7,386.5,hold,0.22,1251.9,540.0,927.5,0.0,648.8,1153.5,1,288.8,0,0,conf_zoom=0.72|bounds
10,1236.7,386.5,hold,0.22,1252.4,540.0,929.2,0.0,646.4,1149.2,1,288.3,0,0,conf_zoom=0.73|bounds
11,1236.7,386.5,hold,0.22,1252.8,540.0,930.9,0.0,643.6,1144.3,1,287.9,0,0,conf_zoom=0.73|bounds
