frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,845.8,275.5,hold,0.30,845.8,540.0,517.0,0.0,657.5,1168.9,1,275.5,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,845.8,275.8,hold,0.30,845.8,540.0,517.0,0.0,657.5,1168.9,1,275.8,0,1,flight_commit=0.84|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.911|bounds
2,845.8,276.3,hold,0.30,845.8,540.0,517.1,0.0,657.5,1168.9,1,276.3,0,1,flight_commit=0.31|conf_zoom=0.99|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.941|bounds
3,845.8,276.8,hold,0.30,845.9,540.0,517.1,0.0,657.5,1168.8,1,276.8,0,1,conf_zoom=0.73|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.959|bounds
4,845.9,277.5,hold,0.30,845.9,540.0,517.2,0.0,657.4,1168.8,1,277.5,0,1,conf_zoom=0.73|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.967|bounds
5,845.9,278.3,hold,0.30,846.0,540.0,517.3,0.0,657.4,1168.7,1,278.3,0,1,conf_zoom=0.73|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.968|bounds
6,846.0,279.4,hold,0.30,846.1,540.0,517.5,0.0,657.3,1168.5,1,279.4,0,1,conf_zoom=0.73|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.969|bounds
7,846.1,280.7,hold,0.30,846.3,540.0,517.8,0.0,657.1,1168.2,1,280.7,0,1,conf_zoom=0.73|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.971|bounds
8,846.2,282.3,hold,0.30,846.6,540.0,518.1,0.0,656.9,1167.9,1,282.3,0,1,conf_zoom=0.73|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.973|bounds
9,846.3,284.4,hold,0.30,847.0,540.0,518.7,0.0,656.7,1167.4,1,284.4,0,1,conf_zoom=0.73|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.975|bounds
10,846.5,287.0,hold,0.30,847.6,540.0,519.4,0.0,656.3,1166.8,1,287.0,0,1,conf_zoom=0.73|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.978|bounds
11,846.7,290.2,hold,0.30,848.4,540.0,520.4,0.0,655.9,1166.1,1,290.2,0,1,conf_zoom=0.73|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.981|bounds
12,846.9,294.2,hold,0.30,849.4,540.0,521.6,0.0,655.5,1165.3,1,294.2,0,1,conf_zoom=0.73|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.971|bounds
13,847.2,299.3,hold,0.30,850.8,540.0,523.3,0.0,655.0,1164.5,1,299.3,0,1,conf_zoom=0.73|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.961|bounds
14,847.6,305.6,hold,0.30,852.5,540.0,525.2,0.0,654.5,1163.6,1,299.1,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.947|bounds
15,848.1,313.4,hold,0.30,854.7,540.0,527.7,0.0,654.1,1162.9,1,297.4,0,0,flight_commit=0.09|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.929|bounds
16,848.7,323.3,hold,0.30,857.4,540.0,530.5,0.0,653.8,1162.3,1,295.3,0,0,flight_commit=0.36|person_ctx=4|edge_zoom=0.920|bounds
17,849.4,335.6,hold,0.30,860.7,540.0,533.9,0.0,653.6,1162.0,1,292.7,0,0,flight_commit=0.69|person_ctx=4|edge_zoom=0.928|bounds
18,850.4,350.9,hold,0.30,864.5,540.0,537.7,0.0,653.6,1161.9,1,289.9,0,0,flight_commit=1.00|edge_zoom=0.937|bounds
19,850.1,392.8,centroid,0.30,868.9,540.0,542.1,0.0,653.7,1162.1,1,285.2,0,0,accel_zoom=0.896|shot_pb=0.00|flight_commit=1.00|edge_zoom=0.990|bounds
20,853.6,405.4,centroid,0.30,873.8,540.0,546.8,0.0,653.9,1162.5,1,283.8,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.988|bounds
21,857.1,414.0,centroid,0.30,879.1,540.0,552.0,0.0,654.3,1163.2,1,282.0,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.984|bounds
22,860.4,419.5,centroid,0.30,884.8,540.0,557.4,0.0,654.7,1164.0,1,279.6,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.970|bounds
23,863.4,422.5,centroid,0.30,890.7,540.0,563.0,0.0,655.2,1164.8,1,276.7,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.953|bounds
24,866.2,423.7,centroid,0.30,896.6,540.0,568.7,0.0,655.7,1165.7,1,273.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.946|bounds
25,868.7,423.3,centroid,0.30,902.4,540.0,574.3,0.0,656.1,1166.4,1,270.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.954|bounds
26,871.4,421.5,centroid,0.30,907.9,540.0,579.7,0.0,656.5,1167.1,1,267.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.947|bounds
27,874.3,418.5,centroid,0.31,913.0,540.0,584.6,0.0,656.8,1167.6,1,265.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.942|bounds
28,877.6,414.5,centroid,0.31,917.5,540.0,589.0,0.0,657.0,1168.1,1,264.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.938|bounds
29,881.5,409.6,centroid,0.31,921.2,540.0,592.6,0.0,657.2,1168.4,1,264.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.936|bounds
30,885.9,403.8,centroid,0.31,923.9,540.0,595.3,0.0,657.3,1168.6,1,266.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.934|bounds
31,890.9,397.3,centroid,0.31,925.6,540.0,596.9,0.0,657.4,1168.7,1,269.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.932|bounds
32,896.7,390.0,centroid,0.31,926.1,540.0,597.4,0.0,657.5,1168.8,1,274.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.930|bounds
33,903.0,382.0,centroid,0.31,925.3,540.0,596.5,0.0,657.5,1168.9,1,281.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.926|bounds
34,909.7,373.2,centroid,0.32,923.1,540.0,594.3,0.0,657.5,1168.9,1,290.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.922|bounds
35,916.2,363.9,centroid,0.32,919.5,540.0,590.7,0.0,657.5,1168.9,1,300.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.918|bounds
36,921.9,354.1,centroid,0.32,914.5,540.0,585.7,0.0,657.5,1168.9,1,296.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.913|bounds
37,925.7,344.0,centroid,0.32,908.2,540.0,579.4,0.0,657.5,1168.9,1,286.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.907|bounds
38,926.7,333.8,centroid,0.32,900.7,540.0,572.0,0.0,657.5,1168.9,1,278.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.902|bounds
39,923.4,323.5,centroid,0.32,892.4,540.0,563.6,0.0,657.5,1168.9,1,273.0,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
40,892.5,309.8,hold,0.30,883.4,540.0,554.6,0.0,657.5,1168.9,1,294.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.903|bounds
41,883.2,302.7,hold,0.30,874.1,540.0,545.3,0.0,657.5,1168.9,1,294.9,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
42,875.8,297.0,hold,0.30,864.9,540.0,536.1,0.0,657.5,1168.9,1,293.1,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
43,869.9,292.4,hold,0.30,856.1,540.0,527.3,0.0,657.5,1168.9,1,290.2,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
44,865.2,288.7,hold,0.30,848.1,540.0,519.3,0.0,657.5,1168.9,1,286.9,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
45,861.5,285.8,hold,0.30,841.1,540.0,512.4,0.0,657.5,1168.9,1,283.6,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
46,858.5,283.5,hold,0.30,835.5,540.0,506.8,0.0,657.5,1168.9,1,281.0,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
47,856.2,281.6,hold,0.30,831.4,540.0,502.7,0.0,657.5,1168.9,1,279.2,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
48,854.5,280.1,hold,0.30,829.0,540.0,500.2,0.0,657.5,1168.9,1,278.5,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
49,853.1,278.9,hold,0.30,828.2,540.0,499.5,0.0,657.5,1168.9,1,278.9,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
50,852.2,278.0,hold,0.30,829.1,540.0,500.4,0.0,657.5,1168.9,1,278.0,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
51,851.6,277.2,hold,0.30,831.5,540.0,502.8,0.0,657.5,1168.9,1,277.2,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.902|bounds
52,851.2,276.6,hold,0.30,835.4,540.0,506.6,0.0,657.5,1168.9,1,276.6,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
53,851.2,276.1,hold,0.30,840.4,540.0,511.6,0.0,657.5,1168.9,1,276.1,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
54,851.4,275.8,hold,0.30,846.3,540.0,517.6,0.0,657.5,1168.9,1,275.8,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
55,851.9,275.5,hold,0.30,853.0,540.0,524.3,0.0,657.5,1168.9,1,275.5,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
56,852.7,275.3,hold,0.30,860.2,540.0,531.5,0.0,657.5,1168.9,1,275.3,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
57,853.9,275.1,hold,0.30,867.7,540.0,538.9,0.0,657.5,1168.9,1,275.1,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
58,860.7,274.7,blended,0.75,875.2,540.0,546.4,0.0,657.5,1168.9,1,274.7,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
59,855.4,275.3,yolo,0.34,882.7,540.0,553.9,0.0,657.5,1168.9,1,275.3,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
60,855.8,275.5,yolo,0.32,890.0,540.0,561.2,0.0,657.5,1168.9,1,269.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.903|bounds
61,856.3,275.4,interp,0.38,897.1,540.0,568.3,0.0,657.5,1168.9,1,263.2,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
62,857.0,275.2,interp,0.38,903.9,540.0,575.1,0.0,657.5,1168.9,1,257.1,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
63,858.0,274.9,interp,0.38,910.4,540.0,581.7,0.0,657.5,1168.9,1,251.6,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
64,859.2,274.6,interp,0.38,916.7,540.0,588.0,0.0,657.5,1168.9,1,246.5,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
65,860.7,274.2,interp,0.38,922.9,540.0,594.1,0.0,657.5,1168.9,1,241.8,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
66,862.5,273.8,interp,0.38,928.8,540.0,600.1,0.0,657.5,1168.9,1,237.7,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
67,864.6,273.3,interp,0.38,934.7,540.0,605.9,0.0,657.5,1168.9,1,233.9,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
68,867.2,272.8,interp,0.38,940.5,540.0,611.8,0.0,657.5,1168.9,1,230.7,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
69,870.2,272.3,interp,0.38,946.3,540.0,617.6,0.0,657.5,1168.9,1,227.9,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
70,873.9,271.8,interp,0.38,952.2,540.0,623.5,0.0,657.5,1168.9,1,225.7,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
71,878.3,271.2,yolo,0.36,958.2,540.0,629.4,0.0,657.5,1168.9,1,224.1,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
72,883.5,270.6,interp,0.38,964.3,540.0,635.5,0.0,657.5,1168.9,1,223.2,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
73,889.9,270.0,interp,0.38,970.5,540.0,641.7,0.0,657.5,1168.9,1,223.4,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
74,897.8,269.3,interp,0.38,976.8,540.0,648.0,0.0,657.5,1168.9,1,225.0,1,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|speed|edge_zoom=0.903|bounds
75,907.6,268.6,interp,0.38,983.2,540.0,654.4,0.0,657.5,1168.9,1,228.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.903|bounds
76,919.7,267.7,yolo,0.33,989.6,540.0,660.8,0.0,657.5,1168.9,1,234.1,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.903|bounds
77,946.8,265.9,centroid,0.35,995.9,540.0,667.1,0.0,657.5,1168.9,1,254.9,1,0,accel_zoom=0.927|shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.897|bounds
78,960.6,265.1,centroid,0.35,1001.9,540.0,673.2,0.0,657.5,1168.9,1,262.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.896|bounds
79,973.1,264.4,centroid,0.35,1007.5,540.0,678.7,0.0,657.5,1168.9,1,264.4,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.898|bounds
80,984.4,263.9,centroid,0.34,1012.4,540.0,683.7,0.0,657.5,1168.9,1,263.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.882|bounds
81,994.9,263.5,centroid,0.34,1016.5,540.0,687.7,0.0,657.5,1168.9,1,263.5,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.899|bounds
82,1004.5,263.2,centroid,0.34,1019.3,540.0,690.5,0.0,657.5,1168.9,1,263.2,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.899|bounds
83,1013.4,263.0,centroid,0.34,1020.7,540.0,691.9,0.0,657.5,1168.9,1,263.0,1,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|keepin_prop=0.04|keepin_zoom=1.350|speed|edge_zoom=0.890|bounds
84,1021.4,262.9,centroid,0.34,1020.3,540.0,691.6,0.0,657.5,1168.9,1,262.9,1,0,shot_pb=1.00|flight_commit=1.00|person_ctx=3|speed|edge_zoom=0.900|bounds
85,1028.5,262.9,centroid,0.34,1018.0,540.0,689.2,0.0,657.5,1168.9,1,262.9,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.878|bounds
86,1034.1,263.0,centroid,0.34,1013.6,540.0,684.8,0.0,657.5,1168.9,1,263.0,1,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.901|bounds
87,1038.8,263.3,centroid,0.34,1007.0,540.0,678.2,0.0,657.5,1168.9,1,263.3,1,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|speed|edge_zoom=0.901|bounds
88,1042.7,263.7,centroid,0.34,998.2,540.0,669.5,0.0,657.5,1168.9,1,259.5,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.881|bounds
89,1044.5,264.2,centroid,0.34,987.5,540.0,658.8,0.0,657.5,1168.9,1,247.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.901|bounds
90,1043.8,265.0,centroid,0.34,975.2,540.0,646.4,0.0,657.5,1168.9,1,235.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.901|bounds
91,1039.7,266.1,centroid,0.35,961.6,540.0,632.9,0.0,657.5,1168.9,1,225.9,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.901|bounds
92,1031.3,267.6,centroid,0.35,947.4,540.0,618.7,0.0,657.5,1168.9,1,220.1,1,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|speed|edge_zoom=0.902|bounds
93,1017.7,269.7,centroid,0.35,933.1,540.0,604.4,0.0,657.5,1168.9,1,219.4,1,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|speed|edge_zoom=0.902|bounds
94,968.2,275.2,yolo,0.76,919.4,540.0,590.7,0.0,657.5,1168.9,1,255.2,0,0,accel_zoom=0.919|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.900|bounds
95,951.8,277.5,interp,0.38,906.9,540.0,578.1,0.0,657.5,1168.9,1,259.1,0,0,accel_zoom=0.919|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.901|bounds
96,939.4,279.3,yolo,0.66,896.1,540.0,567.3,0.0,657.5,1168.9,1,260.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.902|bounds
97,930.6,280.9,yolo,0.65,887.4,540.0,558.6,0.0,657.5,1168.9,1,260.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.899|bounds
98,924.7,282.3,yolo,0.54,881.2,540.0,552.5,0.0,657.5,1168.9,1,260.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.904|bounds
99,921.0,283.7,yolo,0.48,877.7,540.0,548.9,0.0,657.5,1168.9,1,260.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.906|bounds
100,919.0,285.0,yolo,0.41,876.9,540.0,548.1,0.0,657.5,1168.9,1,261.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.910|bounds
101,918.1,286.4,yolo,0.40,878.7,540.0,550.0,0.0,657.5,1168.8,1,264.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.915|bounds
