frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,1,0,accel_zoom=0.852|conf_zoom=0.76|edge_zoom=0.750|bounds|final_speed
1,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,1,1,conf_zoom=0.76|keepin_prop=0.01|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
2,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,1,1,conf_zoom=0.76|keepin_prop=0.01|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
3,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,1,1,conf_zoom=0.76|keepin_prop=0.01|keepin_zoom=1.300|speed|edge_zoom=0.939|bounds
4,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,1,1,conf_zoom=0.76|keepin_prop=0.01|keepin_zoom=1.300|speed|edge_zoom=0.940|bounds
5,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.08|keepin_zoom=1.300|edge_zoom=0.959|bounds
6,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
7,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
8,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
9,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
10,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
11,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
12,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
13,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
14,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
15,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
16,845.7,274.1,hold,0.22,845.7,540.0,516.9,0.0,657.5,1168.9,1,274.1,0,1,conf_zoom=0.76|keepin_prop=0.14|keepin_zoom=1.300|edge_zoom=0.971|bounds
